Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"N2:CO:H2O (2:1:1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/47"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
2057.7	1.2799			2057.7	0.0001		
2065.5	1.2808			2065.5	0.0001		
2073.2	1.2819			2073.2	0.0003		
2080.9	1.2836			2080.9	0.0002		
2088.6	1.2862			2088.6	0.0014		
2096.3	1.2858			2096.3	0.001		
2098.7	1.2872			2098.7	0.0011		
2101.1	1.2879			2101.1	0.0015		
2103.6	1.2887			2103.6	0.0011		
2106	1.2899			2106	0.0004		
2108.4	1.2916			2108.4	0.0002		
2110.8	1.2937			2110.8	0.0002		
2113.2	1.2958			2113.2	0.0003		
2115.6	1.2983			2115.6	0.0002		
2116.6	1.2993			2116.6	0.0002		
2117.5	1.3006			2117.5	0.0001		
2118.5	1.302			2118.5	0.0002		
2119.5	1.3033			2119.5	0.0002		
2120.4	1.305			2120.4	0.0002		
2121.4	1.3067			2121.4	0.0002		
2122.4	1.3085			2122.4	0.0002		
2123.3	1.3108			2123.3	0.0003		
2124.3	1.3132			2124.3	0.0002		
2125.2	1.3158			2125.2	0.0001		
2126.2	1.3191			2126.2	0.0002		
2127.2	1.3229			2127.2	0.0002		
2128.1	1.3269			2128.1	0.0002		
2129.1	1.3323			2129.1	0.0003		
2130.1	1.3381			2130.1	0.0004		
2130.6	1.342			2130.6	0.0004		
2131	1.3464			2131	0.0007		
2131.5	1.3513			2131.5	0.001		
2132	1.3571			2132	0.0014		
2132.5	1.3642			2132.5	0.002		
2133	1.37			2133	0.0032		
2133.4	1.3793			2133.4	0.0052		
2133.9	1.3898			2133.9	0.0085		
2134.4	1.4021			2134.4	0.0135		
2134.9	1.4163			2134.9	0.0216		
2135.4	1.4344			2135.4	0.0337		
2135.9	1.4419			2135.9	0.0523		
2136.3	1.4586			2136.3	0.078		
2136.8	1.4669			2136.8	0.1126		
2137.3	1.467			2137.3	0.1552		
2137.8	1.4626			2137.8	0.2015		
2138.3	1.4253			2138.3	0.2489		
2138.7	1.4018			2138.7	0.2893		
2139.2	1.3492			2139.2	0.3251		
2139.7	1.2836			2139.7	0.3435		
2140.2	1.214			2140.2	0.3263		
2140.7	1.1812			2140.7	0.2804		
2141.2	1.1287			2141.2	0.2226		
2141.6	1.1267			2141.6	0.168		
2142.1	1.1307			2142.1	0.1224		
2142.6	1.1438			2142.6	0.0891		
2143.1	1.1608			2143.1	0.0664		
2143.6	1.1814			2143.6	0.0532		
2144.1	1.1915			2144.1	0.0464		
2144.5	1.2099			2144.5	0.0458		
2145	1.2225			2145	0.0486		
2145.5	1.2321			2145.5	0.0542		
2146	1.2397			2146	0.0619		
2146.5	1.2413			2146.5	0.0703		
2146.9	1.2421			2146.9	0.0794		
2147.4	1.2385			2147.4	0.0877		
2147.9	1.2325			2147.9	0.0947		
2148.4	1.2238			2148.4	0.0993		
2148.9	1.2169			2148.9	0.1014		
2149.4	1.2018			2149.4	0.0994		
2149.8	1.1971			2149.8	0.0953		
2150.3	1.1879			2150.3	0.0882		
2150.8	1.1806			2150.8	0.0789		
2151.3	1.1771			2151.3	0.069		
2151.8	1.1736			2151.8	0.0577		
2152.2	1.1746			2152.2	0.0478		
2152.7	1.1759			2152.7	0.0382		
2153.2	1.1786			2153.2	0.0299		
2153.7	1.1822			2153.7	0.0227		
2154.2	1.1876			2154.2	0.0171		
2154.7	1.189			2154.7	0.0122		
2155.1	1.1953			2155.1	0.0089		
2156.1	1.2042			2156.1	0.0046		
2157.1	1.2117			2157.1	0.0026		
2158	1.217			2158	0.0018		
2159	1.2218			2159	0.0015		
2160	1.2251			2160	0.0015		
2160.9	1.2284			2160.9	0.0015		
2161.9	1.2311			2161.9	0.0015		
2162.9	1.2331			2162.9	0.0015		
2163.8	1.2352			2163.8	0.0015		
2164.8	1.2371			2164.8	0.0015		
2165.7	1.2384			2165.7	0.0015		
2166.7	1.2401			2166.7	0.0015		
2167.7	1.2415			2167.7	0.0015		
2168.6	1.2425			2168.6	0.0015		
2169.6	1.2435			2169.6	0.0016		
2172	1.2459			2172	0.0015		
2174.4	1.2478			2174.4	0.0016		
2176.8	1.2494			2176.8	0.0016		
2179.2	1.2506			2179.2	0.0015		
2181.7	1.2518			2181.7	0.0016		
2184.1	1.2531			2184.1	0.0016		
2186.5	1.2539			2186.5	0.0015		
2188.9	1.2547			2188.9	0.0015		
2191.3	1.2554			2191.3	0.0014		
2193.7	1.2562			2193.7	0.0014		
2196.1	1.2567			2196.1	0.0015		
2204.3	1.2584			2204.3	0.0013		
2211.5	1.2594			2211.5	0.0013		
2219.7	1.2603			2219.7	0.0012		
2227.9	1.2611			2227.9	0.001		
2236.1	1.2617			2236.1	0.0008		
