Reference:	"Fayolle et al. (2021)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2021.114574"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO (98.95:1:0.05)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/48"
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
2.48	0.020615		
2.44	0.015279		
2.4	0.01208		
2.36	0.010486		
2.32	0.010471		
2.28	0.011346		
2.24	0.011421		
2.2	0.010365		
2.16	0.00881		
2.12	0.007953		
2.08	0.007728		
2.04	0.007756		
2	0.008011		
1.96	0.00749		
1.92	0.005563		
1.88	0.002089		
1.84	0.001344		
1.8	0.001382		
1.76	0.001341		
1.72	0.001205		
1.68	0.001087		
1.64	0.00102		
1.6	0.001064		
1.56	0.001244		
1.52	0.00148		
1.48	0.001471		
1.44	0.001213		
1.4	0.000995		
1.34	0.000976		
1.3	0.001081		
1.26	0.001288		
1.22	0.00156		
1.18	0.001946		
1.14	0.00244		
1.1	0.003122		
1.06	0.004001		
1.02	0.00521		
0.98	0.006941		
0.94	0.009071		
0.9	0.011866		
0.86	0.015621		
0.82	0.020416		
0.78	0.026709		
0.74	0.035007		
0.7	0.04615		
0.66	0.062135		
0.62	0.08472		
0.58	0.11757		
0.54	0.16818		
0.5	0.26428		
