Reference:	"Bertie et al. (1969)"
DOI:	"doi:https://doi.org/10.1063/1.1670922"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/4"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
30	1.79		0.0239		
40	1.818		0.0358		
60	1.821		0.0834		
80	1.809		0.107		
100	1.839		0.122		
120	1.915		0.173		
140	1.921		0.352		
160	1.76		0.523		
170	1.655		0.452		
180	1.724		0.32		
190	1.768		0.47		
200	1.763		0.497		
210	1.81		0.64		
220	1.746		0.864		
225	1.647		1.14		
229	1.224		1.31		
230	1.095		1.25		
240	1.004		0.557		
250	1.092		0.45		
300	1.124		0.139		
400	1.334		0.0223		
500	1.426		0.0178		
600	1.47		0.0625		
700	1.514		0.108		
750	1.566		0.163		
800	1.523		0.328		
850	1.346		0.379		
900	1.217		0.32		
950	1.114		0.172		
1000	1.19		0.0318		
1050	1.261		0.0207		
1100	1.292		0.0379		
1200	1.312		0.0368		
1300	1.328		0.0395		
1400	1.336		0.0471		
1500	1.336		0.0561		
1600	1.325		0.0595		
1650	1.317		0.0564		
1700	1.311		0.0442		
1800	1.316		0.0238		
2000	1.341		0.0135		
2200	1.358		0.0278		
2250	1.356		0.0291		
2300	1.354		0.0254		
2400	1.353		0.0184		
2600	1.364		0.00866		
2700	1.395		0.0062		
2800	1.414		0.00696		
2900	1.423		0.0144		
3000	1.532		0.0444		
3050	1.588		0.0778		
3100	1.734		0.279		
3150	1.669		0.566		
3200	1.577		0.7		
3220	1.375		0.815		
3250	1.098		0.583		
3300	1.07		0.381		
3350	1.061		0.298		
3400	1.025		0.215		
3450	1.019		0.107		
3500	1.075		0.0536		
3600	1.134		0.0174		
3700	1.178		0.00148		
3800	1.206		0.00065		
4000	1.236		0.00069		
4400	1.264		0.0005		
4800	1.277		0.00148		
4950	1.28		0.00201		
5000	1.281		0.00194		
5200	1.283		0.00085		
5500	1.288		0.00038		
6000	1.293		0.00055		
6100	1.293		0.00062		
6200	1.294		0.0005		
6300	1.295		0.00061		
6675	1.297		0.00066		
6900	1.297		0.00024		
7200	1.299		9.5E-5		
7500	1.3		4.6E-5		
8000	1.301		0		
