Reference:	"Bertie et al. (1969)"
DOI:	"doi:https://doi.org/10.1063/1.1670922"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/4"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
30	1.79			30	0.0239		
40	1.818			40	0.0358		
60	1.821			60	0.0834		
80	1.809			80	0.107		
100	1.839			100	0.122		
120	1.915			120	0.173		
140	1.921			140	0.352		
160	1.76			160	0.523		
170	1.655			170	0.452		
180	1.724			180	0.32		
190	1.768			190	0.47		
200	1.763			200	0.497		
210	1.81			210	0.64		
220	1.746			220	0.864		
225	1.647			225	1.14		
229	1.224			229	1.31		
230	1.095			230	1.25		
240	1.004			240	0.557		
250	1.092			250	0.45		
300	1.124			300	0.139		
400	1.334			400	0.0223		
500	1.426			500	0.0178		
600	1.47			600	0.0625		
700	1.514			700	0.108		
750	1.566			750	0.163		
800	1.523			800	0.328		
850	1.346			850	0.379		
900	1.217			900	0.32		
950	1.114			950	0.172		
1000	1.19			1000	0.0318		
1050	1.261			1050	0.0207		
1100	1.292			1100	0.0379		
1200	1.312			1200	0.0368		
1300	1.328			1300	0.0395		
1400	1.336			1400	0.0471		
1500	1.336			1500	0.0561		
1600	1.325			1600	0.0595		
1650	1.317			1650	0.0564		
1700	1.311			1700	0.0442		
1800	1.316			1800	0.0238		
2000	1.341			2000	0.0135		
2200	1.358			2200	0.0278		
2250	1.356			2250	0.0291		
2300	1.354			2300	0.0254		
2400	1.353			2400	0.0184		
2600	1.364			2600	0.00866		
2700	1.395			2700	0.0062		
2800	1.414			2800	0.00696		
2900	1.423			2900	0.0144		
3000	1.532			3000	0.0444		
3050	1.588			3050	0.0778		
3100	1.734			3100	0.279		
3150	1.669			3150	0.566		
3200	1.577			3200	0.7		
3220	1.375			3220	0.815		
3250	1.098			3250	0.583		
3300	1.07			3300	0.381		
3350	1.061			3350	0.298		
3400	1.025			3400	0.215		
3450	1.019			3450	0.107		
3500	1.075			3500	0.0536		
3600	1.134			3600	0.0174		
3700	1.178			3700	0.00148		
3800	1.206			3800	0.00065		
4000	1.236			4000	0.00069		
4400	1.264			4400	0.0005		
4800	1.277			4800	0.00148		
4950	1.28			4950	0.00201		
5000	1.281			5000	0.00194		
5200	1.283			5200	0.00085		
5500	1.288			5500	0.00038		
6000	1.293			6000	0.00055		
6100	1.293			6100	0.00062		
6200	1.294			6200	0.0005		
6300	1.295			6300	0.00061		
6675	1.297			6675	0.00066		
6900	1.297			6900	0.00024		
7200	1.299			7200	9.5E-5		
7500	1.3			7500	4.6E-5		
8000	1.301			8000	0		
