Reference:	"Gavilan et al. (2017)"
DOI:	"doi:https://doi.org/10.3847/2041-8213/aa8cc4"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (95:5)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/50"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
0.576156672	1.608		0		
0.552150144	1.61		0		
0.534145248	1.612		0		
0.522141984	1.614		0		
0.51013872	1.616		0		
0.498135456	1.618		3.0E-6		
0.486132192	1.62		0.000158		
0.474128928	1.623		0.000575		
0.462125664	1.626		0.00128		
0.4501224	1.63		0.00232		
0.438119136	1.634		0.00372		
0.426115872	1.637		0.00554		
0.414112608	1.642		0.00783		
0.402109344	1.646		0.0107		
0.39010608	1.651		0.0141		
0.378102816	1.656		0.0183		
0.366099552	1.661		0.0234		
0.354096288	1.667		0.0294		
0.342093024	1.672		0.0367		
0.33008976	1.678		0.0454		
0.318086496	1.684		0.0558		
0.306083232	1.689		0.0682		
0.294079968	1.694		0.0831		
0.282076704	1.698		0.101		
0.27007344	1.699		0.122		
