Reference:	"Gavilan et al. (2017)"
DOI:	"doi:https://doi.org/10.3847/2041-8213/aa8cc4"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO2 (90:5:5)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/51"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
0.576156672	1.603			0.576156672	0		
0.552150144	1.606			0.552150144	0		
0.534145248	1.608			0.534145248	0		
0.522141984	1.61			0.522141984	0		
0.51013872	1.612			0.51013872	0		
0.498135456	1.614			0.498135456	0		
0.486132192	1.616			0.486132192	6.0E-6		
0.474128928	1.619			0.474128928	0.000186		
0.462125664	1.623			0.462125664	0.000635		
0.4501224	1.626			0.4501224	0.00138		
0.438119136	1.63			0.438119136	0.00246		
0.426115872	1.634			0.426115872	0.0039		
0.414112608	1.639			0.414112608	0.00576		
0.402109344	1.644			0.402109344	0.00808		
0.39010608	1.649			0.39010608	0.0109		
0.378102816	1.654			0.378102816	0.0144		
0.366099552	1.66			0.366099552	0.0185		
0.354096288	1.667			0.354096288	0.0234		
0.342093024	1.673			0.342093024	0.0293		
0.33008976	1.681			0.33008976	0.0362		
0.318086496	1.688			0.318086496	0.0445		
0.306083232	1.696			0.306083232	0.0543		
0.294079968	1.704			0.294079968	0.066		
0.282076704	1.713			0.282076704	0.0801		
0.27007344	1.721			0.27007344	0.097		
