Reference:	"Gavilan et al. (2017)"
DOI:	"doi:https://doi.org/10.3847/2041-8213/aa8cc4"
Sample Type:	"Gas Tholin"
Composition:	"N2:CO2:CH4 (90:8:2)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/52"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
0.576156672	1.901			0.576156672	0		
0.552150144	1.907			0.552150144	0		
0.534145248	1.912			0.534145248	0		
0.522141984	1.916			0.522141984	0		
0.51013872	1.921			0.51013872	0		
0.498135456	1.926			0.498135456	0		
0.486132192	1.931			0.486132192	0		
0.474128928	1.937			0.474128928	0		
0.462125664	1.944			0.462125664	0		
0.4501224	1.953			0.4501224	0		
0.438119136	1.962			0.438119136	0		
0.426115872	1.974			0.426115872	0		
0.414112608	1.988			0.414112608	0.000187		
0.402109344	2.008			0.402109344	0.00312		
0.39010608	2.029			0.39010608	0.0101		
0.378102816	2.054			0.378102816	0.0219		
0.366099552	2.079			0.366099552	0.0394		
0.354096288	2.106			0.354096288	0.0637		
0.342093024	2.133			0.342093024	0.096		
0.33008976	2.157			0.33008976	0.137		
0.318086496	2.177			0.318086496	0.189		
0.306083232	2.188			0.306083232	0.252		
0.294079968	2.187			0.294079968	0.325		
0.282076704	2.168			0.282076704	0.406		
0.27007344	2.126			0.27007344	0.488		
