Reference:	"Gerakines and Hudson (2020)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/abad39"
Sample Type:	"Ice"
Composition:	"CH3OH (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/53"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
400.04	1.367238212			400.04	-0.001462419			400.04	0		
400.1200007	1.367238212			400.1200007	0.005272152			400.1200007	0.001675748		
400.2000014	1.366422351			400.2000014	0.011565781			400.2000014	0.003231625		
400.2800021	1.364901364			400.2800021	0.01742031			400.2800021	0.004667628		
400.3600028	1.360813313			400.3600028	0.021863808			400.3600028	0.00572297		
400.4400035	1.357024317			400.4400035	0.02540518			400.4400035	0.006554393		
400.5200042	1.35143223			400.5200042	0.028129827			400.5200042	0.007161908		
400.6000049	1.345976281			400.6000049	0.028990081			400.6000049	0.007313643		
400.6800056	1.340525384			400.6800056	0.028975094			400.6800056	0.007253414		
400.7600063	1.33512976			400.7600063	0.028074			400.7600063	0.00698125		
400.840007	1.329833402			400.840007	0.025658745			400.840007	0.006347845		
400.9200077	1.325758021			400.9200077	0.02260839			400.9200077	0.005577113		
401.0000083	1.321820696			401.0000083	0.018965526			401.0000083	0.004669087		
401.080009	1.319037279			401.080009	0.014562804			401.080009	0.003590545		
401.1600097	1.316996454			401.1600097	0.010006535			401.1600097	0.002482195		
401.2400104	1.315952473			401.2400104	0.005299819			401.2400104	0.001344057		
401.3200111	1.315620756			401.3200111	0.000743923			401.3200111	0.00024498		
401.4000118	1.316008267			401.4000118	-0.003595301			401.4000118	-0.000800647		
401.4800125	1.317066645			401.4800125	-0.007712097			401.4800125	-0.001792824		
401.5600132	1.318632594			401.5600132	-0.010985839			401.5600132	-0.002582307		
401.6400139	1.319949216			401.6400139	-0.01414712			401.6400139	-0.003347526		
401.7200146	1.321892554			401.7200146	-0.017137075			401.7200146	-0.004072332		
401.8000153	1.32385344			401.8000153	-0.019724594			401.8000153	-0.004701451		
401.880016	1.326105608			401.880016	-0.022115333			401.880016	-0.005284281		
401.9600167	1.328445045			401.9600167	-0.024276279			401.9600167	-0.005812752		
402.0400174	1.331098256			402.0400174	-0.02612637			402.0400174	-0.006266421		
402.1200181	1.333738283			402.1200181	-0.027771275			402.1200181	-0.006671077		
402.2000188	1.336811118			402.2000188	-0.029153512			402.2000188	-0.00701188		
402.2800195	1.339914198			402.2800195	-0.030056021			402.2800195	-0.007234759		
402.3600202	1.343175886			402.3600202	-0.030644007			402.3600202	-0.007379736		
402.4400209	1.346550607			402.4400209	-0.030824461			402.4400209	-0.007423003		
402.5200216	1.350013171			402.5200216	-0.030357713			402.5200216	-0.007303878		
402.6000223	1.353179654			402.6000223	-0.029513026			402.6000223	-0.007089182		
402.680023	1.356485901			402.680023	-0.028195475			402.680023	-0.006753912		
402.7600237	1.359404945			402.7600237	-0.026201356			402.7600237	-0.006247435		
402.8400243	1.362003344			402.8400243	-0.023831875			402.8400243	-0.005645131		
402.920025	1.364239964			402.920025	-0.02099375			402.920025	-0.004923924		
403.0000257	1.365961905			403.0000257	-0.017566936			403.0000257	-0.00405473		
403.0800264	1.366841395			403.0800264	-0.013874896			403.0800264	-0.003121693		
403.1600271	1.367070333			403.1600271	-0.009885972			403.1600271	-0.002117484		
403.2400278	1.366149937			403.2400278	-0.00583271			403.2400278	-0.001105339		
403.3200285	1.364378545			403.3200285	-0.001975777			403.3200285	-0.000150544		
403.4000292	1.361259869			403.4000292	0.001543617			403.4000292	0.00070693		
403.4800299	1.357190194			403.4800299	0.003860353			403.4800299	0.001254113		
403.5600306	1.35261967			403.5600306	0.005207217			403.5600306	0.001554736		
403.6400313	1.347195863			403.6400313	0.005219634			403.6400313	0.001518603		
403.720032	1.341938099			403.720032	0.002948893			403.720032	0.00092268		
403.8000327	1.337828607			403.8000327	-0.000456198			403.8000327	5.9242E-5		
403.8800334	1.334136357			403.8800334	-0.005158732			403.8800334	-0.001116706		
403.9600341	1.332175877			403.9600341	-0.011391011			403.9600341	-0.002658459		
404.0400348	1.332134024			404.0400348	-0.018178886			404.0400348	-0.004332158		
404.1200355	1.334496657			404.1200355	-0.025085587			404.1200355	-0.006036639		
404.2000362	1.338893975			404.2000362	-0.030857357			404.2000362	-0.007467506		
404.2800369	1.344898447			404.2800369	-0.035514433			404.2800369	-0.008629791		
404.3600376	1.352582119			404.3600376	-0.038025302			404.3600376	-0.009260596		
404.4400383	1.360307515			404.4400383	-0.037876894			404.4400383	-0.009220574		
404.520039	1.367729559			404.520039	-0.036029879			404.520039	-0.008743806		
404.6000397	1.374659321			404.6000397	-0.031708118			404.6000397	-0.007627597		
404.6800403	1.379484138			404.6800403	-0.025643134			404.6800403	-0.006061785		
404.760041	1.382591569			404.760041	-0.018789367			404.760041	-0.004294931		
404.8400417	1.383428007			404.8400417	-0.011286511			404.8400417	-0.002373781		
404.9200424	1.382139099			404.9200424	-0.004324564			404.9200424	-0.000609592		
405.0000431	1.379092959			405.0000431	0.001987697			405.0000431	0.0009679		
405.0800438	1.374207851			405.0800438	0.006807946			405.0800438	0.002142977		
405.1600445	1.368710812			405.1600445	0.009590589			405.1600445	0.002792815		
405.2400452	1.36293445			405.2400452	0.011011578			405.2400452	0.003096081		
405.3200459	1.356962051			405.3200459	0.010378054			405.3200459	0.002884879		
405.4000466	1.35214423			405.4000466	0.008100122			405.4000466	0.00227762		
405.4800473	1.348214805			405.4800473	0.00494608			405.4800473	0.00146377		
405.560048	1.34550642			405.560048	0.000841189			405.560048	0.000425694		
405.6400487	1.344164149			405.6400487	-0.003523316			405.6400487	-0.000666876		
405.7200494	1.343990969			405.7200494	-0.007884209			405.7200494	-0.001752808		
405.8000501	1.344928146			405.8000501	-0.01196011			405.8000501	-0.00276475		
405.8800508	1.34668285			405.8800508	-0.015450021			405.8800508	-0.003630118		
405.9600515	1.348999879			405.9600515	-0.018513678			405.9600515	-0.004389879		
406.0400522	1.352028065			406.0400522	-0.020897231			406.0400522	-0.004979485		
406.1200529	1.355162273			406.1200529	-0.022509529			406.1200529	-0.005376689		
406.2000536	1.358538151			406.2000536	-0.023767964			406.2000536	-0.005684982		
406.2800543	1.362208329			406.2800543	-0.024340943			406.2800543	-0.005819316		
406.360055	1.365868674			406.360055	-0.024318564			406.360055	-0.005802068		
406.4400557	1.369696242			406.4400557	-0.023816416			406.4400557	-0.005660807		
406.5200563	1.373612571			406.5200563	-0.022415606			406.5200563	-0.005287737		
406.600057	1.377104681			406.600057	-0.020329157			406.600057	-0.0047383		
406.6800577	1.380475842			406.6800577	-0.017711			406.6800577	-0.004050011		
406.7600584	1.383400576			406.7600584	-0.014191462			406.7600584	-0.003129803		
406.8400591	1.385519876			406.8400591	-0.01017042			406.8400591	-0.002083446		
406.9200598	1.386969988			406.9200598	-0.005797212			406.9200598	-0.000950025		
407.0000605	1.387529043			407.0000605	-0.001081811			407.0000605	0.000264119		
407.0800612	1.387145391			407.0800612	0.003575343			407.0800612	0.001453566		
407.1600619	1.385910739			407.1600619	0.008135244			407.1600619	0.002607322		
407.2400626	1.383728863			407.2400626	0.012177308			407.2400626	0.003615664		
407.3200633	1.38112647			407.3200633	0.015627962			407.3200633	0.004465472		
407.400064	1.3778918			407.400064	0.018603407			407.400064	0.005184433		
407.4800647	1.374311164			407.4800647	0.020614843			407.4800647	0.005652904		
407.5600654	1.370855157			407.5600654	0.021975845			407.5600654	0.005957327		
407.6400661	1.367327812			407.6400661	0.022852317			407.6400661	0.006138371		
407.7200668	1.363919176			407.7200668	0.023023768			407.7200668	0.006143704		
407.8000675	1.360882183			407.8000675	0.022846665			407.8000675	0.006066468		
407.8800682	1.357955862			407.8800682	0.02242188			407.8800682	0.00592927		
407.9600689	1.355222904			407.9600689	0.021690559			407.9600689	0.005718469		
408.0400696	1.35265438			408.0400696	0.020760327			408.0400696	0.005460768		
408.1200703	1.350151511			408.1200703	0.019657893			408.1200703	0.005161882		
408.200071	1.347643303			408.200071	0.018184318			408.200071	0.004771679		
408.2800717	1.345376001			408.2800717	0.016320842			408.2800717	0.004287967		
408.3600723	1.34327688			408.3600723	0.014158395			408.3600723	0.003732645		
