Reference:	"Gerakines and Hudson (2020)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/abad39"
Sample Type:	"Ice"
Composition:	"CH3OH (1)"
Temperature:	"120K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/54"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
499.963243	1.478011552		-0.002082435			499.963243	0		
500.0837742	1.478011552		-7.1953E-5			500.0837742	0.00031		
500.2043053	1.475831608		0.001085936			500.2043053	0.000477		
500.3248365	1.473967604		0.001194309			500.3248365	0.000483999		
500.4453677	1.471375835		0.000291459			500.4453677	0.000331998		
500.5658988	1.469612197		-0.001534353			500.5658988	4.2997E-5		
500.68643	1.468115766		-0.004003602			500.68643	-0.000343		
500.8069611	1.467771279		-0.006801043			500.8069611	-0.000774001		
500.9274923	1.467974431		-0.009565628			500.9274923	-0.001198001		
501.0480235	1.469116187		-0.012024748			501.0480235	-0.001572001		
501.1685546	1.470504672		-0.014003859			501.1685546	-0.001872001		
501.2890858	1.472328784		-0.01547636			501.2890858	-0.002093001		
501.409617	1.474040116		-0.016502721			501.409617	-0.002246001		
501.5301481	1.47591327		-0.017175255			501.5301481	-0.002344		
501.6506793	1.477606203		-0.017552317			501.6506793	-0.002397		
501.7712105	1.479430918		-0.017648673			501.7712105	-0.002406		
501.8917416	1.481078325		-0.017419833			501.8917416	-0.002365		
502.0122728	1.482736314		-0.01684558			502.0122728	-0.002269999		
502.1328039	1.484049421		-0.015918286			502.1328039	-0.002120999		
502.2533351	1.485121304		-0.014711235			502.2533351	-0.001929		
502.3738663	1.485653045		-0.013344391			502.3738663	-0.001714		
502.4943974	1.485822392		-0.011962289			502.4943974	-0.001497999		
502.6149286	1.485456129		-0.010700021			502.6149286	-0.001302999		
502.7354598	1.484799408		-0.009666274			502.7354598	-0.001144999		
502.8559909	1.483733185		-0.008947201			502.8559909	-0.001038		
502.9765221	1.482498075		-0.008633626			502.9765221	-0.000995		
503.0970533	1.481027581		-0.008833668			503.0970533	-0.001033		
503.2175844	1.479657205		-0.009641729			503.2175844	-0.001165001		
503.3381156	1.478473732		-0.011086547			503.3381156	-0.001395002		
503.4586468	1.477920061		-0.013076406			503.4586468	-0.001707002		
503.5791779	1.478097032		-0.015347273			503.5791779	-0.002060003		
503.6997091	1.47924212		-0.017515837			503.6997091	-0.002394		
503.8202402	1.481104306		-0.019163767			503.8202402	-0.002645		
503.9407714	1.483480764		-0.019981028			503.9407714	-0.002765		
504.0613026	1.485796222		-0.019882659			504.0613026	-0.002741999		
504.1818337	1.487758141		-0.019019199			504.1818337	-0.002599999		
504.3023649	1.488971689		-0.017739388			504.3023649	-0.002394999		
504.4228961	1.489537257		-0.01645818			504.4228961	-0.002192		
504.5434272	1.489522608		-0.015493827			504.5434272	-0.002041		
504.6639584	1.489345753		-0.015002807			504.6639584	-0.001965		
504.7844896	1.489197876		-0.014939121			504.7844896	-0.001956		
504.9050207	1.489386942		-0.015113514			504.9050207	-0.001983		
505.0255519	1.489825925		-0.015288062			505.0255519	-0.002009		
505.146083	1.490531686		-0.015323404			505.146083	-0.002012		
505.2666142	1.491283797		-0.015144141			505.2666142	-0.001981		
505.3871454	1.492080279		-0.014782424			505.3871454	-0.001921		
505.5076765	1.492809074		-0.01426092			505.5076765	-0.001836		
505.6282077	1.49355618		-0.013569574			505.6282077	-0.001723999		
505.7487389	1.494200671		-0.012641825			505.7487389	-0.001574999		
505.86927	1.494710234		-0.011426135			505.86927	-0.001381		
505.9898012	1.49482544		-0.00993334			505.9898012	-0.001145		
506.1103324	1.494418004		-0.008303916			506.1103324	-0.000889999		
506.2308635	1.493299561		-0.006840751			506.2308635	-0.000664999		
506.3513947	1.491637767		-0.005878393			506.3513947	-0.000522		
506.4719258	1.48960636		-0.005696908			506.4719258	-0.000504001		
506.592457	1.48770409		-0.006416904			506.592457	-0.000627		
506.7129882	1.486277936		-0.007885548			506.7129882	-0.000865		
506.8335193	1.485674783		-0.00976859			506.8335193	-0.001164001		
506.9540505	1.485884908		-0.011642715			506.9540505	-0.001458001		
507.0745817	1.486812163		-0.013134268			507.0745817	-0.001689001		
507.1951128	1.488072518		-0.014042269			507.1951128	-0.001827		
507.315644	1.489416271		-0.014361739			507.315644	-0.001872		
507.4361752	1.49054061		-0.014225599			507.4361752	-0.001846		
507.5567063	1.491404205		-0.013817134			507.5567063	-0.001778		
507.6772375	1.491926641		-0.013304953			507.6772375	-0.001695		
507.7977686	1.4922287		-0.012793338			507.7977686	-0.001613		
507.9182998	1.492264811		-0.012324926			507.9182998	-0.001539		
508.038831	1.492098424		-0.011977124			508.038831	-0.001485		
508.1593621	1.491683985		-0.011849551			508.1593621	-0.001467		
508.2798933	1.491151897		-0.01209138			508.2798933	-0.001508		
508.4004245	1.490638383		-0.012833033			508.4004245	-0.001628001		
508.5209556	1.490486391		-0.014077558			508.5209556	-0.001826001		
508.6414868	1.490925076		-0.015678127			508.6414868	-0.002078002		
508.762018	1.492227387		-0.017305225			508.762018	-0.002331002		
508.8825491	1.494331397		-0.018533747			508.8825491	-0.002518		
509.0030803	1.497089417		-0.018972091			509.0030803	-0.002577		
509.1236114	1.500028796		-0.018356279			509.1236114	-0.002466999		
509.2441426	1.502716551		-0.016687034			509.2441426	-0.002188998		
509.3646738	1.504679971		-0.014178697			509.3646738	-0.001778997		
509.4852049	1.505703221		-0.011209636			509.4852049	-0.001298996		
509.6057361	1.505675662		-0.008226801			509.6057361	-0.000822		
509.7262673	1.504800618		-0.00561314			509.7262673	-0.000408999		
509.8467984	1.503285328		-0.003630334			509.8467984	-0.000100999		
509.9673296	1.501518896		-0.002393545			509.9673296	8.6E-5		
510.0878608	1.49974715		-0.001857665			510.0878608	0.000161		
510.2083919	1.498252906		-0.001897044			510.2083919	0.000145999		
510.3289231	1.497135155		-0.002327735			510.3289231	7.1E-5		
510.4494543	1.496519988		-0.00294054			510.4494543	-3.0E-5		
510.5699854	1.496340606		-0.003531326			510.5699854	-0.000125		
510.6905166	1.496579604		-0.003916878			510.6905166	-0.000185		
510.8110477	1.497032615		-0.003964496			510.8110477	-0.00019		
510.9315789	1.497599196		-0.003595888			510.9315789	-0.000127999		
511.0521101	1.497966448		-0.002806697			511.0521101	0		
511.1726412	1.498073366		-0.001795316			511.1726412	0.000162		
511.2931724	1.497834178		-0.000589398			511.2931724	0.000353001		
511.4137036	1.497155104		0.00064612			511.4137036	0.000546001		
511.5342347	1.496035778		0.001717505			511.5342347	0.000710001		
511.6547659	1.494581181		0.002488928			511.6547659	0.000824		
511.7752971	1.492871878		0.002837163			511.7752971	0.000869		
511.8958282	1.491103743		0.002702992			511.8958282	0.000837		
512.0163594	1.489394759		0.002080598			512.0163594	0.000727999		
512.1368905	1.487939735		0.001012248			512.1368905	0.000549999		
512.2574217	1.486834419		-0.000410846			512.2574217	0.000317999		
512.3779529	1.486226956		-0.002047884			512.3779529	5.4998E-5		
512.498484	1.486117709		-0.003720639			512.498484	-0.000211		
512.6190152	1.486528956		-0.005245654			512.6190152	-0.000451		
512.7395464	1.487310218		-0.006453563			512.7395464	-0.000639		
512.8600775	1.488358336		-0.007253386			512.8600775	-0.000761		
512.9806087	1.48945287		-0.007588958			512.9806087	-0.000809		
513.1011399	1.490462289		-0.00752014			513.1011399	-0.000793		
513.221671	1.491233047		-0.007118102			513.221671	-0.000725		
513.3422022	1.491708842		-0.006512851			513.3422022	-0.000626		
513.4627333	1.491839264		-0.005821509			513.4627333	-0.000515		
513.5832645	1.491648717		-0.005150932			513.5832645	-0.000409		
513.7037957	1.49112541		-0.004619366			513.7037957	-0.000327		
513.8243268	1.490369999		-0.004336643			513.8243268	-0.000286		
513.944858	1.489445877		-0.004386619			513.944858	-0.000299		
