Reference:	"Gerakines and Hudson (2020)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/abad39"
Sample Type:	"Ice"
Composition:	"CO2 (1)"
Temperature:	"8K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/55"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
500	1.39029329			500	0			500	0		
500.2	1.39029329			500.2	-0.000505479			500.2	-2.03E-5		
500.4	1.39027973			500.4	-0.002578594			500.4	-0.0001036		
500.6	1.392647297			500.6	-0.004721477			500.6	-0.0001901		
500.8	1.396909656			500.8	-0.004640972			500.8	-0.0001875		
501	1.400655514			501	-0.001154955			501	-4.68E-5		
501.2	1.401352265			501.2	0.004443807			501.2	0.0001802		
501.4	1.398242008			501.4	0.009399188			501.4	0.0003804		
501.6	1.392889588			501.6	0.011289196			501.6	0.0004553		
501.8	1.387917674			501.8	0.009623366			501.8	0.0003869		
502	1.385458463			502	0.005820342			502	0.0002337		
502.2	1.385798932			502.2	0.002212481			502.2	8.89E-5		
502.4	1.387679975			502.4	0.000303085			502.4	1.22E-5		
502.6	1.389407705			502.6	0.000120293			502.6	4.85E-6		
502.8	1.390270473			502.8	0.000612021			502.8	2.47E-5		
503	1.39058634			503	0.001027679			503	4.15E-5		
503.2	1.390879346			503.2	0.001408215			503.2	5.69E-5		
503.4	1.391104524			503.4	0.002139654			503.4	8.65E-5		
503.6	1.390803671			503.6	0.003385891			503.6	0.0001369		
503.8	1.389340124			503.8	0.004655444			503.8	0.0001881		
504	1.386778206			504	0.005016729			504	0.0002024		
504.2	1.383795763			504.2	0.003706984			504.2	0.0001493		
504.4	1.381615369			504.4	0.00063882			504.4	2.57E-5		
504.6	1.38120715			504.6	-0.003506617			504.6	-0.0001411		
504.8	1.383059611			504.8	-0.007360229			504.8	-0.0002967		
505	1.386314113			505	-0.009628018			505	-0.0003892		
505.2	1.389742059			505.2	-0.010059387			505.2	-0.0004078		
505.4	1.392328124			505.4	-0.009256875			505.4	-0.0003761		
505.6	1.394037689			505.6	-0.008106987			505.6	-0.0003299		
505.8	1.395221058			505.8	-0.006973115			505.8	-0.0002841		
506	1.396209145			506	-0.005683447			506	-0.0002318		
506.2	1.396651516			506.2	-0.004089486			506.2	-0.0001669		
506.4	1.396379892			506.4	-0.002525852			506.4	-0.0001031		
506.6	1.395377919			506.6	-0.001431261			506.6	-5.84E-5		
506.8	1.39419656			506.8	-0.001103378			506.8	-4.5E-5		
507	1.393097351			507	-0.001297599			507	-5.29E-5		
507.2	1.39218383			507.2	-0.001913782			507.2	-7.8E-5		
507.4	1.391404592			507.4	-0.002929998			507.4	-0.0001194		
507.6	1.391045049			507.6	-0.004497342			507.6	-0.0001833		
507.8	1.391441691			507.8	-0.006374655			507.8	-0.00026		
508	1.392787228			508	-0.008109083			508	-0.0003312		
508.2	1.394803901			508.2	-0.009240236			508.2	-0.0003781		
508.4	1.397254076			508.4	-0.009647257			508.4	-0.000395601		
508.6	1.399889504			508.6	-0.009160858			508.6	-0.000376499		
508.8	1.402423048			508.8	-0.007597088			508.8	-0.0003129		
509	1.404164801			509	-0.004940519			509	-0.0002038		
509.2	1.404626261			509.2	-0.001758874			509.2	-7.26E-5		
509.4	1.403703599			509.4	0.001238431			509.4	5.11E-5		
509.6	1.401815859			509.6	0.003508033			509.6	0.0001446		
509.8	1.399271834			509.8	0.004946641			509.8	0.0002036		
510	1.396255511			510	0.00534734			510	0.0002197		
510.2	1.393115958			510.2	0.004291588			510.2	0.000176		
510.4	1.390901667			510.4	0.001667333			510.4	6.83E-5		
510.6	1.390503654			510.6	-0.001630424			510.6	-6.68E-5		
510.8	1.391912766			510.8	-0.004143271			510.8	-0.00017		
511	1.393736486			511	-0.005033999			511	-0.0002069		
511.2	1.394834953			511.2	-0.005040308			511.2	-0.0002074		
511.4	1.395219362			511.4	-0.005209424			511.4	-0.0002145		
511.6	1.395759992			511.6	-0.005882431			511.6	-0.0002424		
511.8	1.396855617			511.8	-0.00635304			511.8	-0.0002621		
512	1.397939129			512	-0.006127885			512	-0.0002531		
512.2	1.398323964			512.2	-0.005676333			512.2	-0.0002346		
512.4	1.398333723			512.4	-0.005802338			512.4	-0.0002399		
512.6	1.39876052			512.6	-0.006484691			512.6	-0.0002683		
512.8	1.39994224			512.8	-0.007015038			512.8	-0.0002906		
513	1.401365703			513	-0.006865494			513	-0.0002848		
513.2	1.402543807			513.2	-0.006243312			513.2	-0.0002593		
513.4	1.403500618			513.4	-0.005493609			513.4	-0.0002284		
513.6	1.404479167			513.6	-0.004481133			513.6	-0.0001865		
513.8	1.405189993			513.8	-0.002919291			513.8	-0.0001216		
514	1.405115997			514	-0.000909634			514	-3.79E-5		
514.2	1.403876702			514.2	0.000809273			514.2	3.37E-5		
514.4	1.402059047			514.4	0.001516705			514.4	6.31E-5		
514.6	1.400309659			514.6	0.001234136			514.6	5.13E-5		
514.8	1.399093185			514.8	0.000247905			514.8	1.03E-5		
515	1.398472548			515	-0.001030165			515	-4.28E-5		
515.2	1.398461309			515.2	-0.00243724			515.2	-0.0001013		
515.4	1.399121396			515.4	-0.003694714			515.4	-0.0001537		
515.6	1.400301965			515.6	-0.004388827			515.6	-0.0001828		
515.8	1.401477358			515.8	-0.004337953			515.8	-0.0001809		
516	1.402179923			516	-0.003811921			516	-0.0001591		
516.2	1.40233257			516.2	-0.003374267			516.2	-0.0001409		
516.4	1.402342466			516.4	-0.0032557			516.4	-0.000136		
516.6	1.402448941			516.6	-0.003342758			516.6	-0.0001397		
516.8	1.402696638			516.8	-0.003381582			516.8	-0.0001414		
517	1.402844156			517	-0.00338474			517	-0.0001416		
517.2	1.402915481			517.2	-0.003512326			517.2	-0.000147		
517.4	1.403035841			517.4	-0.0039501			517.4	-0.0001654		
517.6	1.403583876			517.6	-0.004555558			517.6	-0.0001909		
517.8	1.404566367			517.8	-0.005055976			517.8	-0.0002121		
518	1.405992227			518	-0.005125161			518	-0.0002153		
518.2	1.407447892			518.2	-0.004609318			518.2	-0.0001939		
518.4	1.408839178			518.4	-0.003594247			518.4	-0.0001514		
518.6	1.410002248			518.6	-0.002036918			518.6	-8.59E-5		
518.8	1.410788397			518.8	0.000244029			518.8	1.03E-5		
519	1.410387144			519	0.003224469			519	0.0001361		
519.2	1.408220591			519.2	0.006001468			519.2	0.000253		
519.4	1.404446338			519.4	0.007151996			519.4	0.0003008		
519.6	1.40073068			519.6	0.005745354			519.6	0.0002411		
519.8	1.398758638			519.8	0.002552201			519.8	0.000107		
520	1.399195989			520	-0.000693572			520	-2.91E-5		
520.2	1.400981488			520.2	-0.002488834			520.2	-0.0001046		
520.4	1.402779692			520.4	-0.00287666			520.4	-0.0001211		
520.6	1.40394309			520.6	-0.002583777			520.6	-0.0001089		
520.8	1.404805438			520.8	-0.002223353			520.8	-9.38E-5		
521	1.405569367			521	-0.00150617			521	-6.36E-5		
521.2	1.405851963			521.2	-0.000352671			521.2	-1.49E-5		
521.4	1.405267134			521.4	0.000859256			521.4	3.63E-5		
521.6	1.403935779			521.6	0.001466102			521.6	6.19E-5		
521.8	1.402391251			521.8	0.001163769			521.8	4.91E-5		
522	1.401163599			522	6.9243E-5			522	2.92E-6		
522.2	1.40045662			522.2	-0.001510675			522.2	-6.37E-5		
522.4	1.40037261			522.4	-0.003401953			522.4	-0.0001435		
522.6	1.401070003			522.6	-0.00539075			522.6	-0.0002276		
522.8	1.402597904			522.8	-0.007021619			522.8	-0.0002969		
523	1.404590636			523	-0.007979156			523	-0.000338		
523.2	1.406749195			523.2	-0.008220805			523.2	-0.000348901		
523.4	1.408785049			523.4	-0.007843801			523.4	-0.0003335		
523.6	1.410678357			523.6	-0.006947772			523.6	-0.0002959		
523.8	1.412222435			523.8	-0.005432627			523.8	-0.0002317		
524	1.413033544			524	-0.003495167			524	-0.0001492		
524.2	1.413023744			524.2	-0.001709563			524.2	-7.3E-5		
