Reference:	"Gerakines and Hudson (2020)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/abad39"
Sample Type:	"Ice"
Composition:	"CO2 (1)"
Temperature:	"70K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/56"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
500	1.69796762		0.073450635			500	0.000683978		
500.05	1.69796762		0.051514059			500.05	0.000481807		
500.1	1.708355948		0.02466551			500.1	0.000236008		
500.15	1.723478319		-0.00075			500.15	6.15E-7		
500.2	1.776261305		-0.001103717			500.2	-7.39E-7		
500.25	1.816741727		0.033073171			500.25	0.000338458		
500.3	1.841071342		0.101746139			500.3	0.001030834		
500.35	1.803792677		0.172178108			500.35	0.001697788		
500.4	1.743374222		0.203017188			500.4	0.001930382		
500.45	1.681183902		0.195912702			500.45	0.00179497		
500.5	1.644435465		0.166366459			500.5	0.001491256		
500.55	1.625433541		0.130084128			500.55	0.001153491		
500.6	1.630162311		0.098094108			500.6	0.000873795		
500.65	1.643294164		0.077289085			500.65	0.000695471		
500.7	1.663789225		0.073157995			500.7	0.00066743		
500.75	1.66910937		0.077628663			500.75	0.00071035		
500.8	1.67617873		0.076307836			500.8	0.000701603		
500.85	1.68346935		0.083447033			500.85	0.000770288		
500.9	1.679640377		0.094592591			500.9	0.000870269		
500.95	1.665836572		0.090840357			500.95	0.000828806		
501	1.667161264		0.074229348			501	0.000678983		
501.05	1.684692695		0.063834147			501.05	0.000591461		
501.1	1.70782541		0.072951344			501.1	0.000685098		
501.15	1.716618412		0.092615215			501.15	0.000872601		
501.2	1.716971689		0.111180784			501.2	0.00104624		
501.25	1.712172614		0.12438896			501.25	0.001166234		
501.3	1.71206207		0.141812213			501.3	0.001328465		
501.35	1.695573145		0.166491675			501.35	0.001542769		
501.4	1.666949683		0.177448176			501.4	0.001615319		
501.45	1.635050848		0.175862762			501.45	0.001569631		
501.5	1.603204966		0.15509708			501.5	0.001357408		
501.55	1.593794283		0.112581516			501.55	0.00098067		
501.6	1.621051529		0.08294782			501.6	0.00073668		
501.65	1.651556394		0.087979156			501.65	0.000796674		
501.7	1.658699721		0.111012306			501.7	0.001008401		
501.75	1.640203487		0.118509862			501.75	0.001063695		
501.8	1.634906238		0.098529292			501.8	0.000882355		
501.85	1.65867217		0.088734654			501.85	0.00080744		
501.9	1.678871829		0.108941151			501.9	0.001002714		
501.95	1.675717736		0.133374649			501.95	0.001223784		
502	1.662554816		0.149368243			502	0.00135868		
502.05	1.645283462		0.153844503			502.05	0.001384323		
502.1	1.636175899		0.152566894			502.1	0.001365174		
502.15	1.628304846		0.154355852			502.15	0.001374401		
502.2	1.620168082		0.155902902			502.2	0.001381116		
502.25	1.610719089		0.158713439			502.25	0.001397626		
502.3	1.596105877		0.161954345			502.3	0.001412928		
502.35	1.57567373		0.156240768			502.35	0.001345502		
502.4	1.56128167		0.142695522			502.4	0.00121782		
502.45	1.548825239		0.12756215			502.45	0.001080228		
502.5	1.538579401		0.104402234			502.5	0.00087871		
502.55	1.541803229		0.07184635			502.55	0.000606896		
502.6	1.567801061		0.04720584			502.6	0.000406893		
502.65	1.601637483		0.046936044			502.65	0.000414114		
502.7	1.622957134		0.071328282			502.7	0.000636252		
502.75	1.613262174		0.100729898			502.75	0.000891084		
502.8	1.582905905		0.107794969			502.8	0.000934727		
502.85	1.556564448		0.086868873			502.85	0.000740973		
502.9	1.550812865		0.051737797			502.9	0.000440756		
502.95	1.568922139		0.016460137			502.95	0.000143996		
503	1.606791075		0.001078502			503	1.3305E-5		
503.05	1.640504909		0.007935744			503.05	7.5944E-5		
503.1	1.667526424		0.026717884			503.1	0.000249133		
503.15	1.679626358		0.058076657			503.15	0.000539092		
503.2	1.670503126		0.086238239			503.2	0.000792881		
503.25	1.650001373		0.098770242			503.25	0.00089556		
503.3	1.630585542		0.093986309			503.3	0.000841986		
503.35	1.624866512		0.074886557			503.35	0.000669433		
503.4	1.642559967		0.060749761			503.4	0.000550374		
503.45	1.666756413		0.068906436			503.45	0.000633528		
503.5	1.67924828		0.094550842			503.5	0.000874024		
503.55	1.671324221		0.123696142			503.55	0.001135847		
503.6	1.647593851		0.142100431			503.6	0.00128478		
503.65	1.619391466		0.142897039			503.65	0.001269238		
503.7	1.598250944		0.131916118			503.7	0.001156418		
503.75	1.582196872		0.113781543			503.75	0.000987764		
503.8	1.577699535		0.086577655			503.8	0.000750326		
503.85	1.59192355		0.061137921			503.85	0.000535998		
503.9	1.618299939		0.052015102			503.9	0.000464808		
503.95	1.641105052		0.059929283			503.95	0.000543064		
504	1.653252087		0.078101612			504	0.000711827		
504.05	1.649249848		0.094686078			504.05	0.000859668		
504.1	1.64312902		0.097721454			504.1	0.000883672		
504.15	1.64649525		0.100105392			504.15	0.000907131		
504.2	1.65022893		0.111019249			504.2	0.001007896		
504.25	1.647110856		0.128525472			504.25	0.001163717		
504.3	1.626563393		0.147371881			504.3	0.00131643		
504.35	1.59160157		0.142585711			504.35	0.001245784		
504.4	1.573812291		0.114199729			504.4	0.00098718		
504.45	1.577539731		0.087403093			504.45	0.000758311		
504.5	1.590501789		0.069625321			504.5	0.000610081		
504.55	1.60809698		0.057289848			504.55	0.000508664		
504.6	1.633395771		0.052961144			504.6	0.000478636		
504.65	1.661073775		0.06439293			504.65	0.000591597		
504.7	1.678025868		0.092410578			504.7	0.000855701		
504.75	1.675047497		0.121920745			504.75	0.001124833		
504.8	1.663916386		0.141898749			504.8	0.001299117		
504.85	1.650938771		0.159376988			504.85	0.001446694		
504.9	1.628117902		0.175352222			504.9	0.001568604		
504.95	1.597277577		0.174665994			504.95	0.001532327		
505	1.57859962		0.159966434			505	0.001387116		
505.05	1.570298834		0.148792244			505.05	0.001283692		
505.1	1.559688943		0.140957727			505.1	0.001208		
505.15	1.547342262		0.122580581			505.15	0.001042519		
505.2	1.554324359		0.096784654			505.2	0.000827694		
505.25	1.577357066		0.091650832			505.25	0.000796117		
505.3	1.585255393		0.109215319			505.3	0.000953004		
505.35	1.568807808		0.119713461			505.35	0.001033148		
505.4	1.550889948		0.110478509			505.4	0.000942571		
505.45	1.542800495		0.092834644			505.45	0.000788311		
505.5	1.543955438		0.07371612			505.5	0.000627067		
505.55	1.553889481		0.056847504			505.55	0.000487518		
505.6	1.57100812		0.048792774			505.6	0.000423834		
505.65	1.584891752		0.053229568			505.65	0.000466524		
505.7	1.584797968		0.060690623			505.7	0.000531446		
505.75	1.577525032		0.051789604			505.75	0.000451811		
505.8	1.590496684		0.031500068			505.8	0.000278652		
505.85	1.622070175		0.032269256			505.85	0.000291843		
505.9	1.637861734		0.060038453			505.9	0.000544921		
505.95	1.622300439		0.081773123			505.95	0.000732994		
506	1.601233911		0.07449354			506	0.000659024		
506.05	1.60128104		0.049950153			506.05	0.000443244		
506.1	1.62740174		0.033995609			506.1	0.000308521		
506.15	1.661349751		0.044139284			506.15	0.000408551		
506.2	1.681623568		0.076887331			506.2	0.00071675		
506.25	1.675834524		0.116734759			506.25	0.001080908		
506.3	1.644910262		0.142436425			506.3	0.001292298		
506.35	1.608902143		0.138245911			506.35	0.001226211		
506.4	1.592510518		0.115928901			506.4	0.001018271		
506.45	1.59419717		0.096749385			506.45	0.000851503		
506.5	1.603108074		0.086234867			506.5	0.000763923		
506.55	1.612984658		0.081624139			506.55	0.000728067		
506.6	1.625072484		0.080293832			506.6	0.000722017		
506.65	1.64013696		0.08688853			506.65	0.000788642		
506.7	1.648511459		0.105443371			506.7	0.000961114		
506.75	1.640864492		0.122554036			506.75	0.00111085		
506.8	1.631069		0.125703008			506.8	0.001132295		
506.85	1.633229013		0.12642147			506.85	0.001140408		
506.9	1.639149437		0.1411723			506.9	0.001277706		
506.95	1.630527071		0.167012513			506.95	0.001502432		
507	1.600104835		0.188523127			507	0.001662955		
507.05	1.55325338		0.185138925			507.05	0.001584606		
507.1	1.517994906		0.146462379			507.1	0.001225429		
507.15	1.520913215		0.09452899			507.15	0.00079345		
507.2	1.557173208		0.064119508			507.2	0.000552494		
507.25	1.598437915		0.069130456			507.25	0.000612194		
507.3	1.619576687		0.099726966			507.3	0.000893619		
507.35	1.611653271		0.131235714			507.35	0.001168564		
507.4	1.588488438		0.146210814			507.4	0.001282223		
507.45	1.565187151		0.144262608			507.45	0.001246275		
507.5	1.55047133		0.133790946			507.5	0.001145044		
507.55	1.541178097		0.122313189			507.55	0.001040749		
507.6	1.535782795		0.107823984			507.6	0.00091459		
