Reference:	"Gerakines and Hudson (2020)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/abad39"
Sample Type:	"Ice"
Composition:	"N2O (1)"
Temperature:	"70K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/58"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
450.0030818	1.660310922			450.0030818	0.117896667			450.0030818	0.009397619		
450.0332146	1.660310922			450.0332146	0.167658983			450.0332146	0.013179581		
450.0633474	1.641933335			450.0633474	0.21440066			450.0633474	0.016497368		
450.0934801	1.58084139			450.0934801	0.252363509			450.0934801	0.018520938		
450.1236129	1.524244973			450.1236129	0.264900656			450.1236129	0.018665544		
450.1537457	1.455054432			450.1537457	0.250861069			450.1537457	0.016837825		
450.1838785	1.411441387			450.1838785	0.207662984			450.1838785	0.013524813		
450.2140113	1.389822044			450.2140113	0.150518644			450.2140113	0.00966193		
450.2441441	1.408575193			450.2441441	0.097279424			450.2441441	0.006345095		
450.2742769	1.444875358			450.2742769	0.066726366			450.2742769	0.004493817		
450.3044097	1.49341034			450.3044097	0.064945802			450.3044097	0.004569168		
450.3345424	1.527680894			450.3345424	0.089275852			450.3345424	0.006432865		
450.3646752	1.54727431			450.3646752	0.129336816			450.3646752	0.009396604		
450.394808	1.538801477			450.394808	0.173573796			450.394808	0.012458702		
450.4249408	1.513139196			450.4249408	0.208797279			450.4249408	0.014661934		
450.4550736	1.470228168			450.4550736	0.226783227			450.4550736	0.015418621		
450.4852064	1.428785676			450.4852064	0.222430583			450.4852064	0.01467464		
450.5153392	1.394133021			450.5153392	0.199752948			450.5153392	0.012854784		
450.545472	1.380270601			450.545472	0.166928607			450.545472	0.010640589		
450.5756048	1.382489648			450.5756048	0.136221442			450.5756048	0.008703878		
450.6057375	1.400538491			450.6057375	0.115687063			450.6057375	0.007500174		
450.6358703	1.421318332			450.6358703	0.108997191			450.6358703	0.007185718		
450.6660031	1.443073614			450.6660031	0.114303634			450.6660031	0.007665561		
450.6961359	1.457307706			450.6961359	0.128592179			450.6961359	0.008713525		
450.7262687	1.467432231			450.7262687	0.148071354			450.7262687	0.010099457		
450.7564015	1.469173139			450.7564015	0.171091472			450.7564015	0.011668073		
450.7865343	1.466989427			450.7865343	0.196182028			450.7865343	0.013338239		
450.8166671	1.456313114			450.8166671	0.223510345			450.8166671	0.015056492		
450.8467998	1.439751407			450.8467998	0.251721781			450.8467998	0.016732588		
450.8769326	1.411975169			450.8769326	0.279765446			450.8769326	0.018205727		
450.9070654	1.375256998			450.9070654	0.304120966			450.9070654	0.019252074		
450.9371982	1.325938624			450.9371982	0.321755357			450.9371982	0.019628654		
450.967331	1.268112479			450.967331	0.327597357			450.967331	0.019124828		
450.9974638	1.201402193			450.9974638	0.317772278			450.9974638	0.017608327		
451.0275966	1.132979017			451.0275966	0.286938759			451.0275966	0.015042889		
451.0577294	1.067890588			451.0577294	0.231594792			451.0577294	0.011499654		
