Reference:	"Gerakines and Hudson (2020)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/abad39"
Sample Type:	"Ice"
Composition:	"CH4 (1)"
Temperature:	"8K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/59"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
399.99	1.33791087			399.99	0.033065795			399.99	0.0041421		
400.1	1.338158399			400.1	0.030459227			400.1	0.003822484		
400.2	1.339976967			400.2	0.02910945			400.2	0.003664105		
400.29	1.336293489			400.29	0.029893219			400.29	0.003746602		
400.39	1.338400536			400.39	0.033479066			400.39	0.004199101		
400.49	1.332477778			400.49	0.038450045			400.49	0.004785197		
400.6	1.326672883			400.6	0.041352837			400.6	0.005114271		
400.7	1.317580402			400.7	0.040756523			400.7	0.004998771		
400.79	1.312630649			400.79	0.037059837			400.79	0.004528297		
400.89	1.307298031			400.89	0.031450764			400.89	0.003828698		
400.99	1.30597994			400.99	0.025015435			400.99	0.003046898		
401.1	1.304836432			401.1	0.016943629			401.1	0.002067812		
401.2	1.308373856			401.2	0.008243283			401.2	0.001020313		
401.29	1.315081124			401.29	0.001016131			401.29	0.000149522		
401.39	1.328084726			401.39	-0.000779351			401.39	-5.6075E-5		
401.49	1.338296531			401.49	0.004035106			401.49	0.000555916		
401.6	1.346036692			401.6	0.013908367			401.6	0.001804764		
401.7	1.347011947			401.7	0.024395653			401.7	0.003117618		
401.79	1.344161712			401.79	0.032755407			401.79	0.004148573		
401.89	1.337241176			401.89	0.036673257			401.89	0.004603781		
401.99	1.333412163			401.99	0.0367628			401.99	0.004597894		
402.1	1.331381902			402.1	0.035617273			402.1	0.004448343		
402.2	1.332873382			402.2	0.035675823			402.2	0.004463401		
402.29	1.334111464			402.29	0.037736982			402.29	0.004724716		
402.39	1.335478311			402.39	0.042582044			402.39	0.005331608		
402.49	1.332903321			402.49	0.04885178			402.49	0.006092993		
402.6	1.327323297			402.6	0.054509123			402.6	0.006757355		
402.7	1.318972146			402.7	0.057290038			402.7	0.00704777		
402.79	1.311151831			402.79	0.056172141			402.79	0.00686507		
402.89	1.303849557			402.89	0.050745585			402.89	0.006167787		
402.99	1.301513794			402.99	0.043350195			402.99	0.005264011		
403.1	1.302339742			403.1	0.036749521			403.1	0.004470937		
403.2	1.305494587			403.2	0.031998249			403.2	0.003908644		
403.29	1.309816318			403.29	0.029278078			403.29	0.003594632		
403.39	1.316082166			403.39	0.029865727			403.39	0.00369023		
403.49	1.320543055			403.49	0.03385183			403.49	0.004197522		
403.6	1.322659288			403.6	0.041046549			403.6	0.005091777		
403.7	1.320000792			403.7	0.04843508			403.7	0.005985665		
403.79	1.313976519			403.79	0.053603184			403.79	0.006584739		
403.89	1.304326718			403.89	0.053491292			403.89	0.006517047		
403.99	1.298267734			403.99	0.048017251			403.99	0.00582419		
404.1	1.296702011			404.1	0.040844707			404.1	0.004952449		
404.2	1.299564754			404.2	0.035875174			404.2	0.004365052		
404.29	1.303696747			404.29	0.034651922			404.29	0.004234147		
404.39	1.307006486			404.39	0.037476529			404.39	0.004592309		
404.49	1.306184563			404.49	0.041183784			404.49	0.00504088		
404.6	1.303323083			404.6	0.043335695			404.6	0.005290239		
404.7	1.299799666			404.7	0.043754326			404.7	0.005325523		
404.79	1.297056392			404.79	0.042974184			404.79	0.005219392		
404.9	1.293447527			404.9	0.041149243			404.9	0.004984164		
404.99	1.290833027			404.99	0.03838354			404.99	0.004640684		
405.1	1.288619733			405.1	0.033443152			405.1	0.004038437		
405.2	1.288675175			405.2	0.027481293			405.2	0.003321419		
405.3	1.291888013			405.3	0.021644269			405.3	0.002626744		
405.4	1.297732379			405.4	0.018126786			405.4	0.002215652		
405.49	1.303509909			405.49	0.017525501			405.49	0.002156735		
405.6	1.309489208			405.6	0.019532039			405.6	0.002418281		
405.7	1.313855752			405.7	0.022502954			405.7	0.002796335		
405.8	1.317635891			405.8	0.026601569			405.8	0.003314168		
405.9	1.32073249			405.9	0.032645144			405.9	0.004072315		
405.99	1.320847737			405.99	0.040487004			405.99	0.005041772		
406.1	1.315431047			406.1	0.048123635			406.1	0.005955216		
406.2	1.308157045			406.2	0.052288996			406.2	0.006426701		
406.3	1.299648818			406.3	0.051967471			406.3	0.006341802		
406.4	1.293487515			406.4	0.048007811			406.4	0.005831138		
406.49	1.290305128			406.49	0.042718772			406.49	0.005178014		
406.59	1.2906081			406.59	0.037497757			406.59	0.004549725		
406.7	1.292285353			406.7	0.033427192			406.7	0.004064676		
406.8	1.29549358			406.8	0.031042893			406.8	0.003787985		
406.89	1.298691396			406.89	0.030938063			406.89	0.003787341		
406.99	1.301165049			406.99	0.033076132			406.99	0.004058006		
407.1	1.30104002			407.1	0.035780546			407.1	0.004388516		
407.2	1.299834994			407.2	0.037380297			407.2	0.004579667		
407.3	1.297875614			407.3	0.037735027			407.3	0.004615764		
407.39	1.296710367			407.39	0.037117136			407.39	0.004536695		
407.49	1.295802938			407.49	0.036163003			407.49	0.004417996		
407.6	1.295571489			407.6	0.034848451			407.6	0.004258283		
407.7	1.295850786			407.7	0.03364317			407.7	0.004113646		
407.8	1.296725994			407.8	0.032898456			407.8	0.004027166		
407.89	1.297224459			407.89	0.032401675			407.89	0.003969291		
407.99	1.298168528			407.99	0.031408622			407.99	0.003852488		
408.1	1.300586295			408.1	0.029740239			408.1	0.003658141		
408.2	1.305576507			408.2	0.029280644			408.2	0.003620437		
408.3	1.312297449			408.3	0.032939564			408.3	0.004097295		
408.39	1.316995095			408.39	0.041347442			408.39	0.00515746		
408.49	1.314792518			408.49	0.053639724			408.49	0.006665125		
408.6	1.304937261			408.6	0.063466558			408.6	0.007811471		
408.7	1.292289861			408.7	0.066907767			408.7	0.008148349		
408.8	1.279991473			408.8	0.063032249			408.8	0.007603426		
408.89	1.273484087			408.89	0.055066102			408.89	0.006611944		
408.99	1.272856774			408.99	0.047773075			408.99	0.005737198		
409.1	1.273125487			409.1	0.044483325			409.1	0.005345701		
409.2	1.271414132			409.2	0.043087212			409.2	0.005172355		
