Reference:	"Gerakines et al. (2023)"
DOI:	"doi:https://doi.org/10.1093/mnras/stad1164"
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"25K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/64"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
1500.0102	1.29671		1.29671		
1500.0705	1.29671		1.29671		
1500.1307	1.29672		1.29672		
1500.191	1.29678		1.29678		
1500.2513	1.29679		1.29679		
1500.3115	1.29684		1.29684		
1500.3718	1.2969		1.2969		
1500.432	1.29704		1.29704		
1500.4923	1.29723		1.29723		
1500.5526	1.29748		1.29748		
1500.6128	1.29772		1.29772		
1500.6731	1.29791		1.29791		
1500.7334	1.29797		1.29797		
1500.7936	1.2979		1.2979		
1500.8539	1.29768		1.29768		
1500.9142	1.29741		1.29741		
1500.9744	1.29715		1.29715		
1501.0347	1.297		1.297		
1501.095	1.29705		1.29705		
1501.1552	1.29729		1.29729		
1501.2155	1.29768		1.29768		
1501.2758	1.29826		1.29826		
1501.336	1.29885		1.29885		
1501.3963	1.2994		1.2994		
1501.4566	1.29977		1.29977		
1501.5168	1.29996		1.29996		
1501.5771	1.2999		1.2999		
1501.6374	1.29967		1.29967		
1501.6976	1.2993		1.2993		
1501.7579	1.29891		1.29891		
1501.8182	1.29853		1.29853		
1501.8784	1.29824		1.29824		
1501.9387	1.29802		1.29802		
1501.999	1.29791		1.29791		
1502.0592	1.29783		1.29783		
1502.1195	1.29778		1.29778		
1502.1797	1.2977		1.2977		
1502.24	1.29763		1.29763		
1502.3003	1.29756		1.29756		
1502.3605	1.29754		1.29754		
1502.4208	1.29755		1.29755		
1502.4811	1.29764		1.29764		
1502.5413	1.29772		1.29772		
1502.6016	1.29782		1.29782		
1502.6619	1.29785		1.29785		
1502.7221	1.29783		1.29783		
1502.7824	1.29775		1.29775		
1502.8427	1.29767		1.29767		
1502.9029	1.29761		1.29761		
1502.9632	1.29765		1.29765		
1503.0235	1.29775		1.29775		
1503.0837	1.29795		1.29795		
1503.144	1.29815		1.29815		
1503.2043	1.29834		1.29834		
1503.2645	1.29844		1.29844		
1503.3248	1.29848		1.29848		
1503.3851	1.29844		1.29844		
1503.4453	1.29841		1.29841		
1503.5056	1.29837		1.29837		
1503.5659	1.2984		1.2984		
1503.6261	1.29845		1.29845		
1503.6864	1.29854		1.29854		
1503.7467	1.29854		1.29854		
1503.8069	1.29847		1.29847		
1503.8672	1.29822		1.29822		
1503.9275	1.29786		1.29786		
1503.9877	1.2974		1.2974		
1504.048	1.29695		1.29695		
1504.1082	1.29658		1.29658		
1504.1685	1.29641		1.29641		
1504.2288	1.29643		1.29643		
1504.289	1.29668		1.29668		
1504.3493	1.29704		1.29704		
1504.4096	1.29747		1.29747		
1504.4698	1.29783		1.29783		
1504.5301	1.29809		1.29809		
1504.5904	1.29819		1.29819		
1504.6506	1.29819		1.29819		
1504.7109	1.29809		1.29809		
1504.7712	1.29797		1.29797		
1504.8314	1.29782		1.29782		
1504.8917	1.29769		1.29769		
1504.952	1.29749		1.29749		
1505.0122	1.29723		1.29723		
1505.0725	1.29686		1.29686		
1505.1328	1.29644		1.29644		
1505.193	1.29601		1.29601		
1505.2533	1.29567		1.29567		
1505.3136	1.29547		1.29547		
1505.3738	1.29549		1.29549		
1505.4341	1.29567		1.29567		
1505.4944	1.296		1.296		
1505.5546	1.29636		1.29636		
1505.6149	1.2967		1.2967		
1505.6752	1.29693		1.29693		
1505.7354	1.29709		1.29709		
1505.7957	1.29716		1.29716		
1505.8559	1.2972		1.2972		
1505.9162	1.2972		1.2972		
1505.9765	1.29721		1.29721		
1506.0367	1.29719		1.29719		
1506.097	1.29716		1.29716		
1506.1573	1.29709		1.29709		
1506.2175	1.29704		1.29704		
1506.2778	1.29698		1.29698		
1506.3381	1.29698		1.29698		
1506.3983	1.29699		1.29699		
1506.4586	1.29705		1.29705		
1506.5189	1.29709		1.29709		
1506.5791	1.29712		1.29712		
1506.6394	1.2971		1.2971		
1506.6997	1.29709		1.29709		
1506.7599	1.29708		1.29708		
1506.8202	1.29717		1.29717		
1506.8805	1.29733		1.29733		
1506.9407	1.29761		1.29761		
1507.001	1.29792		1.29792		
1507.0613	1.29826		1.29826		
1507.1215	1.29855		1.29855		
1507.1818	1.29879		1.29879		
1507.2421	1.29893		1.29893		
1507.3023	1.29904		1.29904		
1507.3626	1.29907		1.29907		
1507.4229	1.29907		1.29907		
1507.4831	1.29899		1.29899		
1507.5434	1.29888		1.29888		
1507.6037	1.29868		1.29868		
1507.6639	1.29846		1.29846		
1507.7242	1.2982		1.2982		
1507.7844	1.29798		1.29798		
1507.8447	1.29778		1.29778		
1507.905	1.29766		1.29766		
1507.9652	1.29753		1.29753		
1508.0255	1.29743		1.29743		
1508.0858	1.29731		1.29731		
1508.146	1.29721		1.29721		
1508.2063	1.29713		1.29713		
1508.2666	1.29712		1.29712		
1508.3268	1.29716		1.29716		
1508.3871	1.2973		1.2973		
1508.4474	1.29747		1.29747		
1508.5076	1.29764		1.29764		
1508.5679	1.29774		1.29774		
1508.6282	1.29778		1.29778		
1508.6884	1.29773		1.29773		
1508.7487	1.29767		1.29767		
1508.809	1.2976		1.2976		
1508.8692	1.29761		1.29761		
1508.9295	1.29766		1.29766		
1508.9898	1.29778		1.29778		
1509.05	1.29788		1.29788		
1509.1103	1.29797		1.29797		
1509.1706	1.29799		1.29799		
1509.2308	1.29799		1.29799		
1509.2911	1.29795		1.29795		
1509.3514	1.29793		1.29793		
1509.4116	1.29791		1.29791		
1509.4719	1.29793		1.29793		
1509.5322	1.29793		1.29793		
1509.5924	1.29792		1.29792		
1509.6527	1.29787		1.29787		
1509.7129	1.2978		1.2978		
1509.7732	1.29769		1.29769		
1509.8335	1.29759		1.29759		
1509.8937	1.29747		1.29747		
1509.954	1.29736		1.29736		
1510.0143	1.29721		1.29721		
1510.0745	1.29707		1.29707		
1510.1348	1.29691		1.29691		
1510.1951	1.29678		1.29678		
1510.2553	1.29668		1.29668		
1510.3156	1.29672		1.29672		
1510.3759	1.29686		1.29686		
1510.4361	1.29717		1.29717		
1510.4964	1.29758		1.29758		
1510.5567	1.29806		1.29806		
1510.6169	1.29851		1.29851		
1510.6772	1.2989		1.2989		
1510.7375	1.29914		1.29914		
1510.7977	1.29923		1.29923		
1510.858	1.29911		1.29911		
1510.9183	1.29885		1.29885		
1510.9785	1.29842		1.29842		
1511.0388	1.29793		1.29793		
1511.0991	1.29739		1.29739		
