Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH3 (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/65"
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
500.0838	0.00252		
500.2043	0.00178		
500.3248	0.00107		
500.4454	0.00048		
500.5659	3.3E-5		
500.6864	-0.000277		
500.807	-0.000479		
500.9275	-0.000604		
501.048	-0.00067		
501.1686	-0.00068		
501.2891	-0.000621		
501.4096	-0.000482		
501.5301	-0.000255		
501.6507	4.8E-5		
501.7712	0.000401		
501.8917	0.000763		
502.0123	0.00109		
502.1328	0.00135		
502.2533	0.00153		
502.3739	0.00164		
502.4944	0.00172		
502.6149	0.00184		
502.7355	0.00205		
502.856	0.00241		
502.9765	0.00293		
503.0971	0.0036		
503.2176	0.00437		
503.3381	0.00518		
503.4586	0.00595		
503.5792	0.0066		
503.6997	0.00706		
503.8202	0.00725		
503.9408	0.00711		
504.0613	0.00661		
504.1818	0.00575		
504.3024	0.00462		
504.4229	0.00336		
504.5434	0.00216		
504.664	0.00121		
504.7845	0.000661		
504.905	0.000542		
505.0256	0.000789		
505.1461	0.00125		
505.2666	0.00172		
505.3871	0.00205		
505.5077	0.00214		
505.6282	0.00202		
505.7487	0.00175		
505.8693	0.00146		
505.9898	0.00121		
506.1103	0.00102		
506.2309	0.000843		
506.3514	0.000597		
506.4719	0.00023		
506.5925	-0.000254		
506.713	-0.000781		
506.8335	-0.00123		
506.9541	-0.00146		
507.0746	-0.0014		
507.1951	-0.00105		
507.3156	-0.000489		
507.4362	0.000158		
507.5567	0.000743		
507.6772	0.00116		
507.7978	0.00136		
507.9183	0.00136		
508.0388	0.00122		
508.1594	0.00103		
508.2799	0.000897		
508.4004	0.000883		
508.521	0.00104		
508.6415	0.0014		
508.762	0.00195		
508.8825	0.00263		
509.0031	0.00336		
509.1236	0.00404		
509.2441	0.00457		
509.3647	0.00488		
509.4852	0.00493		
509.6057	0.00476		
509.7263	0.00444		
509.8468	0.00408		
509.9673	0.00377		
510.0879	0.00356		
510.2084	0.00349		
510.3289	0.00353		
510.4495	0.00368		
510.57	0.00391		
510.6905	0.00424		
510.811	0.0047		
510.9316	0.00532		
511.0521	0.00612		
511.1726	0.00706		
511.2932	0.00804		
511.4137	0.00893		
511.5342	0.00956		
511.6548	0.0098		
511.7753	0.0096		
511.8958	0.00898		
512.0164	0.00809		
512.1369	0.00713		
512.2574	0.00631		
512.378	0.0058		
512.4985	0.00566		
512.619	0.00584		
512.7395	0.00624		
512.8601	0.0067		
512.9806	0.00708		
513.1011	0.00734		
513.2217	0.0075		
513.3422	0.00764		
513.4627	0.00786		
513.5833	0.00818		
513.7038	0.00859		
513.8243	0.009		
513.9449	0.0093		
514.0654	0.00942		
514.1859	0.00934		
514.3065	0.00912		
514.427	0.00885		
514.5475	0.00861		
514.668	0.00846		
514.7886	0.00838		
514.9091	0.00831		
515.0296	0.00818		
515.1502	0.00797		
515.2707	0.00768		
515.3912	0.0074		
515.5118	0.0072		
515.6323	0.00714		
515.7528	0.00723		
515.8734	0.00743		
515.9939	0.00769		
516.1144	0.00797		
516.2349	0.0083		
516.3555	0.00875		
516.476	0.00939		
516.5965	0.01028		
516.7171	0.01137		
516.8376	0.01254		
516.9581	0.01359		
517.0787	0.01433		
517.1992	0.01459		
517.3197	0.01433		
517.4403	0.0136		
517.5608	0.01255		
517.6813	0.01139		
517.8019	0.01031		
517.9224	0.00948		
518.0429	0.009		
518.1634	0.00892		
518.284	0.00923		
518.4045	0.00984		
518.525	0.01065		
518.6456	0.01148		
518.7661	0.01216		
518.8866	0.01253		
519.0072	0.01251		
519.1277	0.01211		
519.2482	0.01145		
519.3688	0.01071		
519.4893	0.01009		
519.6098	0.00977		
519.7304	0.00983		
519.8509	0.01027		
519.9714	0.01101		
520.0919	0.01193		
520.2125	0.01295		
520.333	0.01397		
520.4535	0.01494		
520.5741	0.01583		
520.6946	0.01663		
520.8151	0.01731		
520.9357	0.0179		
521.0562	0.01841		
521.1767	0.01894		
521.2973	0.01956		
521.4178	0.02034		
521.5383	0.02128		
521.6589	0.0223		
521.7794	0.02325		
521.8999	0.02397		
522.0204	0.02429		
522.141	0.02416		
522.2615	0.02364		
522.382	0.02286		
522.5026	0.02201		
522.6231	0.02126		
522.7436	0.02071		
522.8642	0.0204		
522.9847	0.0203		
523.1052	0.02035		
523.2258	0.02047		
523.3463	0.02064		
523.4668	0.02083		
523.5874	0.02105		
523.7079	0.02127		
523.8284	0.02148		
523.9489	0.02166		
524.0695	0.02177		
524.19	0.02182		
524.3105	0.02181		
524.4311	0.02177		
524.5516	0.02172		
