Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/66"
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
500.0838	-0.00741		
500.2043	-0.01086		
500.3248	-0.01439		
500.4454	-0.01733		
500.5659	-0.01906		
500.6864	-0.01919		
500.807	-0.01772		
500.9275	-0.01499		
501.048	-0.01156		
501.1686	-0.00809		
501.2891	-0.0051		
501.4096	-0.0029		
501.5301	-0.00154		
501.6507	-0.000882		
501.7712	-0.000717		
501.8917	-0.000842		
502.0123	-0.00113		
502.1328	-0.00152		
502.2533	-0.00198		
502.3739	-0.0025		
502.4944	-0.00297		
502.6149	-0.00329		
502.7355	-0.00337		
502.856	-0.00316		
502.9765	-0.00273		
503.0971	-0.00223		
503.2176	-0.00183		
503.3381	-0.00172		
503.4586	-0.00199		
503.5792	-0.00261		
503.6997	-0.00345		
503.8202	-0.00431		
503.9408	-0.00497		
504.0613	-0.00525		
504.1818	-0.00504		
504.3024	-0.00436		
504.4229	-0.00335		
504.5434	-0.00219		
504.664	-0.00111		
504.7845	-0.000313		
504.905	6.8E-5		
505.0256	0		
505.1461	-0.000492		
505.2666	-0.00124		
505.3871	-0.00207		
505.5077	-0.00283		
505.6282	-0.0034		
505.7487	-0.00373		
505.8693	-0.00386		
505.9898	-0.00382		
506.1103	-0.00372		
506.2309	-0.00361		
506.3514	-0.00356		
506.4719	-0.00355		
506.5925	-0.00356		
506.713	-0.00355		
506.8335	-0.00344		
506.9541	-0.00321		
507.0746	-0.00287		
507.1951	-0.00247		
507.3156	-0.00214		
507.4362	-0.00205		
507.5567	-0.00233		
507.6772	-0.00306		
507.7978	-0.00419		
507.9183	-0.00557		
508.0388	-0.0069		
508.1594	-0.00788		
508.2799	-0.00826		
508.4004	-0.00792		
508.521	-0.00695		
508.6415	-0.00554		
508.762	-0.00402		
508.8825	-0.00266		
509.0031	-0.00165		
509.1236	-0.00102		
509.2441	-0.000656		
509.3647	-0.0004		
509.4852	-8.7E-5		
509.6057	0.000367		
509.7263	0.000938		
509.8468	0.00151		
509.9673	0.00193		
510.0879	0.00206		
510.2084	0.00184		
510.3289	0.00131		
510.4495	0.000563		
510.57	-0.000239		
510.6905	-0.00096		
510.811	-0.00151		
510.9316	-0.00187		
511.0521	-0.00209		
511.1726	-0.00228		
511.2932	-0.00254		
511.4137	-0.00293		
511.5342	-0.00347		
511.6548	-0.0041		
511.7753	-0.00469		
511.8958	-0.00508		
512.0164	-0.00515		
512.1369	-0.00482		
512.2574	-0.0041		
512.378	-0.00309		
512.4985	-0.00192		
512.619	-0.000754		
512.7395	0.000297		
512.8601	0.00117		
512.9806	0.00188		
513.1011	0.00245		
513.2217	0.00291		
513.3422	0.00327		
513.4627	0.00349		
513.5833	0.00353		
513.7038	0.00334		
513.8243	0.00295		
513.9449	0.00241		
514.0654	0.00184		
514.1859	0.00135		
514.3065	0.00103		
514.427	0.000904		
514.5475	0.000908		
514.668	0.000923		
514.7886	0.000799		
514.9091	0.000406		
515.0296	-0.000334		
515.1502	-0.00142		
515.2707	-0.00275		
515.3912	-0.00418		
515.5118	-0.00548		
515.6323	-0.00647		
515.7528	-0.00698		
515.8734	-0.00695		
515.9939	-0.00643		
516.1144	-0.00555		
516.2349	-0.00454		
516.3555	-0.00359		
516.476	-0.00288		
516.5965	-0.00245		
516.7171	-0.00227		
516.8376	-0.00222		
516.9581	-0.00213		
517.0787	-0.00192		
517.1992	-0.00153		
517.3197	-0.00101		
517.4403	-0.000483		
517.5608	-5.7E-5		
517.6813	0.000179		
517.8019	0.000199		
517.9224	3.8E-5		
518.0429	-0.00023		
518.1634	-0.000524		
518.284	-0.000784		
518.4045	-0.000983		
518.525	-0.00112		
518.6456	-0.00121		
518.7661	-0.00128		
518.8866	-0.00135		
519.0072	-0.00144		
519.1277	-0.00158		
519.2482	-0.0018		
519.3688	-0.0021		
519.4893	-0.00245		
519.6098	-0.00277		
519.7304	-0.00295		
519.8509	-0.00287		
519.9714	-0.00248		
520.0919	-0.00177		
520.2125	-0.000854		
520.333	9.4E-5		
520.4535	0.000879		
520.5741	0.00135		
520.6946	0.00143		
520.8151	0.00117		
520.9357	0.000702		
521.0562	0.000187		
521.1767	-0.000223		
521.2973	-0.000447		
521.4178	-0.000492		
521.5383	-0.000437		
521.6589	-0.000396		
521.7794	-0.000471		
521.8999	-0.000725		
522.0204	-0.00116		
522.141	-0.00174		
522.2615	-0.00241		
522.382	-0.00313		
522.5026	-0.00389		
522.6231	-0.00472		
522.7436	-0.00566		
522.8642	-0.00673		
522.9847	-0.00789		
523.1052	-0.00906		
523.2258	-0.01006		
523.3463	-0.01072		
523.4668	-0.01089		
523.5874	-0.0105		
523.7079	-0.0096		
523.8284	-0.00833		
523.9489	-0.00692		
524.0695	-0.00557		
524.19	-0.00444		
524.3105	-0.00359		
524.4311	-0.00297		
524.5516	-0.00247		
524.6721	-0.00198		
524.7927	-0.00143		
524.9132	-0.000827		
525.0337	-0.000232		
525.1543	0.000265		
525.2748	0.000593		
525.3953	0.000731		
525.5158	0.000712		
525.6364	0.000601		
525.7569	0.000465		
525.8774	0.000341		
525.998	0.000228		
526.1185	0.000105		
526.239	-5.0E-5		
526.3596	-0.000231		
526.4801	-0.000401		
526.6006	-0.000511		
526.7212	-0.000517		
526.8417	-0.000417		
526.9622	-0.000247		
527.0828	-7.8E-5		
527.2033	1.9E-5		
527.3238	-1.0E-6		
527.4443	-0.00014		
527.5649	-0.000362		
527.6854	-0.000607		
527.8059	-0.000819		
527.9265	-0.000956		
528.047	-0.000997		
528.1675	-0.000931		
528.2881	-0.000753		
528.4086	-0.000454		
528.5291	-3.7E-5		
528.6497	0.00048		
528.7702	0.00105		
528.8907	0.00161		
529.0113	0.00209		
529.1318	0.00245		
529.2523	0.00267		
529.3728	0.00278		
529.4934	0.00281		
529.6139	0.0028		
529.7344	0.00275		
529.855	0.00267		
529.9755	0.00257		
530.096	0.00253		
530.2166	0.00267		
530.3371	0.00315		
530.4576	0.00409		
530.5782	0.00549		
530.6987	0.00721		
530.8192	0.00898		
530.9398	0.01041		
531.0603	0.01119		
531.1808	0.01109		
531.3013	0.01011		
531.4219	0.00844		
531.5424	0.00642		
531.6629	0.0044		
531.7835	0.0027		
531.904	0.00148		
532.0245	0.000741		
532.1451	0.000387		
532.2656	0.000265		
532.3861	0.000239		
532.5067	0.000224		
532.6272	0.000179		
532.7477	9.1E-5		
532.8683	-5.0E-5		
532.9888	-0.00026		
533.1093	-0.00055		
533.2298	-0.000901		
533.3504	-0.00126		
533.4709	-0.00156		
533.5914	-0.00173		
533.712	-0.00173		
533.8325	-0.00159		
533.953	-0.00139		
534.0736	-0.00121		
534.1941	-0.00113		
534.3146	-0.00113		
534.4352	-0.00118		
534.5557	-0.00118		
534.6762	-0.00105		
534.7967	-0.000767		
534.9173	-0.000358		
535.0378	8.0E-5		
535.1583	0.000438		
535.2789	0.000635		
535.3994	0.000644		
535.5199	0.000499		
535.6405	0.000275		
535.761	5.0E-5		
535.8815	-0.000119		
536.0021	-0.000207		
536.1226	-0.000222		
536.2431	-0.000187		
536.3637	-0.000123		
536.4842	-4.7E-5		
536.6047	3.0E-5		
536.7252	8.9E-5		
536.8458	0.000102		
536.9663	3.7E-5		
537.0868	-0.00013		
537.2074	-0.0004		
537.3279	-0.000746		
537.4484	-0.00112		
537.569	-0.00146		
537.6895	-0.00172		
537.81	-0.00188		
537.9306	-0.00193		
538.0511	-0.00189		
538.1716	-0.00177		
538.2922	-0.0016		
538.4127	-0.00139		
