Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/68"
A₁ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.11 μm
A₁ Error Units:	Not Applicable
A₂ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.22 μm
A₂ Error Units:	Not Applicable
A₃ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.43 μm
A₃ Error Units:	Not Applicable
A₄ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.86 μm
A₄ Error Units:	Not Applicable
A₅ Caption:	Absorption spectrum of NH4CN ice with a thickness of 1.73 μm
A₅ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	"A₂"	"DA₂  (+/-)"	"A₃"	"DA₃  (+/-)"	"A₄"	"DA₄  (+/-)"	"A₅"	"DA₅  (+/-)"	
1350.0695	0.00272		0.00176		0.00507		0.00817		0.0247		
1350.1901	0.00272		0.00178		0.00509		0.00819		0.02476		
1350.3106	0.00272		0.00179		0.00509		0.00821		0.02481		
1350.4311	0.00272		0.00179		0.00508		0.00822		0.02485		
1350.5517	0.00271		0.00178		0.00507		0.00823		0.02487		
1350.6722	0.00271		0.00177		0.00505		0.00823		0.02489		
1350.7927	0.00271		0.00175		0.00505		0.00823		0.02491		
1350.9133	0.00271		0.00175		0.00505		0.00824		0.02495		
1351.0338	0.00271		0.00175		0.00507		0.00825		0.025		
1351.1543	0.00271		0.00175		0.00508		0.00826		0.02506		
1351.2749	0.0027		0.00175		0.00509		0.00828		0.02513		
1351.3954	0.00269		0.00174		0.00509		0.0083		0.02519		
1351.5159	0.00269		0.00172		0.00509		0.00832		0.02525		
1351.6364	0.00268		0.00168		0.00509		0.00835		0.0253		
1351.757	0.00268		0.00166		0.00508		0.00838		0.02534		
1351.8775	0.00268		0.00163		0.00508		0.00841		0.02538		
1351.998	0.00268		0.00163		0.00508		0.00844		0.02543		
1352.1186	0.00269		0.00164		0.00508		0.00847		0.02547		
1352.2391	0.00269		0.00165		0.00509		0.0085		0.02552		
1352.3596	0.00269		0.00167		0.00509		0.00852		0.02557		
1352.4802	0.00269		0.00168		0.00508		0.00854		0.0256		
1352.6007	0.00268		0.00167		0.00508		0.00855		0.02563		
1352.7212	0.00268		0.00166		0.00507		0.00857		0.02566		
1352.8418	0.00268		0.00165		0.00507		0.00858		0.02569		
1352.9623	0.00268		0.00164		0.00507		0.00861		0.02573		
1353.0828	0.00268		0.00163		0.00508		0.00864		0.02577		
1353.2034	0.00268		0.00163		0.00508		0.00868		0.02583		
1353.3239	0.00268		0.00163		0.00509		0.00872		0.02589		
1353.4444	0.00268		0.00163		0.0051		0.00876		0.02595		
1353.5649	0.00267		0.00163		0.00512		0.0088		0.02601		
1353.6855	0.00266		0.00163		0.00513		0.00884		0.02607		
1353.806	0.00264		0.00162		0.00514		0.00886		0.02612		
1353.9265	0.00263		0.00162		0.00515		0.00889		0.02617		
1354.0471	0.00261		0.00162		0.00515		0.00891		0.02623		
1354.1676	0.0026		0.00162		0.00516		0.00894		0.02629		
1354.2881	0.00258		0.00162		0.00516		0.00896		0.02634		
1354.4087	0.00257		0.00161		0.00515		0.00899		0.02639		
1354.5292	0.00256		0.00159		0.00514		0.00903		0.02644		
1354.6497	0.00255		0.00157		0.00513		0.00906		0.02648		
1354.7703	0.00255		0.00155		0.00513		0.0091		0.02652		
1354.8908	0.00254		0.00153		0.00512		0.00913		0.02656		
1355.0113	0.00254		0.00152		0.00512		0.00917		0.0266		
1355.1318	0.00254		0.00153		0.00512		0.0092		0.02665		
1355.2524	0.00254		0.00153		0.00513		0.00923		0.02671		
1355.3729	0.00254		0.00154		0.00513		0.00927		0.02676		
1355.4934	0.00253		0.00155		0.00513		0.0093		0.02681		
1355.614	0.00252		0.00154		0.00513		0.00933		0.02685		
1355.7345	0.0025		0.00152		0.00513		0.00936		0.02688		
1355.855	0.00247		0.00149		0.00512		0.0094		0.02691		
1355.9756	0.00244		0.00146		0.00512		0.00943		0.02694		
1356.0961	0.0024		0.00143		0.00512		0.00945		0.02697		
1356.2166	0.00237		0.00141		0.00513		0.00948		0.027		
1356.3372	0.00234		0.0014		0.00514		0.00951		0.02705		
1356.4577	0.00232		0.00139		0.00515		0.00954		0.02709		
1356.5782	0.00232		0.00138		0.00516		0.00957		0.02715		
1356.6988	0.00231		0.00138		0.00517		0.00961		0.0272		
1356.8193	0.00232		0.00137		0.00518		0.00964		0.02726		
1356.9398	0.00233		0.00137		0.00518		0.00968		0.02733		
1357.0603	0.00233		0.00137		0.00518		0.00972		0.02739		
1357.1809	0.00232		0.00137		0.00518		0.00977		0.02746		
1357.3014	0.0023		0.00136		0.00518		0.00981		0.02753		
1357.4219	0.00228		0.00135		0.00518		0.00985		0.02758		
1357.5425	0.00226		0.00133		0.00518		0.00989		0.02763		
1357.663	0.00224		0.0013		0.00517		0.00993		0.02767		
1357.7835	0.00223		0.00127		0.00516		0.00997		0.02769		
1357.9041	0.00222		0.00123		0.00516		0.01001		0.02772		
1358.0246	0.00222		0.00121		0.00515		0.01004		0.02775		
1358.1451	0.00223		0.00119		0.00516		0.01009		0.02779		
1358.2657	0.00223		0.00119		0.00517		0.01013		0.02784		
1358.3862	0.00222		0.0012		0.0052		0.01018		0.02791		
1358.5067	0.00221		0.00122		0.00523		0.01023		0.02798		
1358.6273	0.00218		0.00123		0.00526		0.01028		0.02806		
1358.7478	0.00215		0.00123		0.00528		0.01034		0.02812		
1358.8683	0.00212		0.00123		0.00531		0.0104		0.02818		
1358.9888	0.00209		0.00122		0.00532		0.01046		0.02823		
1359.1094	0.00207		0.00121		0.00533		0.01052		0.02827		
1359.2299	0.00205		0.0012		0.00534		0.01058		0.02831		
1359.3504	0.00203		0.0012		0.00535		0.01063		0.02835		
1359.471	0.00203		0.00121		0.00536		0.01069		0.02839		
1359.5915	0.00202		0.00121		0.00537		0.01075		0.02844		
1359.712	0.00202		0.00121		0.00539		0.0108		0.02848		
1359.8326	0.00202		0.0012		0.0054		0.01084		0.02852		
1359.9531	0.00201		0.00118		0.00541		0.01089		0.02856		
1360.0736	0.002		0.00117		0.00541		0.01092		0.02859		
1360.1942	0.00198		0.00115		0.00541		0.01095		0.02863		
1360.3147	0.00196		0.00114		0.00541		0.01097		0.02867		
1360.4352	0.00193		0.00113		0.0054		0.01099		0.02871		
1360.5558	0.0019		0.00113		0.00539		0.01101		0.02876		
1360.6763	0.00188		0.00112		0.00539		0.01104		0.02881		
1360.7968	0.00186		0.0011		0.00539		0.01107		0.02886		
1360.9173	0.00186		0.00109		0.00539		0.01111		0.02891		
1361.0379	0.00186		0.00107		0.0054		0.01115		0.02896		
1361.1584	0.00186		0.00106		0.00541		0.01119		0.02901		
1361.2789	0.00186		0.00106		0.00543		0.01124		0.02906		
1361.3995	0.00185		0.00106		0.00546		0.0113		0.02911		
1361.52	0.00184		0.00107		0.00549		0.01135		0.02917		
1361.6405	0.00184		0.00108		0.00552		0.01141		0.02924		
1361.7611	0.00183		0.00109		0.00555		0.01147		0.0293		
1361.8816	0.00183		0.0011		0.00558		0.01154		0.02936		
1362.0021	0.00184		0.00111		0.00561		0.01161		0.02941		
1362.1227	0.00184		0.00111		0.00564		0.01167		0.02945		
1362.2432	0.00184		0.00112		0.00567		0.01172		0.02949		
1362.3637	0.00183		0.00113		0.00569		0.01176		0.02952		
1362.4843	0.00182		0.00114		0.00572		0.0118		0.02955		
1362.6048	0.00181		0.00116		0.00576		0.01184		0.02958		
1362.7253	0.0018		0.00117		0.00579		0.01187		0.02962		
1362.8458	0.00179		0.00117		0.00583		0.01192		0.02966		
1362.9664	0.00179		0.00118		0.00587		0.01198		0.0297		
