Reference:	"Clapp and Miller (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0166"
Sample Type:	"Ice"
Composition:	"N2H4 (1)"
Temperature:	"130K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/6"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
850.02	1.705			850.02	0.0078		
864.5	1.776			864.5	0.0057		
868.34	1.809			868.34	0.0303		
872.2	1.863			872.2	0.0587		
876.06	1.932			876.06	0.0884		
878.95	2.015			878.95	0.1719		
879.92	2.049			879.92	0.2163		
880.88	2.074			880.88	0.2831		
881.84	2.084			881.84	0.3562		
882.82	2.081			882.82	0.4337		
883.77	2.064			883.77	0.5206		
884.74	2.026			884.74	0.6117		
885.7	1.968			885.7	0.6979		
886.67	1.887			886.67	0.7795		
887.63	1.785			887.63	0.8483		
888.6	1.658			888.6	0.9003		
889.56	1.509			889.56	0.9261		
890.52	1.338			890.52	0.9068		
891.49	1.171			891.49	0.8205		
892.45	1.054			892.45	0.6686		
893.42	1.008			893.42	0.5058		
894.38	1.022			894.38	0.3615		
895.35	1.066			895.35	0.2629		
896.31	1.11			896.31	0.1965		
897.27	1.155			897.27	0.1409		
898.24	1.202			898.24	0.1013		
899.2	1.245			899.2	0.079		
900.17	1.281			900.17	0.066		
902.1	1.327			902.1	0.0573		
906.92	1.4			906.92	0.0353		
908.85	1.419			908.85	0.0222		
910.77	1.436			910.77	0.0179		
920.42	1.501			920.42	0.0074		
930.06	1.525			930.06	0.0081		
940.67	1.557			940.67	0.0075		
950.31	1.575			950.31	0.0044		
960.92	1.592			960.92	0.0024		
970.56	1.605			970.56	0.0004		
980.2	1.627			980.2	0.0074		
990.81	1.635			990.81	0.0062		
1000.57	1.664			1000.57	0.0039		
1010.21	1.692			1010.21	0.0168		
1020.82	1.719			1020.82	0.0226		
1030.46	1.767			1030.46	0.0363		
1040.1	1.842			1040.1	0.0578		
1050.71	1.982			1050.71	0.1521		
1052.64	2.016			1052.64	0.1818		
1054.57	2.056			1054.57	0.236		
1056.5	2.096			1056.5	0.2994		
1058.42	2.135			1058.42	0.3892		
1060.35	2.155			1060.35	0.5087		
1062.28	2.128			1062.28	0.663		
1064.21	2.051			1064.21	0.804		
1066.14	1.929			1066.14	0.9211		
1067.1	1.861			1067.1	0.9707		
1068.07	1.786			1068.07	1.0136		
