Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/70"
A₁ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.11 μm
A₁ Error Units:	Not Applicable
A₂ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.22 μm
A₂ Error Units:	Not Applicable
A₃ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.43 μm
A₃ Error Units:	Not Applicable
A₄ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.86 μm
A₄ Error Units:	Not Applicable
A₅ Caption:	Absorption spectrum of NH4CN ice with a thickness of 1.73 μm
A₅ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	"A₂"	"DA₂  (+/-)"	"A₃"	"DA₃  (+/-)"	"A₄"	"DA₄  (+/-)"	"A₅"	"DA₅  (+/-)"	
2400.0165	0.0011		-0.00167		0.00582		0.00852		0.01412		
2400.137	0.0011		-0.00166		0.00582		0.00852		0.01413		
2400.2576	0.00111		-0.00164		0.00582		0.00852		0.01416		
2400.3781	0.00112		-0.00163		0.00583		0.00853		0.01418		
2400.4986	0.00114		-0.00162		0.00584		0.00855		0.0142		
2400.6192	0.00116		-0.00161		0.00586		0.00857		0.01423		
2400.7397	0.00117		-0.00161		0.00588		0.00859		0.01424		
2400.8602	0.00118		-0.0016		0.00591		0.00862		0.01425		
2400.9808	0.00119		-0.00161		0.00592		0.00864		0.01425		
2401.1013	0.00119		-0.00161		0.00594		0.00866		0.01425		
2401.2218	0.00119		-0.00161		0.00595		0.00868		0.01425		
2401.3424	0.00119		-0.00161		0.00595		0.0087		0.01424		
2401.4629	0.0012		-0.00161		0.00596		0.00872		0.01424		
2401.5834	0.0012		-0.0016		0.00596		0.00874		0.01424		
2401.7039	0.00121		-0.0016		0.00596		0.00876		0.01424		
2401.8245	0.00122		-0.00159		0.00595		0.00878		0.01424		
2401.945	0.00122		-0.00159		0.00595		0.00878		0.01424		
