Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/71"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
499.963	1.4679			499.963	-0.05239		
500.08353	1.4679			500.08353	-0.09087		
500.20406	1.47954			500.20406	-0.13203		
500.32459	1.51446			500.32459	-0.16434		
500.44512	1.55342			500.44512	-0.18457		
500.56566	1.60088			500.56566	-0.18782		
500.68619	1.64083			500.68619	-0.1772		
500.80672	1.67718			500.80672	-0.1542		
500.92725	1.69928			500.92725	-0.12395		
501.04778	1.71279			501.04778	-0.09069		
501.16831	1.71292			501.16831	-0.05896		
501.28884	1.70693			501.28884	-0.03164		
501.40937	1.69328			501.40937	-0.01107		
501.5299	1.67979			501.5299	0.00298		
501.65043	1.66464			501.65043	0.01162		
501.77097	1.65285			501.77097	0.01676		
501.8915	1.6406			501.8915	0.01997		
502.01203	1.63049			502.01203	0.02172		
502.13256	1.6189			502.13256	0.02179		
502.25309	1.60907			502.25309	0.01933		
502.37362	1.59937			502.37362	0.01422		
502.49415	1.5937			502.49415	0.00697		
502.61468	1.59043			502.61468	-0.000584		
502.73521	1.59121			502.73521	-0.00668		
502.85575	1.59232			502.85575	-0.00998		
502.97628	1.59353			502.97628	-0.01067		
503.09681	1.59137			503.09681	-0.01018		
503.21734	1.58721			503.21734	-0.01079		
503.33787	1.5805			503.33787	-0.01471		
503.4584	1.5753			503.4584	-0.02308		
503.57893	1.57306			503.57893	-0.03544		
503.69946	1.57745			503.69946	-0.04915		
503.81999	1.58732			503.81999	-0.06116		
503.94052	1.60274			503.94052	-0.06823		
504.06106	1.61934			504.06106	-0.06895		
504.18159	1.63586			504.18159	-0.063		
504.30212	1.64797			504.30212	-0.05156		
504.42265	1.65561			504.42265	-0.03673		
504.54318	1.65651			504.54318	-0.02076		
504.66371	1.65244			504.66371	-0.00623		
504.78424	1.64331			504.78424	0.00519		
504.90477	1.63206			504.90477	0.01214		
505.0253	1.61947			505.0253	0.01445		
505.14584	1.60834			505.14584	0.01249		
505.26637	1.59874			505.26637	0.00723		
505.3869	1.5925			505.3869	-0.000267		
505.50743	1.58873			505.50743	-0.00876		
505.62796	1.58838			505.62796	-0.01745		
505.74849	1.59015			505.74849	-0.02539		
505.86902	1.59454			505.86902	-0.03209		
505.98955	1.60009			505.98955	-0.03694		
506.11008	1.60698			506.11008	-0.03975		
506.23061	1.6137			506.23061	-0.04041		
506.35115	1.62042			506.35115	-0.0391		
506.47168	1.62587			506.47168	-0.03618		
506.59221	1.63058			506.59221	-0.03196		
506.71274	1.63351			506.71274	-0.02685		
506.83327	1.63544			506.83327	-0.02106		
506.9538	1.63522			506.9538	-0.01481		
507.07433	1.63337			507.07433	-0.0086		
507.19486	1.62882			507.19486	-0.003		
507.31539	1.62228			507.31539	0.00086		
507.43593	1.61357			507.43593	0.00184		
507.55646	1.60455			507.55646	-0.0012		
507.67699	1.59662			507.67699	-0.0088		
507.79752	1.59268			507.79752	-0.02023		
507.91805	1.59408			507.91805	-0.03367		
508.03858	1.60215			508.03858	-0.04597		
508.15911	1.61514			508.15911	-0.05427		
508.27964	1.63136			508.27964	-0.05631		
508.40017	1.64675			508.40017	-0.05164		
508.52071	1.65925			508.52071	-0.04137		
508.64124	1.66609			508.64124	-0.02765		
508.76177	1.66737			508.76177	-0.01351		
508.8823	1.66343			508.8823	-0.00143		
509.00283	1.65672			509.00283	0.00691		
509.12336	1.64905			509.12336	0.01094		
509.24389	1.64328			509.24389	0.01167		
509.36442	1.63983			509.36442	0.01095		
509.48495	1.63914			509.48495	0.01076		
509.60548	1.63929			509.60548	0.01244		
509.72602	1.63918			509.72602	0.01618		
509.84655	1.63687			509.84655	0.02112		
509.96708	1.63236			509.96708	0.02585		
510.08761	1.62543			510.08761	0.02888		
510.20814	1.61784			510.20814	0.02925		
510.32867	1.6104			510.32867	0.02682		
510.4492	1.60496			510.4492	0.02218		
510.56973	1.6016			510.56973	0.0166		
510.69026	1.60061			510.69026	0.01118		
510.8108	1.60084			510.8108	0.00667		
510.93133	1.6019			510.93133	0.00326		
511.05186	1.60266			511.05186	0.000533		
511.17239	1.60344			511.17239	-0.0021		
511.29292	1.60402			511.29292	-0.00522		
511.41345	1.60554			511.41345	-0.00899		
511.53398	1.60815			511.53398	-0.0132		
511.65451	1.61283			511.65451	-0.01713		
511.77504	1.61907			511.77504	-0.01996		
511.89557	1.627			511.89557	-0.02082		
512.01611	1.63529			512.01611	-0.0192		
512.13664	1.6436			512.13664	-0.01495		
512.25717	1.65051			512.25717	-0.00821		
512.3777	1.65585			512.3777	0.000404		
512.49823	1.65872			512.49823	0.01041		
512.61876	1.65931			512.61876	0.02095		
512.73929	1.65739			512.73929	0.0315		
512.85982	1.65335			512.85982	0.04158		
512.98035	1.64705			512.98035	0.05061		
513.10089	1.6392			513.10089	0.0583		
513.22142	1.62966			513.22142	0.0642		
513.34195	1.61938			513.34195	0.06806		
513.46248	1.60841			513.46248	0.06966		
513.58301	1.5979			513.58301	0.06895		
513.70354	1.58803			513.70354	0.06625		
513.82407	1.57976			513.82407	0.06196		
513.9446	1.57294			513.9446	0.0569		
514.06513	1.56784			514.06513	0.05165		
514.18566	1.56371			514.18566	0.04692		
514.3062	1.56018			514.3062	0.04287		
514.42673	1.5563			514.42673	0.03948		
514.54726	1.55167			514.54726	0.03622		
514.66779	1.54587			514.66779	0.03229		
514.78832	1.53923			514.78832	0.02683		
514.90885	1.53227			514.90885	0.01889		
515.02938	1.52635			515.02938	0.00814		
515.14991	1.52273			515.14991	-0.00542		
515.27044	1.52295			515.27044	-0.02062		
515.39098	1.52749			515.39098	-0.03608		
515.51151	1.53649			515.51151	-0.04972		
515.63204	1.54857			515.63204	-0.06029		
515.75257	1.56268			515.75257	-0.06673		
515.8731	1.57669			515.8731	-0.06912		
515.99363	1.58974			515.99363	-0.06795		
516.11416	1.60041			516.11416	-0.06433		
516.23469	1.60892			516.23469	-0.05947		
516.35522	1.61515			516.35522	-0.05442		
516.47575	1.62021			516.47575	-0.04985		
516.59629	1.62464			516.59629	-0.04579		
516.71682	1.62931			516.71682	-0.04178		
516.83735	1.63404			516.83735	-0.03717		
516.95788	1.63873			516.95788	-0.03129		
517.07841	1.64225			517.07841	-0.02401		
517.19894	1.64413			517.19894	-0.01555		
517.31947	1.6434			517.31947	-0.00683		
517.44	1.64038			517.44	0.00122		
517.56053	1.63509			517.56053	0.00747		
517.68107	1.62893			517.68107	0.01131		
517.8016	1.62259			517.8016	0.01256		
517.92213	1.61764			517.92213	0.01165		
518.04266	1.61434			518.04266	0.00956		
518.16319	1.61321			518.16319	0.00734		
518.28372	1.61343			518.28372	0.00598		
518.40425	1.61453			518.40425	0.00597		
518.52478	1.61528			518.52478	0.00735		
518.64531	1.6153			518.64531	0.0097		
518.76584	1.61381			518.76584	0.01234		
518.88638	1.6112			518.88638	0.01437		
519.00691	1.60762			519.00691	0.01513		
519.12744	1.60423			519.12744	0.0142		
519.24797	1.60175			519.24797	0.01175		
519.3685	1.60131			519.3685	0.00855		
519.48903	1.60289			519.48903	0.00571		
519.60956	1.60646			519.60956	0.00446		
519.73009	1.61068			519.73009	0.00566		
519.85062	1.61464			519.85062	0.00954		
519.97116	1.61668			519.97116	0.0158		
520.09169	1.61619			520.09169	0.02337		
520.21222	1.61247			520.21222	0.03111		
520.33275	1.60595			520.33275	0.0376		
520.45328	1.59719			520.45328	0.04185		
520.57381	1.5875			520.57381	0.04327		
520.69434	1.5778			520.69434	0.04179		
520.81487	1.56945			520.81487	0.03786		
520.9354	1.56283			520.9354	0.03241		
521.05593	1.55838			521.05593	0.02633		
521.17647	1.5556			521.17647	0.02059		
521.297	1.55409			521.297	0.01569		
521.41753	1.55293			521.41753	0.01196		
521.53806	1.55156			521.53806	0.00915		
521.65859	1.54931			521.65859	0.00689		
521.77912	1.54608			521.77912	0.0045		
521.89965	1.54182			521.89965	0.0014		
522.02018	1.53699			522.02018	-0.00294		
522.14071	1.53194			522.14071	-0.0087		
522.26125	1.52706			522.26125	-0.01597		
522.38178	1.52263			522.38178	-0.02485		
