Reference:	"He et al. (2022)"
DOI:	"doi:https://doi.org/10.3847/PSJ/ac4793"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (95:5)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/74"
n₁ Error Units:	n values have small uncertainties (less than 4%) at longer wavelengths (> 1.5 μm). At short wavelengths (0.4 – 1.5 μm), the n values have larger uncertainties (5% – 14%).
k₁ Error Units:	The uncertainties for the k values are about 3% – 6% at longer wavelengths (> 1.5 μm) but increase to 10% at short wavelengths (0.4 – 1.5 μm).

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
3.50799	1.498386741			3.50799	0.043179601		
3.50562	1.493547201			3.50562	0.043084402		
3.50325	1.489650726			3.50325	0.043052301		
3.50088	1.48728621			3.50088	0.0430452		
3.49852	1.485908985			3.49852	0.043049902		
3.49616	1.485666275			3.49616	0.0430687		
3.4938	1.48486352			3.4938	0.043104701		
3.49145	1.484626055			3.49145	0.043149799		
3.4891	1.48357439			3.4891	0.0431953		
3.48676	1.483297586			3.48676	0.043236598		
3.48441	1.483475804			3.48441	0.0432816		
3.48207	1.482403278			3.48207	0.043345701		
3.47974	1.481414557			3.47974	0.043402199		
3.4774	1.480492353			3.4774	0.043436401		
3.47507	1.479626656			3.47507	0.0434254		
3.47274	1.478824496			3.47274	0.0433487		
3.47042	1.478127241			3.47042	0.043179698		
3.4681	1.477863431			3.4681	0.042960498		
3.46578	1.477669954			3.46578	0.042762302		
3.46346	1.477685332			3.46346	0.0426227		
3.46115	1.478337646			3.46115	0.042516399		
3.45884	1.478717685			3.45884	0.0424284		
3.45654	1.479763627			3.45654	0.042377699		
3.45423	1.480787873			3.45423	0.042371601		
3.45193	1.481787086			3.45193	0.042396899		
3.44964	1.482753992			3.44964	0.0424661		
3.44734	1.48368156			3.44734	0.042555999		
3.44505	1.484584451			3.44505	0.042664401		
3.44277	1.485465646			3.44277	0.042801801		
3.44048	1.486313939			3.44048	0.042973202		
3.4382	1.487128854			3.4382	0.0431615		
3.43592	1.487911224			3.43592	0.0433788		
3.43365	1.488655448			3.43365	0.043610901		
3.43137	1.489378929			3.43137	0.043850299		
3.4291	1.49008286			3.4291	0.044125602		
3.42684	1.490746975			3.42684	0.0444334		
3.42457	1.491368413			3.42457	0.044764001		
3.42231	1.491943002			3.42231	0.0451212		
3.42006	1.492460012			3.42006	0.045499701		
3.4178	1.492917299			3.4178	0.045885399		
3.41555	1.493311405			3.41555	0.046282198		
3.4133	1.493623137			3.4133	0.046679799		
3.41106	1.493848324			3.41106	0.0470425		
3.40881	1.494009018			3.40881	0.047342502		
3.40657	1.494127274			3.40657	0.047577001		
3.40434	1.494231343			3.40434	0.047727399		
3.4021	1.494354725			3.4021	0.047812499		
3.39987	1.494498134			3.39987	0.047854099		
3.39764	1.494670153			3.39764	0.047839001		
3.39542	1.494906545			3.39542	0.0477731		
3.3932	1.495224953			3.3932	0.047701299		
3.39098	1.495621204			3.39098	0.047648501		
3.38876	1.49608779			3.38876	0.047649901		
3.38655	1.496584177			3.38655	0.047743998		
3.38434	1.497057199			3.38434	0.047919702		
3.38213	1.497499347			3.38213	0.048136301		
3.37993	1.497914553			3.37993	0.0484129		
3.37772	1.498261452			3.37772	0.048755798		
3.37552	1.498514056			3.37552	0.049117401		
3.37333	1.498690963			3.37333	0.049459901		
3.37114	1.498809814			3.37114	0.0497909		
3.36894	1.498856544			3.36894	0.0501072		
3.36676	1.498835206			3.36676	0.0503693		
3.36457	1.498778462			3.36457	0.050565701		
3.36239	1.498699069			3.36239	0.050710302		
3.36021	1.498602629			3.36021	0.050793301		
3.35804	1.49849999			3.35804	0.050812799		
3.35586	1.498411536			3.35586	0.050758		
3.35369	1.498367786			3.35369	0.050636798		
3.35152	1.498384356			3.35152	0.050483301		
3.34936	1.498440742			3.34936	0.050324399		
3.3472	1.49851644			3.3472	0.050144799		
3.34504	1.498630047			3.34504	0.049916301		
3.34288	1.498821139			3.34288	0.049655799		
3.34073	1.499101281			3.34073	0.049403802		
3.33857	1.499447107			3.33857	0.0491983		
3.33643	1.499825954			3.33643	0.049036998		
3.33428	1.500227451			3.33428	0.0489108		
3.33214	1.500647306			3.33214	0.048818801		
3.33	1.501078606			3.33	0.0487618		
3.32786	1.501521468			3.32786	0.048730701		
3.32573	1.501968861			3.32573	0.048741899		
3.32359	1.502403736			3.32359	0.048779801		
3.32146	1.502844691			3.32146	0.048822802		
3.31934	1.503304243			3.31934	0.0489012		
3.31721	1.503750324			3.31721	0.049036399		
3.31509	1.504153848			3.31509	0.049194898		
3.31298	1.50453949			3.31298	0.049338199		
3.31086	1.504938245			3.31086	0.049490601		
3.30875	1.505325556			3.30875	0.049681999		
3.30664	1.505692959			3.30664	0.0498734		
3.30453	1.506058216			3.30453	0.050075602		
3.30242	1.506412745			3.30242	0.050299302		
3.30032	1.506754637			3.30032	0.050528102		
3.29822	1.507091641			3.29822	0.050773099		
3.29613	1.507409811			3.29613	0.051042099		
3.29403	1.507696986			3.29403	0.051319499		
3.29194	1.507967353			3.29194	0.051584199		
3.28985	1.508229256			3.28985	0.051856101		
3.28777	1.508478165			3.28777	0.052124899		
3.28568	1.508728147			3.28568	0.0523904		
3.2836	1.508976579			3.2836	0.052673399		
3.28152	1.50919795			3.28152	0.052978098		
3.27945	1.509388566			3.27945	0.0532666		
3.27737	1.509573698			3.27737	0.0535358		
3.2753	1.509767294			3.2753	0.0537933		
3.27324	1.509978294			3.27324	0.054054402		
3.27117	1.510195613			3.27117	0.0543417		
3.26911	1.510390997			3.26911	0.0546574		
3.26705	1.510550976			3.26705	0.054972		
3.26499	1.510692358			3.26499	0.055266101		
3.26294	1.510841012			3.26294	0.055539802		
3.26088	1.511004448			3.26088	0.055820499		
3.25883	1.511165619			3.25883	0.056116499		
3.25679	1.511314273			3.25679	0.0564196		
3.25474	1.511453271			3.25474	0.056719299		
3.2527	1.511589646			3.2527	0.057016399		
3.25066	1.511725903			3.25066	0.0573145		
3.24863	1.51186657			3.24863	0.057611302		
3.24659	1.512007356			3.24659	0.057923499		
3.24456	1.512144923			3.24456	0.0582367		
3.24253	1.512282372			3.24253	0.058562499		
3.2405	1.512413263			3.2405	0.058896799		
3.23848	1.512536407			3.23848	0.059240501		
3.23646	1.512649536			3.23646	0.059588		
3.23444	1.512764812			3.23444	0.0599319		
3.23242	1.512890697			3.23242	0.0602897		
3.23041	1.513006926			3.23041	0.0606823		
3.2284	1.513097405			3.2284	0.061083701		
3.22639	1.513175607			3.22639	0.061486401		
3.22438	1.51324451			3.22438	0.061900198		
3.22238	1.513294339			3.22238	0.062329002		
3.22038	1.513323188			3.22038	0.062757596		
3.21838	1.513335466			3.21838	0.063189603		
3.21638	1.513338447			3.21638	0.063614704		
3.21439	1.513333201			3.21439	0.064054497		
3.2124	1.513305306			3.2124	0.064501397		
3.21041	1.513255			3.21041	0.064944804		
3.20842	1.513199449			3.20842	0.065372303		
3.20644	1.513153195			3.20644	0.065812603		
3.20445	1.513080359			3.20445	0.066292703		
3.20247	1.51295352			3.20247	0.0667696		
3.2005	1.512803078			3.2005	0.067206599		
3.19852	1.512661576			3.19852	0.067632303		
3.19655	1.512513638			3.19655	0.068071596		
3.19458	1.512344003			3.19458	0.068508297		
3.19261	1.512167692			3.19261	0.068933897		
3.19065	1.511979461			3.19065	0.069372401		
3.18869	1.511761308			3.18869	0.069811001		
3.18673	1.511521459			3.18673	0.070227303		
3.18477	1.511283517			3.18477	0.070625298		
3.18282	1.511042595			3.18282	0.071030498		
3.18086	1.510796189			3.18086	0.071430497		
3.17891	1.510536671			3.17891	0.071848497		
3.17696	1.510240436			3.17696	0.072271399		
3.17502	1.509910345			3.17502	0.072668903		
3.17308	1.509565592			3.17308	0.073039003		
3.17114	1.509227514			3.17114	0.073377602		
3.1692	1.508914232			3.1692	0.073713601		
3.16726	1.508587956			3.16726	0.074087098		
3.16533	1.508214712			3.16533	0.074453197		
3.1634	1.507822514			3.1634	0.074774899		
3.16147	1.507450342			3.16147	0.075070202		
3.15954	1.50709796			3.15954	0.075374		
3.15762	1.506743193			3.15762	0.075702101		
3.15569	1.50635314			3.15569	0.076053299		
3.15378	1.505914688			3.15378	0.076390699		
3.15186	1.505450487			3.15186	0.0766875		
3.14994	1.504991055			3.14994	0.076953702		
3.14803	1.504534006			3.14803	0.077215299		
3.14612	1.504073262			3.14612	0.077465199		
3.14421	1.503606558			3.14421	0.077711202		
3.14231	1.503126621			3.14231	0.0779524		
3.1404	1.502635241			3.1404	0.078179799		
3.1385	1.502129555			3.1385	0.078404203		
3.1366	1.501595855			3.1366	0.078616798		
3.13471	1.501039028			3.13471	0.078791499		
3.13281	1.500489354			3.13281	0.078924403		
3.13092	1.499958038			3.13092	0.079044297		
3.12903	1.499428272			3.12903	0.079167001		
3.12714	1.498878121			3.12714	0.079283699		
3.12526	1.498311996			3.12526	0.079370603		
3.12338	1.497742891			3.12338	0.0794295		
3.1215	1.49717772			3.1215	0.079462498		
3.11962	1.496614337			3.11962	0.079475597		
3.11774	1.49604845			3.11774	0.079465598		
3.11587	1.495489001			3.11587	0.079416998		
3.114	1.494961977			3.114	0.079335697		
3.11213	1.494471312			3.11213	0.079255298		
3.11026	1.493975043			3.11026	0.079203598		
3.1084	1.493448377			3.1084	0.079125099		
3.10653	1.492929816			3.10653	0.078996196		
3.10467	1.492437959			3.10467	0.078845799		
3.10282	1.491974235			3.10282	0.078678697		
3.10096	1.491522312			3.10096	0.078518599		
3.09911	1.491063356			3.09911	0.078341097		
3.09726	1.490618587			3.09726	0.078119703		
3.09541	1.490210772			3.09541	0.077879898		
3.09356	1.489819169			3.09356	0.077638596		
3.09172	1.489448905			3.09172	0.0773587		
3.08987	1.489135265			3.08987	0.077054903		
3.08803	1.488864541			3.08803	0.076778002		
3.08619	1.488592505			3.08619	0.076511599		
3.08436	1.48832655			3.08436	0.076204903		
3.08252	1.48812592			3.08252	0.075848103		
3.08069	1.488012552			3.08069	0.075503901		
3.07886	1.487958193			3.07886	0.0751983		
3.07704	1.48794055			3.07704	0.0749254		
3.07521	1.487967849			3.07521	0.074675202		
3.07339	1.488031149			3.07339	0.074478596		
3.07157	1.488106251			3.07157	0.074324697		
3.06975	1.488207459			3.06975	0.074190103		
3.06793	1.488340497			3.06793	0.074113399		
3.06612	1.488471627			3.06612	0.074097499		
3.06431	1.488594651			3.06431	0.074115098		
