Reference:	"He et al. (2024)"
DOI:	"doi:https://doi.org/10.1038/s41550-023-02140-4"
Sample Type:	"Gas Tholin"
Composition:	"H2O:He:CH4:CO2:N2:H2 (0.56:0.147:0.11:0.1:0.064:0.019)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/75"
n₁ Error Units:	Uncertainties on n values of 3-4% from 0.4 to 28.6 μm.
k₁ Error Units:	Uncertainties on k values of 1-4% at wavelengths > 2.9 μm and up to 9% for wavelengths between 0.4 to 2.9 μm.
T₁ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.08% in mass of tholin powder
T₁ Error Units:	Not Applicable
T₂ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.38% in mass of tholin powder
T₂ Error Units:	Not Applicable
T₃ Caption:	Transmission spectrum of a tholin-KBr pellet made with 1.90% in mass of tholin powder
T₃ Error Units:	Not Applicable
R₁ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 15°
R₁ Error Units:	Not Applicable
R₂ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 45°
R₂ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavelength (µm)"	"T₁"	"DT₁  (+/-)"	"T₂"	"DT₂  (+/-)"	"T₃"	"DT₃  (+/-)"		"Wavenumber (cm⁻¹)"	"R₁"	"DR₁  (+/-)"	"R₂"	"DR₂  (+/-)"	
28.6080217	1.62019	3.855393563	0.075135561	1.540297158		28.6080217	0.967962906		0.847655614		0.454822234			8999.646020496	0.074109487		0.07233817		
28.5686167	1.620908	3.766087035	0.075167872	1.56167514		28.5686167	0.96790619		0.847666226		0.453824952			9000.610302722	0.074099324		0.072348932		
28.5293202	1.6220167	3.767281314	0.075205366	1.513869816		28.5293202	0.968041172		0.847310616		0.452860641			9001.574584949	0.074091033		0.072362959		
28.4901315	1.6227587	3.768169139	0.075281942	1.485472827		28.4901315	0.968078212		0.846907559		0.451923119			9002.538867175	0.074079358		0.072380213		
28.4510504	1.6238196	3.768881283	0.075314517	1.478353127		28.4510504	0.968108255		0.847259741		0.451007658			9003.503149402	0.074060765		0.07240025		
28.4120764	1.6247261	3.76947861	0.075532836	1.454855438		28.4120764	0.96791886		0.847576704		0.450110581			9004.467431629	0.074034898		0.072422444		
28.373209	1.6256809	3.769994607	0.075492503	1.450609279		28.373209	0.968051061		0.84786348		0.449228987			9005.431713855	0.074004185		0.072446207		
28.3344478	1.6264782	3.77044973	0.075603165	1.410547008		28.3344478	0.96786223		0.848124185		0.449292157			9006.395996082	0.073972056		0.072471049		
28.2957923	1.6271559	3.770857562	0.075648986	1.37640705		28.2957923	0.967898895		0.847929598		0.448790482			9007.360278308	0.073941141		0.072496509		
28.2572422	1.6278106	3.771227501	0.075833139	1.340136215		28.2572422	0.967726666		0.847647108		0.448266233			9008.324560535	0.073912425		0.072522005		
