Reference:	"He et al. (2024)"
DOI:	"doi:https://doi.org/10.1038/s41550-023-02140-4"
Sample Type:	"Gas Tholin"
Composition:	"H2O:He:CH4:N2:CO2 (0.66:0.16:0.066:0.065:0.049)"
Temperature:	"400K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/76"
n₁ Error Units:	Uncertainties on n values of 3-4% from 0.4 to 28.6 μm.
k₁ Error Units:	Uncertainties on k values of 1-4% at wavelengths > 2.9 μm and up to 9% for wavelengths between 0.4 to 2.9 μm.
T₁ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.10% in mass of tholin powder
T₁ Error Units:	Not Applicable
T₂ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.43% in mass of tholin powder
T₂ Error Units:	Not Applicable
T₃ Caption:	Transmission spectrum of a tholin-KBr pellet made with 4.10% in mass of tholin powder
T₃ Error Units:	Not Applicable
R₁ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 15°
R₁ Error Units:	Not Applicable
R₂ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 45°
R₂ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"		"Wavelength (µm)"	"T₁"	"DT₁  (+/-)"	"T₂"	"DT₂  (+/-)"	"T₃"	"DT₃  (+/-)"		"Wavenumber (cm⁻¹)"	"R₁"	"DR₁  (+/-)"	"R₂"	"DR₂  (+/-)"	
28.6080217	1.606589	3.525138652		28.6080217	0.059043545	2.061646371		28.6080217	0.975817057		0.887595518		0.177842957			8999.646020496	0.067340456		0.061981454		
28.5686167	1.6072214	3.527718181		28.5686167	0.059089519	2.161553561		28.5686167	0.975886792		0.887241925		0.176351809			9000.610302722	0.067325786		0.061973127		
28.5293202	1.6076213	3.529336067		28.5293202	0.059187885	2.234601179		28.5293202	0.975864758		0.886689893		0.17545712			9001.574584949	0.067315313		0.061965881		
28.4901315	1.6083605	3.530541117		28.4901315	0.059205929	2.105653605		28.4901315	0.975617728		0.886432932		0.176975516			9002.538867175	0.067309235		0.061960312		
28.4510504	1.6094229	3.531508708		28.4510504	0.059098623	2.09267209		28.4510504	0.975581706		0.886367179		0.177778202			9003.503149402	0.067306163		0.061956261		
28.4120764	1.6102233	3.532321111		28.4120764	0.058989727	2.074338682		28.4120764	0.975548868		0.886350797		0.178472604			9004.467431629	0.067303829		0.061953592		
28.373209	1.6106439	3.533023404		28.373209	0.058879829	2.038711798		28.373209	0.975464758		0.886236075		0.179872604			9005.431713855	0.067300132		0.061952573		
28.3344478	1.6119585	3.533642821		28.3344478	0.058628617	2.199065938		28.3344478	0.975639621		0.885969694		0.181072604			9006.395996082	0.067293928		0.061953653		
28.2957923	1.6128041	3.534197271		28.2957923	0.058853257	2.156141426		28.2957923	0.975500405		0.885615526		0.179154208			9007.360278308	0.067285255		0.061956949		
28.2572422	1.6138041	3.534699665		28.2572422	0.059136438	2.102756516		28.2572422	0.975339286		0.885241054		0.176738731			9008.324560535	0.067274962		0.061962033		
28.218797	1.6144763	3.535159723		28.218797	0.059435596	2.056653779		28.218797	0.975171194		0.884804237		0.174338731			9009.288842761	0.067264072		0.06196819		
28.1804562	1.6160982	3.535584798		28.1804562	0.059815333	2.012270485		28.1804562	0.974958854		0.884178557		0.171738731			9010.253124988	0.067253227		0.061974936		
28.1422195	1.6174219	3.535980245		28.1422195	0.060227206	2.017821585		28.1422195	0.974766448		0.883290239		0.169138731			9011.217407215	0.067242475		0.061982237		
28.1040864	1.6184045	3.536349894		28.1040864	0.06060516	2.06279624		28.1040864	0.974515737		0.881885672		0.168538731			9012.181689441	0.067231428		0.061990291		
28.0660565	1.6193062	3.536696865		28.0660565	0.060639801	2.059914075		28.0660565	0.974370925		0.881287724		0.169587621			9013.145971668	0.067219638		0.061999077		
28.0281294	1.6201615	3.537023961		28.0281294	0.060830311	2.045525999		28.0281294	0.974130771		0.880356994		0.170225571			9014.110253894	0.067206955		0.062008135		
27.9903047	1.6209299	3.537333745		27.9903047	0.060801831	1.981797286		27.9903047	0.973982426		0.880189037		0.171204533			9015.074536121	0.067193703		0.062016764		
27.9525819	1.6217077	3.537628363		27.9525819	0.060861261	1.951258188		27.9525819	0.973818391		0.879721695		0.171849442			9016.038818347	0.067180562		0.062024471		
27.9149606	1.6222867	3.537909444		27.9149606	0.060932861	2.014036131		27.9149606	0.973812841		0.879219378		0.171018834			9017.003100574	0.067168272		0.062031223		
27.8774405	1.6228274	3.5381783		27.8774405	0.060676946	2.205345596		27.8774405	0.974080819		0.879078925		0.171152572			9017.9673828	0.06715728		0.062037306		
27.8400212	1.6236302	3.538435969		27.8400212	0.060323955	2.424864958		27.8400212	0.974383529		0.87907346		0.171933998			9018.931665027	0.06714753		0.062042916		
27.8027021	1.6245518	3.538683286		27.8027021	0.060232426	2.427300031		27.8027021	0.974299127		0.87870793		0.173591732			9019.895947254	0.06713849		0.062047903		
27.7654829	1.6253179	3.538920898		27.7654829	0.060259047	2.27170006		27.7654829	0.973934272		0.878076971		0.176837623			9020.86022948	0.067129416		0.062051872		
27.7283633	1.6261115	3.539149315		27.7283633	0.060086969	2.365299469		27.7283633	0.973864743		0.877244762		0.180509897			9021.824511707	0.067119694		0.062054568		
27.6913428	1.6270116	3.539369132		27.6913428	0.060116191	2.456178586		27.6913428	0.973785611		0.876384029		0.181691806			9022.788793933	0.067109118		0.062056158		
