Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CH3OH (1)"
Temperature:	"120K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/79"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
50.153	1.5197			50.153	0			50.153	100.01		
51.117	1.5376			51.117	0			51.117	100.02		
52.082	1.5433			52.082	0.03985			52.082	99.836		
53.046	1.5404			53.046	0.036089			53.046	99.849		
54.011	1.5392			54.011	0.061879			54.011	99.737		
54.975	1.5353			54.975	0.063512			54.975	99.726		
55.94	1.5296			55.94	0.088359			55.94	99.614		
56.904	1.5205			56.904	0.091728			56.904	99.595		
57.869	1.5069			57.869	0.11631			57.869	99.483		
58.833	1.4868			58.833	0.11666			58.833	99.48		
59.798	1.4696			59.798	0.11681			59.798	99.477		
60.762	1.4507			60.762	0.11378			60.762	99.489		
61.727	1.4412			61.727	0.089092			61.727	99.596		
62.691	1.4349			62.691	0.092261			62.691	99.577		
63.656	1.4276			63.656	0.075106			63.656	99.652		
64.62	1.421			64.62	0.073269			64.62	99.657		
65.585	1.4191			65.585	0.046567			65.585	99.779		
66.549	1.4226			66.549	0.043094			66.549	99.792		
67.514	1.4267			67.514	0.027107			67.514	99.867		
68.478	1.4319			68.478	0.025631			68.478	99.872		
69.442	1.4402			69.442	0.008895			69.442	99.955		
70.406	1.4518			70.406	0.012335			70.406	99.936		
71.371	1.4592			71.371	0.014164			71.371	99.925		
72.335	1.465			72.335	0.017234			72.335	99.907		
73.3	1.4694			73.3	0.020414			73.3	99.888		
74.264	1.4729			74.264	0.023323			74.264	99.87		
75.229	1.4759			75.229	0.026319			75.229	99.851		
76.193	1.4784			76.193	0.029248			76.193	99.832		
77.158	1.481			77.158	0.031919			77.158	99.814		
78.122	1.4831			78.122	0.036034			78.122	99.787		
79.087	1.4845			79.087	0.039909			79.087	99.761		
80.051	1.4854			80.051	0.043697			80.051	99.735		
81.016	1.486			81.016	0.047549			81.016	99.708		
81.98	1.4864			81.98	0.051171			81.98	99.682		
82.945	1.4864			82.945	0.056159			82.945	99.647		
83.909	1.4851			83.909	0.06093			83.909	99.613		
84.874	1.4834			84.874	0.064361			84.874	99.587		
85.838	1.4805			85.838	0.069031			85.838	99.553		
86.803	1.48			86.803	0.066461			86.803	99.565		
87.767	1.4764			87.767	0.079416			87.767	99.476		
88.732	1.4726			88.732	0.070921			88.732	99.528		
89.696	1.475			89.696	0.072874			89.696	99.509		
90.661	1.4735			90.661	0.084123			90.661	99.428		
91.625	1.4615			91.625	0.095867			91.625	99.347		
92.59	1.4577			92.59	0.070443			92.59	99.516		
93.554	1.4596			93.554	0.082459			93.554	99.427		
94.519	1.4593			94.519	0.073071			94.519	99.487		
95.483	1.4603			95.483	0.081611			95.483	99.421		
96.448	1.4605			96.448	0.077847			96.448	99.442		
97.412	1.4603			97.412	0.08721			97.412	99.369		
98.377	1.4589			98.377	0.086847			98.377	99.366		
99.341	1.4554			99.341	0.098374			99.341	99.277		
100.31	1.447			100.31	0.10276			100.31	99.242		
101.27	1.4401			101.27	0.096321			101.27	99.286		
102.24	1.4366			102.24	0.099138			102.24	99.26		
103.2	1.4311			103.2	0.095928			103.2	99.28		
104.16	1.4273			104.16	0.093562			104.16	99.293		
105.13	1.4249			105.13	0.092201			105.13	99.298		
106.09	1.4214			106.09	0.089894			106.09	99.311		
107.06	1.4196			107.06	0.088676			107.06	99.315		
108.02	1.4161			108.02	0.087459			108.02	99.32		
108.99	1.4143			108.99	0.085126			108.99	99.333		
109.95	1.4121			109.95	0.083877			109.95	99.338		
110.91	1.408			110.91	0.085792			110.91	99.319		
111.88	1.4024			111.88	0.083757			111.88	99.332		
112.84	1.3988			112.84	0.072889			112.84	99.415		
113.81	1.4005			113.81	0.068718			113.81	99.443		
114.77	1.3989			114.77	0.069573			114.77	99.432		
115.74	1.398			115.74	0.063685			115.74	99.476		
116.7	1.3957			116.7	0.063626			116.7	99.473		
117.67	1.3965			117.67	0.053127			117.67	99.556		
118.63	1.3958			118.63	0.057713			118.63	99.514		
119.59	1.3953			119.59	0.045607			119.59	99.613		
120.56	1.3974			120.56	0.046461			120.56	99.602		
121.52	1.4009			121.52	0.035489			121.52	99.693		
122.49	1.4036			122.49	0.04531			122.49	99.604		
123.45	1.4012			123.45	0.04004			123.45	99.648		
124.42	1.3999			124.42	0.039316			124.42	99.652		
125.38	1.3998			125.38	0.02795			125.38	99.751		
126.35	1.4071			126.35	0.018453			126.35	99.834		
127.31	1.4142			127.31	0.021925			127.31	99.8		
128.28	1.4173			128.28	0.024629			128.28	99.773		
129.24	1.4184			129.24	0.023895			129.24	99.778		
130.2	1.4238			130.2	0.016444			130.2	99.846		
131.17	1.4275			131.17	0.027276			131.17	99.741		
132.13	1.428			132.13	0.0225			132.13	99.785		
133.1	1.4298			133.1	0.02581			133.1	99.751		
134.06	1.4342			134.06	0.017089			134.06	99.834		
135.03	1.4382			135.03	0.028324			135.03	99.721		
