Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CH3OH (1)"
Temperature:	"50K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/80"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.1	1.5516		0.022			500.08	99.199996948		
501.1	1.5488		0.013978			501.05	99.5		
502	1.5459		0.016667			501.53	99.300003052		
503	1.5429		0.016682			502.49	99.300003052		
503.9	1.5418		0.013999			503.46	99.400001526		
504.9	1.5425		0.013966			504.42	99.400001526		
505.9	1.5427		0.016598			505.39	99.400001526		
506.8	1.5398		0.02194			506.35	99.400001526		
507.8	1.536		0.019298			507.31	99.199996948		
508.8	1.5347		0.016621			508.28	99.5		
509.7	1.5337		0.016606			509.24	99.400001526		
510.7	1.5328		0.013937			510.21	99.5		
511.7	1.5336		0.011262			511.17	99.400001526		
512.6	1.5352		0.01123			512.14	99.699996948		
513.6	1.5354		0.013838			513.1	99.599998474		
514.5	1.5343		0.013825			514.07	99.5		
515.5	1.5333		0.013813			515.03	99.5		
516.5	1.5336		0.01117			516	99.5		
517.4	1.5318		0.016403			516.96	99.699996948		
518.4	1.5304		0.008556			517.92	99.5		
519.4	1.5319		0.008532			518.89	99.800003052		
520.3	1.534		0.005914			519.85	99.800003052		
521.3	1.5345		0.011071			520.82	99.599998474		
522.3	1.5336		0.00848			521.78	99.900001526		
523.2	1.5341		0.008462			522.75	99.699996948		
524.2	1.5346		0.008445			523.71	99.800003052		
525.2	1.5334		0.01101			524.68	99.699996948		
526.1	1.5334		0.005866			525.64	99.599998474		
527.1	1.5327		0.010981			526.6	99.699996948		
528	1.5324		0.003307			527.57	99.800003052		
529	1.5339		0.00584			528.53	99.900001526		
530	1.5344		0.003291			529.5	99.800003052		
531	1.5361		0.00328			530.46	100		
531.9	1.5361		0.005802			531.43	99.800003052		
532.9	1.5359		0.003275			532.39	99.900001526		
533.8	1.5366		0.003268			533.36	99.900001526		
534.8	1.5365		0.003266			534.32	99.900001526		
535.8	1.5384		0			535.29	100		
536.7	1.5418		0.000741			536.25	100.099998474		
537.7	1.5415		0.005717			537.21	99.900001526		
538.7	1.5408		0.003228			538.18	99.800003052		
539.6	1.5402		0.005711			539.14	99.900001526		
