Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CH4 (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/82"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
1000.2	1.3489			1000.2	0.0032001			1000.2	99.9		
1001.1	1.3484			1001.1	0.0031531			1000.6	99.9		
1002.1	1.3476			1002.1	0.0031424			1001.1	99.9		
1003.1	1.3472			1003.1	0.0031352			1001.6	99.9		
1004	1.347			1004	0.0031304			1002.1	99.9		
1005	1.3468			1005	0.0031257			1002.6	99.9		
1006	1.3466			1006	0.0031192			1003.1	99.9		
1006.9	1.3465			1006.9	0.0031159			1003.5	99.9		
1007.9	1.3463			1007.9	0.0031133			1004	99.9		
1008.8	1.3462			1008.8	0.0031104			1004.5	99.9		
1009.8	1.3462			1009.8	0.0031054			1005	99.9		
1010.8	1.3461			1010.8	0.0031016			1005.5	99.9		
1011.7	1.346			1011.7	0.0030987			1006	99.9		
1012.7	1.3459			1012.7	0.0030966			1006.4	99.9		
1013.7	1.3459			1013.7	0.003093			1006.9	99.9		
1014.6	1.3458			1014.6	0.0030882			1007.4	99.9		
1015.6	1.3458			1015.6	0.0030863			1007.9	99.9		
1016.6	1.3458			1016.6	0.0030823			1008.4	99.9		
1017.5	1.3457			1017.5	0.0030801			1008.8	99.9		
1018.5	1.3457			1018.5	0.0030773			1009.3	99.9		
1019.5	1.3456			1019.5	0.003073			1009.8	99.9		
1020.4	1.3456			1020.4	0.0030739			1010.3	99.9		
1021.4	1.3456			1021.4	0.0030682			1010.8	99.9		
1022.3	1.3456			1022.3	0.0030651			1011.3	99.9		
1023.3	1.3455			1023.3	0.0030637			1011.7	99.9		
1024.3	1.3455			1024.3	0.0030608			1012.2	99.9		
1025.2	1.3455			1025.2	0.003058			1012.7	99.9		
1026.2	1.3455			1026.2	0.0030551			1013.2	99.9		
1027.2	1.3454			1027.2	0.003052			1013.7	99.9		
1028.1	1.3454			1028.1	0.0030489			1014.1	99.9		
1029.1	1.3454			1029.1	0.0030477			1014.6	99.9		
1030.1	1.3454			1030.1	0.0030444			1015.1	99.9		
1031	1.3453			1031	0.0030403			1015.6	99.9		
1032	1.3453			1032	0.0030386			1016.1	99.9		
1033	1.3453			1033	0.0030363			1016.6	99.9		
1033.9	1.3453			1033.9	0.0030322			1017	99.9		
1034.9	1.3452			1034.9	0.0030298			1017.5	99.9		
1035.8	1.3452			1035.8	0.003027			1018	99.9		
1036.8	1.3451			1036.8	0.0030239			1018.5	99.9		
1037.8	1.3451			1037.8	0.0030215			1019	99.9		
1038.7	1.345			1038.7	0.0030184			1019.5	99.9		
1039.7	1.345			1039.7	0.0030153			1019.9	99.9		
1040.7	1.3449			1040.7	0.0030107			1020.4	99.9		
1041.6	1.3447			1041.6	0.0030067			1020.9	99.9		
1042.6	1.3442			1042.6	0.0029988			1021.4	99.9		
1043.6	1.345			1043.6	0.00022984			1021.9	99.9		
1044.5	1.3458			1044.5	0.0030127			1022.3	99.9		
1045.5	1.3452			1045.5	0.0030036			1022.8	99.9		
1046.5	1.3449			1046.5	0.0029974			1023.3	99.9		
1047.4	1.3445			1047.4	0.0029902			1023.8	99.9		
1048.4	1.3438			1048.4	0.0029795			1024.3	99.9		
1049.4	1.344			1049.4	0.00021744			1024.8	99.9		
1050.3	1.3455			1050.3	0.00023937			1025.2	99.9		
1051.3	1.3452			1051.3	0.0029891			1025.7	99.9		
1052.2	1.3449			1052.2	0.00023079			1026.2	99.9		
1053.2	1.3459			1053.2	0.00024438			1026.7	99.9		
1054.2	1.347			1054.2	0.00026035			1027.2	99.9		
1055.1	1.3471			1055.1	0.0030019			1027.7	99.9		
1056.1	1.3462			1056.1	0.0029888			1028.1	99.9		
1057.1	1.3454			1057.1	0.002979			1028.6	99.9		
1058	1.346			1058	0.00024676			1029.1	99.9		
1059	1.3466			1059	0.0029891			1029.6	99.9		
1060	1.3458			1060	0.0029764			1030.1	99.9		
1060.9	1.3451			1060.9	0.0029645			1030.5	99.9		
1061.9	1.3456			1061.9	0.00024295			1031	99.9		
1062.9	1.3461			1062.9	0.0029728			1031.5	99.9		
1063.8	1.3449			1063.8	0.0029552			1032	99.9		
1064.8	1.3449			1064.8	0.00023413			1032.5	99.9		
1065.7	1.3458			1065.7	0.00024676			1033	99.9		
1066.7	1.3465			1066.7	0.00025678			1033.4	99.9		
1067.7	1.3475			1067.7	0.00027084			1033.9	99.9		
1068.6	1.3474			1068.6	0.0029752			1034.4	99.9		
1069.6	1.3461			1069.6	0.0029573			1034.9	99.9		
1070.6	1.3465			1070.6	0.00025725			1035.4	100		
1071.5	1.3466			1071.5	0.0029583			1035.8	99.9		
1072.5	1.3466			1072.5	0.00025845			1036.3	99.9		
1073.5	1.3467			1073.5	0.0029559			1036.8	99.9		
1074.4	1.3468			1074.4	0.0002625			1037.3	99.9		
1075.4	1.3468			1075.4	0.0029519			1037.8	99.9		
1076.4	1.3469			1076.4	0.00026345			1038.3	99.9		
1077.3	1.3469			1077.3	0.0029492			1038.7	99.9		
1078.3	1.347			1078.3	0.00026608			1039.2	99.9		
1079.3	1.3471			1079.3	0.0029449			1039.7	99.9		
1080.2	1.3472			1080.2	0.00026822			1040.2	99.9		
1081.2	1.3475			1081.2	0.0029469			1040.7	99.9		
1082.1	1.3462			1082.1	0.002929			1041.2	99.9		
1083.1	1.3461			1083.1	0.00025415			1041.6	99.9		
1084.1	1.347			1084.1	0.00026751			1042.1	99.9		
1085	1.3476			1085	0.00027561			1042.6	99.9		
1086	1.3482			1086	0.00028348			1043.1	100		
1087	1.3491			1087	0.00029778			1043.6	100		
1087.9	1.349			1087.9	0.0029509			1044	99.9		
1088.9	1.3478			1088.9	0.0029337			1044.5	99.9		
1089.9	1.3483			1089.9	0.00028539			1045	100		
1090.8	1.3487			1090.8	0.0029402			1045.5	99.9		
1091.8	1.3477			1091.8	0.0029254			1046	99.9		
1092.8	1.3483			1092.8	0.00028801			1046.5	99.9		
1093.7	1.349			1093.7	0.0029368			1046.9	100		
1094.7	1.3484			1094.7	0.0029266			1047.4	99.9		
1095.6	1.3481			1095.6	0.0029228			1047.9	100		
1096.6	1.3479			1096.6	0.002918			1048.4	99.9		
1097.6	1.3477			1097.6	0.0029132			1048.9	99.9		
1098.5	1.3475			1098.5	0.0029097			1049.4	100		
1099.5	1.3472			1099.5	0.0029025			1049.8	100		
1100.5	1.3466			1100.5	0.0028813			1050.3	100		
1101	1.3464			1101	0.00026846			1050.8	100		
1101.4	1.3472			1101.4	0.00027823			1051.3	99.9		
1101.9	1.347			1101.9	0.0028834			1051.8	99.9		
1102.4	1.3455			1102.4	0.0028651			1052.2	100		
1102.9	1.3453			1102.9	0.00025392			1052.7	100		
1103.4	1.3464			1103.4	0.00026941			1053.2	100		
1103.8	1.346			1103.8	0.0028687			1053.7	100		
1104.3	1.3458			1104.3	0.00026131			1054.2	100		
1104.8	1.3455			1104.8	0.0028605			1054.7	99.9		
1105.3	1.345			1105.3	0.00025034			1055.1	99.9		
1105.8	1.3456			1105.8	0.00025868			1055.6	99.9		
1106.3	1.3459			1106.3	0.00026155			1056.1	99.9		
1106.7	1.3461			1106.7	0.00026417			1056.6	99.9		
1107.2	1.3464			1107.2	0.00026846			1057.1	99.9		
1107.7	1.3466			1107.7	0.0002718			1057.5	99.9		
1108.2	1.3468			1108.2	0.00027347			1058	100		
1108.7	1.3472			1108.7	0.00027919			1058.5	99.9		
1109.1	1.3479			1109.1	0.00028801			1059	99.9		
1109.6	1.3477			1109.6	0.0028732			1059.5	99.9		
1110.1	1.3464			1110.1	0.0028584			1060	99.9		
1110.6	1.3467			1110.6	0.00027299			1060.4	100		
1111.1	1.347			1111.1	0.0028613			1060.9	99.9		
1111.6	1.3457			1111.6	0.0028467			1061.4	100		
