Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CH4 (1)"
Temperature:	"30K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/84"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
1000.2	1.3481		0.003152			1000.2	99.900001526		
1001.1	1.3476		0.003143			1000.6	99.900001526		
1002.1	1.3468		0.003132			1001.1	99.900001526		
1003.1	1.3463		0.003124			1001.6	99.900001526		
1004	1.3459		0.003117			1002.1	99.900001526		
1005	1.3456		0.003111			1002.6	100		
1006	1.3453		0.003105			1003.1	99.900001526		
1006.9	1.345		0.003099			1003.5	99.900001526		
1007.9	1.3445		0.003093			1004	99.900001526		
1008.8	1.3437		0.00308			1004.5	99.900001526		
1009.8	1.3439		0.000207			1005	99.900001526		
1010.8	1.3454		0.000229			1005.5	99.900001526		
1011.7	1.3452		0.003089			1006	99.900001526		
1012.7	1.3453		0.000229			1006.4	100		
1013.7	1.3457		0.00309			1006.9	99.900001526		
1014.6	1.3444		0.003073			1007.4	100		
1015.6	1.3449		0.000223			1007.9	99.900001526		
1016.6	1.3453		0.003077			1008.4	99.900001526		
1017.5	1.3441		0.003061			1008.8	99.900001526		
1018.5	1.3445		0.000218			1009.3	100		
1019.5	1.3449		0.003063			1009.8	100		
1020.4	1.3435		0.003045			1010.3	100		
1021.4	1.3433		0.000203			1010.8	100		
1022.3	1.3441		0.000214			1011.3	99.900001526		
1023.3	1.3446		0.000221			1011.7	99.900001526		
1024.3	1.345		0.000225			1012.2	100		
1025.2	1.3454		0.000231			1012.7	100		
1026.2	1.3461		0.000242			1013.2	99.900001526		
1027.2	1.3458		0.003057			1013.7	99.900001526		
1028.1	1.3441		0.003033			1014.1	99.900001526		
1029.1	1.3438		0.00021			1014.6	99.900001526		
1030.1	1.3445		0.00022			1015.1	99.900001526		
1031	1.3448		0.000223			1015.6	100		
1032	1.345		0.000228			1016.1	99.900001526		
1033	1.3452		0.000231			1016.6	99.900001526		
1033.9	1.3453		0.000231			1017	99.900001526		
1034.9	1.3454		0.000233			1017.5	99.900001526		
1035.8	1.3456		0.000237			1018	99.900001526		
1036.8	1.3457		0.000239			1018.5	100		
1037.8	1.3459		0.000241			1019	99.900001526		
1038.7	1.3461		0.000244			1019.5	99.900001526		
1039.7	1.3466		0.000252			1019.9	100		
1040.7	1.3458		0.003022			1020.4	99.900001526		
1041.6	1.345		0.00023			1020.9	100		
1042.6	1.3455		0.000236			1021.4	100		
1043.6	1.3457		0.00024			1021.9	100		
1044.5	1.3459		0.000243			1022.3	100		
1045.5	1.346		0.000244			1022.8	100		
1046.5	1.3461		0.000245			1023.3	100		
1047.4	1.3461		0.000247			1023.8	99.900001526		
1048.4	1.3462		0.000249			1024.3	100		
1049.4	1.3463		0.000249			1024.8	100		
1050.3	1.3464		0.00025			1025.2	100		
1051.3	1.3464		0.000253			1025.7	100		
1052.2	1.3465		0.000252			1026.2	100		
1053.2	1.3466		0.000254			1026.7	99.900001526		
1054.2	1.3466		0.000255			1027.2	99.900001526		
1055.1	1.3467		0.000257			1027.7	99.900001526		
1056.1	1.3468		0.000258			1028.1	99.900001526		
1057.1	1.3468		0.000259			1028.6	100		
1058	1.3469		0.00026			1029.1	100		
1059	1.347		0.000261			1029.6	99.900001526		
1060	1.347		0.000262			1030.1	100		
1060.9	1.3471		0.000263			1030.5	100		
1061.9	1.3472		0.000263			1031	100		
1062.9	1.3472		0.000267			1031.5	100		
1063.8	1.3473		0.000267			1032	100		
1064.8	1.3474		0.000268			1032.5	100		
1065.7	1.3474		0.000269			1033	100		
1066.7	1.3475		0.000271			1033.4	100		
1067.7	1.3476		0.000271			1033.9	100		
1068.6	1.3477		0.000274			1034.4	100		
1069.6	1.3477		0.000274			1034.9	100		
1070.6	1.3478		0.000274			1035.4	100		
1071.5	1.3479		0.000276			1035.8	100		
1072.5	1.3479		0.000278			1036.3	100		
1073.5	1.348		0.000279			1036.8	100		
1074.4	1.3481		0.000279			1037.3	100		
1075.4	1.3482		0.000282			1037.8	100		
1076.4	1.3483		0.000282			1038.3	100		
1077.3	1.3483		0.000284			1038.7	100		
1078.3	1.3484		0.000285			1039.2	100		
1079.3	1.3485		0.000287			1039.7	100		
1080.2	1.3486		0.000289			1040.2	100		
1081.2	1.3487		0.00029			1040.7	99.900001526		
1082.1	1.3488		0.000291			1041.2	100		
1083.1	1.349		0.000294			1041.6	100		
1084.1	1.3491		0.000296			1042.1	100		
1085	1.3493		0.0003			1042.6	100		
1086	1.3496		0.000303			1043.1	100		
1087	1.3503		0.000313			1043.6	100		
1087.9	1.35		0.00296			1044	100		
1088.9	1.3484		0.00294			1044.5	100		
1089.9	1.3482		0.000285			1045	100		
1090.8	1.3489		0.000295			1045.5	100		
1091.8	1.3494		0.000302			1046	100		
1092.8	1.3501		0.000311			1046.5	100		
1093.7	1.3495		0.002942			1046.9	100		
1094.7	1.349		0.000297			1047.4	100		
1095.6	1.3502		0.000314			1047.9	100		
1096.6	1.35		0.002943			1048.4	100		
1097.6	1.3487		0.002925			1048.9	100		
1098.5	1.3488		0.000296			1049.4	100		
1099.5	1.3487		0.002919			1049.8	100		
1100.5	1.3482		0.000286			1050.3	100		
1101	1.3482		0.000287			1050.8	100		
1101.4	1.3481		0.000287			1051.3	100		
1101.9	1.3481		0.000287			1051.8	100		
1102.4	1.3482		0.000288			1052.2	100		
1102.9	1.3482		0.000288			1052.7	100		
1103.4	1.3482		0.000289			1053.2	100		
1103.8	1.3482		0.000288			1053.7	100		
1104.3	1.3483		0.000289			1054.2	100		
1104.8	1.3483		0.000291			1054.7	100		
1105.3	1.3483		0.000292			1055.1	100		
1105.8	1.3484		0.000291			1055.6	100		
1106.3	1.3484		0.000292			1056.1	100		
1106.7	1.3485		0.000294			1056.6	100		
1107.2	1.3485		0.000293			1057.1	100		
1107.7	1.3485		0.000295			1057.5	100		
1108.2	1.3486		0.000294			1058	100		
1108.7	1.3486		0.000295			1058.5	100		
1109.1	1.3487		0.000295			1059	100		
1109.6	1.3487		0.000296			1059.5	100		
1110.1	1.3487		0.000297			1060	100		
1110.6	1.3488		0.000299			1060.4	100		
1111.1	1.3488		0.000298			1060.9	100		
1111.6	1.3489		0.000299			1061.4	100		
1112	1.3489		0.000299			1061.9	100		
1112.5	1.349		0.000301			1062.4	100		
1113	1.349		0.000301			1062.9	100		
1113.5	1.349		0.000302			1063.3	100		
1114	1.3491		0.000302			1063.8	100		
1114.5	1.3491		0.000304			1064.3	100		
1114.9	1.3492		0.000305			1064.8	100		
1115.4	1.3492		0.000304			1065.3	100		
1115.9	1.3493		0.000306			1065.7	100		
1116.4	1.3493		0.000307			1066.2	100		
1116.9	1.3494		0.000307			1066.7	100		
1117.3	1.3494		0.000308			1067.2	100		
1117.8	1.3495		0.000308			1067.7	100		
1118.3	1.3495		0.00031			1068.2	100		
1118.8	1.3496		0.000311			1068.6	100		
1119.3	1.3496		0.000311			1069.1	100		
1119.8	1.3497		0.000311			1069.6	100		
1120.2	1.3497		0.000313			1070.1	99.900001526		
1120.7	1.3498		0.000314			1070.6	100		
1121.2	1.3498		0.000315			1071.1	100		
1121.7	1.3499		0.000315			1071.5	100		
1122.2	1.3499		0.000315			1072	100		
1122.7	1.35		0.000317			1072.5	100		
