Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/85"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
2105	1.415104		0.000236			2105	100.013702393		
2110	1.434134		0.00024			2110	100.013801575		
2115	1.460943		0.000218			2115	100.013801575		
2120	1.501826		0.000132			2120	100.013900757		
2122.5	1.531592		2.9E-5			2122.5	100.013900757		
2125	1.572563		0			2125	100.013900757		
2127.5	1.634085		0			2127.5	100.013999939		
2130	1.720868		0.022601			2130	99.814002991		
2132.5	1.895166		0.03976			2132.5	99.614013672		
2133	1.912373		0.049877			2133	99.51399231		
2133.5	1.980805		0.067643			2133.5	99.313957214		
2134	2.053507		0.093885			2134	99.013946533		
2134.5	2.123403		0.158032			2134.5	98.313850403		
2135	2.190998		0.20914			2135	97.713760376		
2135.5	2.277295		0.264136			2135.5	97.013671875		
2136	2.391046		0.347274			2136	95.913543701		
2136.5	2.525624		0.49987			2136.5	93.913253784		
2137	2.650471		0.771073			2137	90.512771606		
2137.5	2.655738		1.255149			2137.5	85.412063599		
2138	2.443927		1.75857			2138	81.911567688		
2138.5	2.05112		2.087079			2138.5	81.911567688		
2139	1.611824		2.135168			2139	84.911987305		
2139.5	1.238739		2.011206			2139.5	88.612533569		
2140	0.971476		1.80021			2140	91.712966919		
2140.5	0.800525		1.592596			2140.5	93.813270569		
2141	0.697965		1.412726			2141	95.213493347		
2141.5	0.61261		1.31055			2141.5	96.113616943		
2142	0.517365		1.192767			2142	96.913726807		
2142.5	0.440776		1.034282			2142.5	97.613830566		
2143	0.38619		0.893202			2143	98.213928223		
2143.5	0.366002		0.702183			2143.5	98.714019775		
2144	0.392401		0.552657			2144	98.914047241		
2144.5	0.423301		0.458703			2144.5	99.014076233		
2145	0.467454		0.32691			2145	99.214118958		
2145.5	0.533127		0.250079			2145.5	99.31413269		
2146	0.601592		0.189572			2146	99.414146423		
2146.5	0.660221		0.174084			2146.5	99.414146423		
2147	0.704502		0.149546			2147	99.464179993		
2147.5	0.751416		0.127496			2147.5	99.514183044		
2148	0.753329		0.121748			2148	99.534202576		
2149	0.835354		0.101356			2149	99.574211121		
2150	0.874684		0.088038			2150	99.614219666		
2151	0.908108		0.074014			2151	99.664260864		
2152	0.927201		0.061729			2152	99.714271545		
2153.5	0.970822		0.051107			2153.5	99.75428772		
2155	0.987737		0.038048			2155	99.814323425		
2157.5	1.039123		0			2157.5	100.014396667		
2159	1.066816		0			2159	100.014396667		
2160	1.083109		0			2160	100.014396667		
2165	1.131747		0			2165	100.014503479		
2170	1.162196		0			2170	100.014503479		
2175	1.183155		0			2175	100.014602661		
2180	1.198608		0			2180	100.014701843		
2185	1.210427		0			2185	100.014801025		
