Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO2 (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/86"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.08	1.4209			500.08	0.14954			500.08	99.7		
501.05	1.415			501.05	0.00017834			501.05	100		
502.01	1.431			502.01	0.049348			501.53	100		
502.97	1.4322			502.97	0.049208			502.49	100		
503.94	1.3798			503.94	0.1528			503.46	99.9		
504.9	1.3781			504.9	-0.05053			504.42	100		
505.87	1.4296			505.87	0.049003			505.39	100.3		
506.83	1.4343			506.83	0.04875			506.35	99.9		
507.8	1.4			507.8	0.14946			507.31	99.9		
508.76	1.3681			508.76	0.050899			508.28	99.9		
509.73	1.3896			509.73	0.050039			509.24	100		
510.69	1.3741			510.69	0.10093			510.21	99.9		
511.66	1.3876			511.66	0.00018883			511.17	99.9		
512.62	1.4124			512.62	0.097826			512.14	100		
513.58	1.3586			513.58	0.15224			513.1	99.9		
514.55	1.3302			514.55	0.051737			514.07	99.8		
515.51	1.3443			515.51	0.051119			515.03	99.9		
516.48	1.3411			516.48	0.051146			516	100		
517.44	1.3584			517.44	0.00017834			516.96	100		
518.41	1.3736			518.41	0.049771			517.92	100.1		
519.37	1.3589			519.37	0.050214			518.89	99.9		
520.34	1.3732			520.34	0.00018311			519.85	100		
521.3	1.3926			521.3	0.048842			520.82	100		
522.26	1.3586			522.26	0.0998			521.78	100		
523.23	1.3508			523.23	0.00015926			522.75	99.9		
524.19	1.3582			524.19	0.049778			523.71	100		
525.16	1.3844			525.16	-0.048331			524.68	100.1		
526.12	1.4171			526.12	0.047549			525.64	100.1		
527.09	1.4109			527.09	0.047683			526.6	99.9		
528.05	1.3967			528.05	0.096031			527.57	99.9		
529.02	1.3596			529.02	0.098444			528.53	99.9		
529.98	1.3397			529.98	0.049882			529.5	99.9		
530.95	1.3577			530.95	0.00019169			530.46	99.9		
531.91	1.3944			531.91	0.0001812			531.43	100		
532.87	1.4122			532.87	0.047138			532.39	100		
533.84	1.3898			533.84	0.095494			533.36	99.8		
534.8	1.3769			534.8	0.048149			534.32	100		
535.77	1.3596			535.77	0.097211			535.29	99.9		
536.73	1.3585			536.73	0.00016594			536.25	100		
537.7	1.413			537.7	0.00018787			537.21	100		
538.66	1.3958			538.66	0.14134			538.18	100		
539.63	1.3643			539.63	0.048138			539.14	99.9		
540.59	1.3597			540.59	0.09636			540.11	99.8		
541.55	1.3461			541.55	0.048629			541.07	100		
542.52	1.3527			542.52	0.048306			542.04	99.9		
543.48	1.3516			543.48	0.048252			543	100		
544.45	1.3419			544.45	0.048504			543.97	99.9		
545.41	1.3487			545.41	0.00019455			544.93	100		
546.38	1.3762			546.38	0.00019169			545.89	100		
547.34	1.3747			547.34	0.047132			546.86	100		
548.31	1.3734			548.31	0.00018024			547.82	100		
549.27	1.4038			549.27	0.00020599			548.79	100		
550.23	1.385			550.23	0.092957			549.75	99.9		
551.2	1.3667			551.2	0.00016117			550.72	100		
552.16	1.3981			552.16	0.00020504			551.68	100		
553.13	1.4004			553.13	0.04579			552.65	100		
554.09	1.4085			554.09	0.00021362			553.61	100		
555.06	1.4286			555.06	0.044731			554.57	100		
556.02	1.4114			556.02	0.090295			555.54	99.9		
556.99	1.3723			556.99	0.092679			556.5	99.9		
557.95	1.3784			557.95	0.00019741			557.47	99.9		
558.91	1.4044			558.91	0.045196			558.43	100		
559.88	1.4082			559.88	0.045012			559.4	100		
560.84	1.394			560.84	0.09063			560.36	99.9		
561.81	1.3811			561.81	0.045715			561.33	99.9		
562.77	1.3946			562.77	0.045185			562.29	99.9		
563.74	1.3808			563.74	0.091024			563.26	99.9		
564.7	1.3608			564.7	0.046144			564.22	99.9		
565.67	1.3847			565.67	0.00020218			565.18	100		
566.63	1.4085			566.63	0.044464			566.15	99.9		
567.6	1.3873			567.6	0.08996			567.11	99.9		
568.56	1.3679			568.56	0.0456			568.08	100		
569.52	1.3642			569.52	0.045654			569.04	100		
570.49	1.3718			570.49	0.00020409			570.01	100		
571.45	1.3952			571.45	0.00020123			570.97	100		
572.42	1.418			572.42	0.00020981			571.94	100.1		
573.38	1.4247			573.38	0.043435			572.9	99.9		
574.35	1.4167			574.35	0.043612			573.86	100		
575.31	1.4158			575.31	0.043564			574.83	99.9		
576.28	1.4215			576.28	0.043328			575.79	99.8		
577.24	1.4069			577.24	0.087267			576.76	99.9		
578.2	1.3923			578.2	0.044071			577.72	99.8		
579.17	1.3982			579.17	0.043827			578.69	100		
580.13	1.3986			580.13	0.043729			579.65	100		
581.1	1.3933			581.1	0.043818			580.62	100		
582.06	1.4083			582.06	0.00020409			581.58	99.9		
583.03	1.4233			583.03	0.042783			582.54	100		
583.99	1.4176			583.99	0.042878			583.51	100		
584.96	1.4162			584.96	0.04285			584.47	99.9		
585.92	1.4158			585.92	0.042783			585.44	99.9		
586.88	1.4155			586.88	0.042709			586.4	99.9		
587.85	1.4149			587.85	0.042684			587.37	100		
588.81	1.413			588.81	0.042661			588.33	99.9		
589.78	1.4061			589.78	0.042805			589.3	100		
590.74	1.4182			590.74	0.00021267			590.26	100		
591.71	1.4261			591.71	0.042078			591.22	100		
592.67	1.4336			592.67	0.00021935			592.19	100		
593.64	1.4456			593.64	0.04135			593.15	99.9		
594.6	1.4383			594.6	0.041521			594.12	99.9		
595.56	1.4344			595.56	0.041561			595.08	99.9		
596.53	1.4269			596.53	0.041709			596.05	100		
597.49	1.4386			597.49	0.00021362			597.01	100		
598.46	1.4463			598.46	0.041015			597.98	100		
599.42	1.4541			599.42	0.00019741			598.94	99.9		
600.39	1.4663			600.39	0.040327			599.91	99.9		
601.35	1.4601			601.35	0.040439			600.87	100		
602.32	1.4579			602.32	0.040432			601.83	99.9		
603.28	1.4557			603.28	0.040409			602.8	99.9		
604.25	1.4487			604.25	0.040565			603.76	99.9		
605.21	1.457			605.21	0.00020409			604.73	99.9		
606.17	1.4845			606.17	0.00018787			605.69	100		
607.14	1.4935			607.14	0.039129			606.66	100		
608.1	1.488			608.1	0.039204			607.62	99.9		
609.07	1.4876			609.07	0.039171			608.59	99.9		
610.03	1.4888			610.03	0.039077			609.55	99.9		
611	1.4904			611	0.03897			610.51	99.9		
611.96	1.4921			611.96	0.038852			611.48	99.9		
612.93	1.4929			612.93	0.038794			612.44	99.9		
613.89	1.4894			613.89	0.038813			613.41	100		
614.85	1.5035			614.85	0.00016308			614.37	100		
615.82	1.514			615.82	0.038027			615.34	100		
616.78	1.5245			616.78	0.00015354			616.3	100		
617.75	1.5395			617.75	0.03726			617.27	99.9		
618.71	1.5377			618.71	0.037244			618.23	99.9		
619.68	1.5405			619.68	0.03712			619.19	99.9		
620.64	1.5446			620.64	0.036946			620.16	100		
621.61	1.5494			621.61	0.036777			621.12	99.9		
622.57	1.5544			622.57	0.036592			622.09	100		
623.54	1.559			623.54	0.036445			623.05	99.9		
624.5	1.5601			624.5	0.036334			624.02	100		
625.46	1.5787			625.46	4.0054E-5			624.98	99.9		
626.43	1.598			626.43	0.035285			625.95	99.9		
627.39	1.6004			627.39	0.035182			626.91	99.9		
628.36	1.6062			628.36	0.034988			627.87	99.9		
629.32	1.6098			629.32	0.034845			628.84	99.9		
630.29	1.6309			630.29	0			629.8	100		
631.25	1.6531			631.25	0.033721			630.77	99.9		
632.21	1.6592			632.21	0.033499			631.73	99.9		
633.18	1.6668			633.18	0.033278			632.7	99.9		
634.14	1.693			634.14	0			633.66	100		
635.11	1.7226			635.11	0.031896			634.63	100		
636.07	1.7435			636.07	0.031384			635.59	99.9		
637.04	1.76			637.04	0.062528			636.55	99.9		
638	1.7724			638	0.061937			637.52	99.8		
638.97	1.7769			638.97	0.092874			638.48	99.8		
639.93	1.7849			639.93	0.061236			639.45	99.7		
640.9	1.811			640.9	0.060122			640.41	99.8		
641.86	1.8365			641.86	0.059059			641.38	99.8		
642.82	1.8611			642.82	0.05804			642.34	99.8		
643.79	1.9004			643.79	0.027549			643.31	99.8		
644.75	1.9559			644.75	0.026299			644.27	99.9		
645.72	2.0162			645.72	0.024942			645.24	99.9		
646.68	2.09			646.68	0.023304			646.2	99.9		
647.65	2.1704			647.65	0.046665			647.16	99.9		
648.61	2.2671			648.61	0.043347			648.13	99.8		
649.58	2.4157			649.58	0.038323			649.09	99.8		
650.54	2.6148			650.54	0.11513			650.06	99.7		
651.5	2.822			651.5	0.31701			651.02	98.9		
