Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO2 (1)"
Temperature:	"70K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/89"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.1	1.4181		0.099868			500.08	99.800003052		
501.1	1.3712		0.10308			501.05	99.800003052		
502	1.3456		0.00014			501.53	99.800003052		
503	1.3982		-0.049986			502.49	100.199996948		
503.9	1.3869		0.10132			503.46	99.900001526		
504.9	1.3793		-0.050457			504.42	100.099998474		
505.9	1.4033		0.049928			505.39	100		
506.8	1.4043		0.00017			506.35	100.099998474		
507.8	1.385		0.10071			507.31	99.800003052		
508.8	1.3631		0.000169			508.28	99.900001526		
509.7	1.3949		0.000183			509.24	100		
510.7	1.3961		0.04973			510.21	99.800003052		
511.7	1.411		0.000178			511.17	99.900001526		
512.6	1.3778		0.15042			512.14	99.900001526		
513.6	1.3438		0.000162			513.1	99.699996948		
514.5	1.3523		0.050918			514.07	99.800003052		
515.5	1.3743		-0.049595			515.03	100.199996948		
516.5	1.3957		0.049193			516	100		
517.4	1.3971		0.000183			516.96	100		
518.4	1.3786		0.099091			517.92	100		
519.4	1.357		0.000177			518.89	100		
520.3	1.3876		0.000185			519.85	99.900001526		
521.3	1.3866		0.049016			520.82	99.900001526		
522.3	1.3933		0.000187			521.78	100		
523.2	1.3753		0.098409			522.75	99.900001526		
524.2	1.3519		0.000167			523.71	100		
525.2	1.3719		0.000184			524.68	99.900001526		
526.1	1.4149		-0.047209			525.64	100		
527.1	1.4133		0.095086			526.6	99.900001526		
528	1.4026		0.000183			527.57	100		
529	1.3672		0.1469			528.53	100		
530	1.3482		-0.049221			529.5	99.900001526		
531	1.4031		0.000196			530.46	100		
531.9	1.3977		0.047709			531.43	99.900001526		
532.9	1.4006		0.000201			532.39	99.900001526		
533.8	1.4108		0.047115			533.36	100		
534.8	1.401		0.047337			534.32	99.900001526		
535.8	1.3998		0.047297			535.29	99.800003052		
536.7	1.3675		0.096483			536.25	99.800003052		
537.7	1.3824		-0.047281			537.21	99.900001526		
538.7	1.4274		0.046121			538.18	100		
539.6	1.404		0.093512			539.14	99.900001526		
540.6	1.3604		0.096299			540.11	99.900001526		
541.5	1.3633		0.000181			541.07	99.800003052		
542.5	1.3851		0.047197			542.04	99.900001526		
543.5	1.3775		0.047368			543	100		
544.5	1.3713		0.047481			543.97	99.900001526		
545.4	1.3593		0.047821			544.93	99.900001526		
546.4	1.3669		0.000193			545.89	99.900001526		
547.3	1.3633		0.047509			546.86	99.900001526		
548.3	1.3765		-0.046538			547.82	100		
549.3	1.4159		0.00019			548.79	100		
550.2	1.408		0.045765			549.75	100		
551.2	1.4137		0.000195			550.72	100		
552.2	1.3991		0.091714			551.68	99.900001526		
553.1	1.3828		0.000194			552.65	99.900001526		
554.1	1.4198		0.000193			553.61	100		
555.1	1.4063		0.090769			554.57	99.900001526		
556	1.4007		0.000193			555.54	100		
557	1.396		0.09112			556.5	99.900001526		
558	1.3879		0.000187			557.47	99.900001526		
558.9	1.4056		0.045162			558.43	100		
559.9	1.3968		0.04536			559.4	99.900001526		
560.8	1.3869		0.045593			560.36	99.900001526		
561.8	1.3995		0.000178			561.33	99.900001526		
562.8	1.4128		0.044621			562.29	100		
563.7	1.405		0.044786			563.26	99.900001526		
