Reference:	"Curtis et al. (2005)"
DOI:	"doi:DOI: 10.1364/ao.44.004102 "
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"116K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/8"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
52.069	1.772			52.069	0.0471		
55.927	1.759			55.927	0.0529		
59.785	1.759			59.785	0.0437		
63.643	1.764			63.643	0.0549		
67.501	1.764			67.501	0.0572		
71.36	1.765			71.36	0.0625		
75.218	1.764			75.218	0.067		
79.076	1.766			79.076	0.063		
82.934	1.769			82.934	0.0674		
86.792	1.773			86.792	0.0664		
90.65	1.777			90.65	0.0686		
94.508	1.783			94.508	0.0664		
98.366	1.794			98.366	0.0641		
102.224	1.811			102.224	0.0627		
106.082	1.831			106.082	0.073		
109.94	1.849			109.94	0.09		
113.798	1.862			113.798	0.11		
117.656	1.874			117.656	0.131		
121.514	1.882			121.514	0.159		
125.372	1.885			125.372	0.187		
129.23	1.884			129.23	0.213		
133.088	1.877			133.088	0.246		
136.946	1.866			136.946	0.264		
140.805	1.855			140.805	0.289		
144.663	1.84			144.663	0.306		
148.521	1.824			148.521	0.322		
152.379	1.811			152.379	0.328		
156.237	1.8			156.237	0.339		
160.095	1.792			160.095	0.344		
163.953	1.788			163.953	0.35		
167.811	1.787			167.811	0.363		
171.669	1.786			171.669	0.375		
175.527	1.786			175.527	0.394		
179.385	1.785			179.385	0.414		
183.243	1.787			183.243	0.436		
187.101	1.784			187.101	0.478		
190.959	1.769			190.959	0.519		
194.817	1.745			194.817	0.561		
198.675	1.713			198.675	0.603		
202.533	1.667			202.533	0.645		
206.391	1.615			206.391	0.67		
210.249	1.56			210.249	0.695		
214.108	1.491			214.108	0.72		
217.966	1.408			217.966	0.724		
221.824	1.32			221.824	0.701		
225.682	1.254			225.682	0.636		
229.54	1.213			229.54	0.581		
233.398	1.183			233.398	0.524		
