Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO2:CH4 (20:1)"
Temperature:	"50K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/93"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.08	1.3715			500.08	0.052521			500.08	99.5		
501.05	1.3608			501.05	0.042382			500.56	99.5		
502.01	1.3533			502.01	0.032065			501.05	99.6		
502.97	1.3563			502.97	0.031948			501.53	99.8		
503.94	1.3439			503.94	0.063604			502.01	99.7		
504.9	1.3308			504.9	0.032336			502.49	99.7		
505.87	1.3389			505.87	0.021664			502.97	99.7		
506.83	1.338			506.83	0.042542			503.46	99.6		
507.8	1.3366			507.8	0.021614			503.94	99.4		
508.76	1.3425			508.76	0.031879			504.42	99.6		
509.73	1.3383			509.73	0.042298			504.9	99.7		
510.69	1.3286			510.69	0.042483			505.39	99.7		
511.66	1.3282			511.66	0.021554			505.87	99.8		
512.62	1.3378			512.62	0.021409			506.35	99.7		
513.58	1.336			513.58	0.042054			506.83	99.6		
514.55	1.3289			514.55	0.031798			507.31	99.5		
515.51	1.333			515.51	0.021354			507.8	99.8		
516.48	1.3366			516.48	0.031539			508.28	99.8		
517.44	1.3362			517.44	0.031487			508.76	99.7		
518.41	1.3318			518.41	0.041789			509.24	99.5		
519.37	1.3276			519.37	0.031536			509.73	99.6		
520.34	1.328			520.34	0.031479			510.21	99.6		
521.3	1.3262			521.3	0.031454			510.69	99.6		
522.26	1.3289			522.26	0.021144			511.17	99.7		
523.23	1.3314			523.23	0.031252			511.66	99.8		
524.19	1.3284			524.19	0.031249			512.14	99.8		
525.16	1.325			525.16	0.031258			512.62	99.8		
526.12	1.3251			526.12	0.021039			513.1	99.7		
527.09	1.3288			527.09	0.020962			513.58	99.6		
528.05	1.3313			528.05	0.020905			514.07	99.7		
529.02	1.3347			529.02	0.020829			514.55	99.7		
529.98	1.3342			529.98	0.030817			515.03	99.8		
530.95	1.3288			530.95	0.030859			515.51	99.8		
531.91	1.3283			531.91	0.020795			516	99.7		
532.87	1.3318			532.87	0.02072			516.48	99.7		
533.84	1.3352			533.84	0.020651			516.96	99.7		
534.8	1.3346			534.8	0.03055			517.44	99.7		
535.77	1.329			535.77	0.030596			517.92	99.6		
536.73	1.328			536.73	0.020624			518.41	99.6		
537.7	1.3306			537.7	0.020566			518.89	99.7		
538.66	1.3317			538.66	0.020517			519.37	99.7		
539.63	1.3325			539.63	0.020478			519.85	99.7		
540.59	1.3328			540.59	0.020435			520.34	99.7		
541.55	1.3328			541.55	0.020406			520.82	99.7		
542.52	1.3314			542.52	0.020387			521.3	99.7		
543.48	1.3344			543.48	0.01057			521.78	99.7		
544.45	1.336			544.45	0.020275			522.26	99.8		
545.41	1.3367			545.41	0.010533			522.75	99.7		
546.38	1.3436			546.38	0.010496			523.23	99.7		
547.34	1.3403			547.34	0.029787			523.71	99.8		
548.31	1.3369			548.31	0.010485			524.19	99.7		
549.27	1.344			549.27	0.010444			524.68	99.7		
550.23	1.3458			550.23	0.019974			525.16	99.7		
551.2	1.3435			551.2	0.019966			525.64	99.9		
552.16	1.3412			552.16	0.019962			526.12	99.8		
553.13	1.3427			553.13	0.010387			526.6	99.7		
554.09	1.3488			554.09	0.010354			527.09	99.8		
555.06	1.3502			555.06	0.019767			527.57	99.8		
556.02	1.3472			556.02	0.019776			528.05	99.8		
556.99	1.3499			556.99	0.010307			528.53	99.8		
557.95	1.353			557.95	0.019648			529.02	99.8		
558.91	1.3518			558.91	0.01963			529.5	99.7		
559.88	1.3516			559.88	0.019599			529.98	99.7		
560.84	1.3517			560.84	0.019568			530.46	99.9		
561.81	1.3518			561.81	0.01954			530.95	99.7		
562.77	1.3519			562.77	0.019508			531.43	99.8		
563.74	1.3517			563.74	0.01948			531.91	99.8		
564.7	1.3504			564.7	0.019466			532.39	99.8		
565.67	1.3534			565.67	0.010165			532.87	99.8		
566.63	1.356			566.63	0.019347			533.36	99.9		
567.6	1.3527			567.6	0.019351			533.84	99.8		
568.56	1.3534			568.56	0.010116			534.32	99.8		
569.52	1.3573			569.52	0.01009			534.8	99.7		
570.49	1.36			570.49	0.010073			535.29	99.7		
571.45	1.3623			571.45	0.010047			535.77	99.7		
572.42	1.3646			572.42	0.010027			536.25	99.7		
573.38	1.3671			573.38	0.010001			536.73	99.8		
574.35	1.3701			574.35	0.009974			537.21	99.9		
575.31	1.3753			575.31	0.0099392			537.7	99.8		
576.28	1.373			576.28	0.027831			538.18	99.8		
577.24	1.3667			577.24	0.018917			538.66	99.8		
578.2	1.3699			578.2	0.0099225			539.14	99.7		
579.17	1.3714			579.17	0.01881			539.63	99.8		
580.13	1.3717			580.13	0.0098901			540.11	99.8		
581.1	1.3769			581.1	0.0098538			540.59	99.8		
582.06	1.3769			582.06	0.018668			541.07	99.8		
583.03	1.3767			583.03	0.00983			541.55	99.8		
583.99	1.3816			583.99	0.0097947			542.04	99.9		
584.96	1.3814			584.96	0.018537			542.52	99.8		
585.92	1.3809			585.92	0.0097733			543	99.8		
586.88	1.3845			586.88	0.0097404			543.48	99.9		
587.85	1.3873			587.85	0.009716			543.97	99.8		
588.81	1.39			588.81	0.0096946			544.45	99.8		
589.78	1.3934			589.78	0.0096664			544.93	99.7		
590.74	1.392			590.74	0.018258			545.41	99.9		
591.71	1.3955			591.71	0.0010719			545.89	99.8		
592.67	1.3992			592.67	0.018126			546.38	99.9		
593.64	1.3978			593.64	0.009593			546.86	99.9		
594.6	1.4012			594.6	0.009562			547.34	99.7		
595.56	1.4038			595.56	0.0095353			547.82	99.9		
596.53	1.4061			596.53	0.00951			548.31	99.9		
597.49	1.4076			597.49	0.0094934			548.79	99.9		
598.46	1.4131			598.46	0.00109			549.27	99.9		
599.42	1.4188			599.42	0.0093985			549.75	99.9		
600.39	1.4208			600.39	0.0093751			550.23	99.8		
601.35	1.4247			601.35	0.0093417			550.72	99.8		
602.32	1.4251			602.32	0.017568			551.2	99.8		
603.28	1.4259			603.28	0.0093083			551.68	99.8		
604.25	1.4316			604.25	0.0092597			552.16	99.8		
605.21	1.4328			605.21	0.017401			552.65	99.9		
606.17	1.4339			606.17	0.0092235			553.13	99.9		
607.14	1.4392			607.14	0.0091734			553.61	99.8		
608.1	1.444			608.1	0.0091305			554.09	99.9		
609.07	1.4498			609.07	0.0090714			554.57	99.9		
610.03	1.453			610.03	0.01702			555.06	99.8		
611	1.4532			611	0.016993			555.54	99.8		
611.96	1.4537			611.96	0.016966			556.02	99.8		
612.93	1.4572			612.93	0.0089712			556.5	99.8		
613.89	1.4636			613.89	0.0089025			556.99	99.9		
614.85	1.4692			614.85	0.0088453			557.47	99.8		
615.82	1.4746			615.82	0.0087891			557.95	99.8		
616.78	1.4801			616.78	0.0087242			558.43	99.8		
617.75	1.4859			617.75	0.0086589			558.91	99.8		
618.71	1.4922			618.71	0.0085893			559.4	99.8		
619.68	1.4996			619.68	0.008503			559.88	99.8		
620.64	1.5038			620.64	0.016032			560.36	99.8		
621.61	1.5087			621.61	0.0083842			560.84	99.8		
622.57	1.5185			622.57	0.0082617			561.33	100		
623.54	1.5255			623.54	0.015614			561.81	99.8		
624.5	1.5301			624.5	0.015517			562.29	99.8		
625.46	1.5352			625.46	0.015407			562.77	99.8		
626.43	1.5445			626.43	0.0079079			563.26	99.7		
627.39	1.5537			627.39	0.015036			563.74	99.8		
628.36	1.5635			628.36	0.007627			564.22	99.8		
629.32	1.5748			629.32	0.014601			564.7	99.8		
630.29	1.5834			630.29	0.014411			565.18	99.9		
631.25	1.5931			631.25	0.014195			565.67	99.9		
632.21	1.6074			632.21	0.0069141			566.15	99.8		
633.18	1.6231			633.18	0.013526			566.63	99.8		
634.14	1.6375			634.14	0.013186			567.11	99.8		
635.11	1.6558			635.11	0.012741			567.6	99.8		
636.07	1.6761			636.07	0.018882			568.08	99.8		
637.04	1.6988			637.04	0.024756			568.56	99.9		
638	1.7179			638	0.050105			569.04	99.9		
638.97	1.7133			638.97	0.089672			569.52	99.9		
639.93	1.706			639.93	0.063662			570.01	99.8		
640.9	1.7241			640.9	0.036618			570.49	99.9		
641.86	1.7535			641.86	0.028959			570.97	99.9		
642.82	1.7866			642.82	0.021355			571.45	99.9		
643.79	1.8241			643.79	0.019843			571.94	100		
644.75	1.8662			644.75	0.018059			572.42	99.9		
645.72	1.9132			645.72	0.021718			572.9	99.8		
646.68	1.9656			646.68	0.024672			573.38	99.9		
647.65	2.0275			647.65	0.026599			573.86	99.9		
648.61	2.1053			648.61	0.026904			574.35	99.9		
649.58	2.2044			649.58	0.034935			574.83	99.9		
650.54	2.3353			650.54	0.047713			575.31	99.9		
651.5	2.5146			651.5	0.087646			575.79	99.8		
652.47	2.7824			652.47	0.17308			576.28	99.7		
653.43	3.0437			653.43	0.63308			576.76	99.8		
654.4	2.9106			654.4	1.5926			577.24	99.8		
655.36	2.2582			655.36	2.1158			577.72	99.8		
656.33	1.7882			656.33	1.4004			578.2	99.9		
657.29	1.923			657.29	0.85328			578.69	99.9		
658.26	2.3345			658.26	0.8478			579.17	99.8		
659.22	2.5882			659.22	1.5331			579.65	99.9		
660.19	2.2728			660.19	2.5368			580.13	99.9		
661.15	1.6061			661.15	2.7117			580.62	99.9		
662.11	1.0791			662.11	2.4516			581.1	99.9		
663.08	0.76765			663.08	2.1314			581.58	99.8		
664.04	0.59317			664.04	1.8615			582.06	99.8		
665.01	0.49818			665.01	1.6302			582.54	99.8		
665.97	0.44378			665.97	1.4646			583.03	99.9		
666.94	0.40598			666.94	1.3184			583.51	99.9		
667.9	0.38929			667.9	1.182			583.99	99.9		
668.86	0.38017			668.86	1.0987			584.47	99.9		
669.83	0.36822			669.83	1.0082			584.96	99.8		
670.79	0.35821			670.79	0.94225			585.44	99.8		
671.76	0.3359			671.76	0.89049			585.92	99.9		
672.72	0.31031			672.72	0.815			586.4	99.9		
673.69	0.27706			673.69	0.76512			586.88	99.9		
674.65	0.24161			674.65	0.66435			587.37	99.8		
675.62	0.24058			675.62	0.54438			587.85	99.9		
676.58	0.22066			676.58	0.52935			588.33	99.9		
677.55	0.15583			677.55	0.41657			588.81	99.9		
678.51	0.20593			678.51	0.088574			589.3	99.9		
679.47	0.34854			679.47	0.031472			589.78	99.9		
680.44	0.45479			680.44	0.0055633			590.26	99.8		
681.4	0.53734			681.4	0.0078516			590.74	99.8		
682.37	0.58996			682.37	0.02668			591.22	99.9		
683.33	0.63082			683.33	0.010045			591.71	100		
684.3	0.67213			684.3	0.010911			592.19	99.9		
685.26	0.70576			685.26	0.011559			592.67	99.8		
686.23	0.73443			686.23	0.012075			593.15	99.9		
687.19	0.75915			687.19	0.012491			593.64	99.9		
688.15	0.77964			688.15	0.012816			594.12	99.9		
689.12	0.80384			689.12	0.00044298			594.6	99.9		
690.08	0.82596			690.08	0.013513			595.08	99.9		
691.05	0.84028			691.05	0.013698			595.56	99.9		
692.01	0.85448			692.01	0.013872			596.05	99.9		
692.98	0.86767			692.98	0.01403			596.53	99.9		
693.94	0.87974			693.94	0.014164			597.01	99.9		
694.91	0.89064			694.91	0.014279			597.49	99.9		
695.87	0.90015			695.87	0.014372			597.98	100		
696.84	0.90722			696.84	0.014431			598.46	100		
697.8	0.9172			697.8	0.003489			598.94	99.9		
698.76	0.93005			698.76	0.0037875			599.42	99.9		
699.73	0.94051			699.73	0.0040183			599.91	99.9		
700.69	0.94986			700.69	0.0042143			600.39	99.9		
701.66	0.95845			701.66	0.0043945			600.87	99.9		
702.62	0.96643			702.62	0.0045524			601.35	99.9		
703.59	0.97391			703.59	0.0046988			601.83	99.9		
704.55	0.98094			704.55	0.0048261			602.32	99.8		
705.52	0.98758			705.52	0.0049524			602.8	99.9		
706.48	0.99387			706.48	0.0050635			603.28	99.9		
707.44	0.99983			707.44	0.0051661			603.76	99.9		
708.41	1.0055			708.41	0.0052629			604.25	99.9		
709.37	1.0109			709.37	0.0053492			604.73	99.8		
710.34	1.0161			710.34	0.005434			605.21	99.8		
711.3	1.021			711.3	0.0055137			605.69	99.9		
712.27	1.0257			712.27	0.0055861			606.17	99.9		
713.23	1.0302			713.23	0.0056539			606.66	99.9		
714.2	1.0345			714.2	0.0057154			607.14	99.9		
715.16	1.0387			715.16	0.0057726			607.62	99.9		
716.12	1.0427			716.12	0.0058346			608.1	99.9		
717.09	1.0465			717.09	0.0058832			608.59	99.9		
718.05	1.0502			718.05	0.0059323			609.07	99.9		
719.02	1.0538			719.02	0.0059791			609.55	99.9		
719.98	1.0573			719.98	0.006022			610.03	99.8		
720.95	1.0606			720.95	0.0060682			610.51	99.8		
721.91	1.0639			721.91	0.0061064			611	99.8		
722.88	1.0671			722.88	0.0061436			611.48	99.8		
723.84	1.0703			723.84	0.0061817			611.96	99.8		
724.8	1.0736			724.8	0.0062165			612.44	99.8		
725.77	1.0778			725.77	0.0062814			612.93	99.9		
726.73	1.0776			726.73	0.015279			613.41	99.9		
727.7	1.0773			727.7	0.0062346			613.89	99.9		
728.66	1.0813			728.66	0.0062866			614.37	99.9		
729.63	1.0842			729.63	0.0063186			614.85	99.9		
730.59	1.0868			730.59	0.0063486			615.34	99.9		
731.56	1.0893			731.56	0.0063701			615.82	99.9		
732.52	1.0916			732.52	0.0063915			616.3	99.9		
733.49	1.0938			733.49	0.006413			616.78	99.9		
734.45	1.096			734.45	0.006434			617.27	99.9		
735.41	1.098			735.41	0.0064507			617.75	99.9		
736.38	1.1001			736.38	0.0064645			618.23	99.9		
737.34	1.102			737.34	0.0064797			618.71	99.9		
738.31	1.1039			738.31	0.0064988			619.19	99.9		
739.27	1.1058			739.27	0.0065117			619.68	99.9		
740.24	1.1076			740.24	0.0065265			620.16	99.9		
741.2	1.1093			741.2	0.0065374			620.64	99.8		
742.17	1.111			742.17	0.0065451			621.12	99.9		
743.13	1.1127			743.13	0.0065589			621.61	99.9		
744.09	1.1143			744.09	0.0065703			622.09	99.9		
745.06	1.1159			745.06	0.0065799			622.57	99.9		
746.02	1.1174			746.02	0.0065889			623.05	99.9		
746.99	1.1189			746.99	0.0065937			623.54	99.8		
747.95	1.1204			747.95	0.0066061			624.02	99.8		
748.92	1.1218			748.92	0.0066152			624.5	99.8		
749.88	1.1232			749.88	0.0066185			624.98	99.8		
750.85	1.1245			750.85	0.0066276			625.46	99.8		
751.81	1.1259			751.81	0.0066357			625.95	99.9		
752.77	1.1271			752.77	0.0066409			626.43	99.9		
753.74	1.1284			753.74	0.0066466			626.91	99.8		
754.7	1.1297			754.7	0.006649			627.39	99.8		
755.67	1.1309			755.67	0.0066562			627.87	99.8		
756.63	1.1321			756.63	0.0066586			628.36	99.9		
757.6	1.1332			757.6	0.0066595			628.84	99.8		
758.56	1.1343			758.56	0.006669			629.32	99.8		
759.53	1.1354			759.53	0.0066757			629.8	99.8		
760.49	1.1365			760.49	0.0066714			630.29	99.8		
761.45	1.1376			761.45	0.0066733			630.77	99.8		
762.42	1.1386			762.42	0.0066772			631.25	99.8		
763.38	1.1396			763.38	0.0066767			631.73	99.8		
764.35	1.1406			764.35	0.0066791			632.21	99.9		
765.31	1.1416			765.31	0.0066814			632.7	99.8		
766.28	1.1425			766.28	0.0066805			633.18	99.8		
767.24	1.1434			767.24	0.0066833			633.66	99.8		
768.21	1.1442			768.21	0.0066833			634.14	99.8		
769.17	1.1451			769.17	0.0066824			634.63	99.8		
770.14	1.1458			770.14	0.0066772			635.11	99.8		
771.1	1.1465			771.1	0.0066767			635.59	99.8		
772.06	1.1469			772.06	0.0066757			636.07	99.7		
773.03	1.1465			773.03	0.0066547			636.55	99.7		
773.99	1.1499			773.99	0			637.04	99.6		
774.96	1.1532			774.96	0.0067244			637.52	99.4		
775.92	1.1527			775.92	0.0067053			638	99.2		
776.89	1.1531			776.89	0.0066986			638.48	98.8		
777.85	1.1536			777.85	0.0066957			638.97	98.6		
778.82	1.1542			778.82	0.0066957			639.45	98.6		
779.78	1.1549			779.78	0.0066862			639.93	99		
780.74	1.1555			780.74	0.0066848			640.41	99.2		
781.71	1.1562			781.71	0.0066867			640.9	99.4		
782.67	1.1568			782.67	0.0066824			641.38	99.5		
783.64	1.1575			783.64	0.00668			641.86	99.5		
784.6	1.1581			784.6	0.0066786			642.34	99.5		
785.57	1.1587			785.57	0.0066752			642.82	99.6		
786.53	1.1593			786.53	0.0066729			643.31	99.6		
787.5	1.1599			787.5	0.00667			643.79	99.6		
788.46	1.1605			788.46	0.006669			644.27	99.6		
789.43	1.1611			789.43	0.0066633			644.75	99.6		
790.39	1.1616			790.39	0.0066624			645.24	99.5		
791.35	1.1621			791.35	0.0066562			645.72	99.5		
792.32	1.1626			792.32	0.0066509			646.2	99.5		
793.28	1.163			793.28	0.0066481			646.68	99.4		
794.25	1.1633			794.25	0.0066414			647.16	99.4		
795.21	1.1634			795.21	0.0066295			647.65	99.3		
796.18	1.1627			796.18	0.0066099			648.13	99.3		
797.14	1.1656			797.14	0			648.61	99.2		
798.1	1.1684			798.1	0.006669			649.09	99.1		
799.07	1.1676			799.07	0.0066447			649.58	98.9		
800.03	1.1676			800.03	0.0066371			650.06	98.7		
801	1.1677			801	0.0066266			650.54	98.4		
801.96	1.1678			801.96	0.0066142			651.02	97.8		
802.93	1.1678			802.93	0.0066061			651.5	97.1		
803.89	1.1675			803.89	0.0065951			651.99	96.1		
804.86	1.1663			804.86	0.0065689			652.47	94.2		
805.82	1.1684			805.82	0			652.95	89.7		
806.79	1.1694			806.79	0.006587			653.43	82.7		
807.75	1.1694			807.75	0			653.92	75.2		
808.71	1.1729			808.71	0			654.4	67.5		
809.68	1.1765			809.68	0			654.88	63.3		
810.64	1.1773			810.64	0.0066528			655.36	66.9		
811.61	1.1754			811.61	0.0066175			655.84	73.9		
812.57	1.1738			812.57	0.0065875			656.33	80.2		
813.54	1.176			813.54	0			656.81	84.4		
814.5	1.1783			814.5	0.006629			657.29	86.3		
815.47	1.1772			815.47	0.0066023			657.77	86.1		
816.43	1.1768			816.43	0.0065875			658.26	83.6		
817.39	1.1765			817.39	0.0065761			658.74	78.6		
818.36	1.1762			818.36	0.0065651			659.22	71.1		
819.32	1.175			819.32	0.0065341			659.7	64.2		
820.29	1.1773			820.29	0			660.19	61.7		
821.25	1.1794			821.25	0.006577			660.67	63.4		
822.22	1.1777			822.22	0.006546			661.15	67.6		
823.18	1.1757			823.18	0.0065079			661.63	72.6		
824.15	1.1763			824.15	0			662.11	77.4		
825.11	1.1795			825.11	0			662.6	81.5		
826.08	1.1819			826.08	0			663.08	84.7		
827.04	1.1849			827.04	0			663.56	87.2		
828	1.1853			828	0.0065866			664.04	89.1		
828.97	1.1825			828.97	0.0065374			664.53	90.6		
829.93	1.1842			829.93	0			665.01	91.8		
830.9	1.1862			830.9	0.0065699			665.49	92.7		
831.86	1.1848			831.86	0.0065422			665.97	93.4		
832.83	1.1842			832.83	0.0065274			666.45	94.1		
833.79	1.1836			833.79	0.0065107			666.94	94.5		
834.76	1.1824			834.76	0.0064883			667.42	94.9		
835.72	1.1846			835.72	0			667.9	95.2		
836.68	1.1866			836.68	0.0065203			668.38	95.4		
837.65	1.185			837.65	0.0064945			668.86	95.6		
838.61	1.1833			838.61	0.0064621			669.35	95.8		
839.58	1.185			839.58	0			669.83	96.1		
840.54	1.1857			840.54	0.0064745			670.31	96.3		
841.51	1.1857			841.51	0			670.79	96.5		
842.47	1.1898			842.47	0			671.28	96.8		
843.44	1.1906			843.44	0.0065112			671.76	96.9		
844.4	1.1886			844.4	0.006475			672.24	97.1		
845.36	1.1868			845.36	0.006444			672.72	97.3		
846.33	1.1884			846.33	0			673.21	97.5		
847.29	1.1893			847.29	0.0064607			673.69	97.6		
848.26	1.1902			848.26	0			674.17	97.9		
849.22	1.1918			849.22	0.0064764			674.65	98.1		
850.19	1.19			850.19	0.0064449			675.13	98.3		
851.15	1.188			851.15	0.0064096			675.62	98.5		
852.12	1.1889			852.12	0			676.1	98.6		
853.08	1.193			853.08	0			676.58	98.7		
854.04	1.1936			854.04	0.0064578			677.06	98.9		
855.01	1.191			855.01	0.0064135			677.55	99.1		
855.97	1.1924			855.97	0			678.03	99.4		
856.94	1.1939			856.94	0.0064354			678.51	99.6		
857.9	1.1912			857.9	0.006391			678.99	99.7		
858.87	1.1919			858.87	0			679.47	99.7		
859.83	1.1961			859.83	0			679.96	99.7		
860.8	1.197			860.8	0.0064421			680.44	99.8		
861.76	1.1953			861.76	0.0064096			680.92	99.7		
862.73	1.1944			862.73	0.006391			681.4	99.8		
863.69	1.193			863.69	0.0063677			681.89	99.8		
864.65	1.1949			864.65	0			682.37	99.7		
865.62	1.1966			865.62	0.0063982			682.85	99.8		
866.58	1.1944			866.58	0.0063601			683.33	99.8		
867.55	1.1961			867.55	0			683.81	99.8		
868.51	1.1977			868.51	0.0063863			684.3	99.8		
869.48	1.1956			869.48	0.0063515			684.78	99.8		
870.44	1.1974			870.44	0			685.26	99.8		
871.41	1.1994			871.41	0.0063858			685.74	99.8		
872.37	1.1983			872.37	0.006362			686.23	99.8		
873.33	1.1979			873.33	0.00635			686.71	99.8		
874.3	1.1977			874.3	0.00634			687.19	99.8		
875.26	1.1976			875.26	0.0063314			687.67	99.8		
876.23	1.1975			876.23	0.0063229			688.15	99.8		
877.19	1.1974			877.19	0.0063152			688.64	99.8		
878.16	1.1971			878.16	0.0063019			689.12	99.9		
879.12	1.1967			879.12	0.006289			689.6	99.8		
880.09	1.1953			880.09	0.0062609			690.08	99.8		
881.05	1.1964			881.05	0			690.57	99.8		
882.02	1.2007			882.02	0			691.05	99.8		
882.98	1.2017			882.98	0.0063219			691.53	99.8		
883.94	1.2			883.94	0.0062943			692.01	99.8		
884.91	1.1986			884.91	0.006268			692.49	99.8		
885.87	1.2005			885.87	0			692.98	99.8		
886.84	1.2025			886.84	0.0063033			693.46	99.8		
887.8	1.2014			887.8	0.0062799			693.94	99.8		
888.77	1.2011			888.77	0.0062695			694.42	99.9		
889.73	1.2009			889.73	0.006258			694.91	99.8		
890.69	1.2008			890.69	0.0062513			695.39	99.8		
891.66	1.2007			891.66	0.0062428			695.87	99.8		
892.62	1.2006			892.62	0.0062342			696.35	99.9		
893.59	1.2005			893.59	0.0062246			696.84	99.8		
894.55	1.2003			894.55	0.0062146			697.32	99.9		
895.52	1.1998			895.52	0.0061994			697.8	99.9		
896.48	1.1986			896.48	0.0061741			698.28	99.8		
897.45	1.2003			897.45	0			698.76	99.9		
898.41	1.2011			898.41	0.0061975			699.25	99.8		
899.38	1.2016			899.38	0			699.73	99.9		
900.34	1.2019			900.34	0.0061927			700.21	99.9		
901.3	1.2016			901.3	0			700.69	99.9		
902.27	1.2044			902.27	0			701.18	99.9		
903.23	1.2073			903.23	0			701.66	99.9		
904.2	1.208			904.2	0.0062418			702.14	99.9		
905.16	1.2064			905.16	0.0062151			702.62	99.9		
906.13	1.2059			906.13	0.0062003			703.1	99.9		
907.09	1.2056			907.09	0.0061879			703.59	99.9		
908.06	1.2054			908.06	0.0061784			704.07	99.9		
909.02	1.2054			909.02	0.0061717			704.55	99.9		
909.98	1.2053			909.98	0.0061646			705.03	99.9		
910.95	1.2054			910.95	0.0061574			705.52	99.9		
911.91	1.2054			911.91	0.0061512			706	99.9		
912.88	1.2054			912.88	0.006146			706.48	99.9		
913.84	1.2055			913.84	0.0061393			706.96	99.9		
914.81	1.2055			914.81	0.0061316			707.44	99.9		
915.77	1.2055			915.77	0.0061269			707.93	99.9		
916.74	1.2056			916.74	0.0061202			708.41	99.9		
917.7	1.2056			917.7	0.0061131			708.89	99.9		
918.67	1.2055			918.67	0.0061049			709.37	99.9		
919.63	1.2053			919.63	0.006094			709.85	99.9		
920.59	1.2044			920.59	0.0060749			710.34	99.9		
921.56	1.2065			921.56	0			710.82	99.9		
922.52	1.2086			922.52	0.0061193			711.3	99.9		
923.49	1.2077			923.49	0.0060973			711.78	99.9		
924.45	1.2075			924.45	0.0060883			712.27	99.9		
925.42	1.2074			925.42	0.0060821			712.75	99.9		
926.38	1.2074			926.38	0.006073			713.23	99.9		
927.34	1.2074			927.34	0.0060673			713.71	99.9		
928.31	1.2075			928.31	0.0060611			714.2	99.9		
929.27	1.2076			929.27	0.0060577			714.68	99.9		
930.24	1.2076			930.24	0.0060496			715.16	99.9		
