Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO2:CH4 (20:1)"
Temperature:	"70K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/94"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.1	1.4311		0.11031			3.84645	2599.8		
501.1	1.4077		0.091593			3.84719	2599.3		
502	1.3888		0.072145			3.84793	2598.8		
503	1.3805		0.082697			3.84867	2598.3		
503.9	1.3659		0.083385			3.849411	2597.8		
504.9	1.3605		0.062776			3.850152	2597.3		
505.9	1.3651		0.062466			3.850745	2596.9		
506.8	1.3562		0.083474			3.851487	2596.4		
507.8	1.3517		0.05244			3.852229	2595.9		
508.8	1.3572		0.062457			3.852971	2595.4		
509.7	1.3561		0.062388			3.853713	2594.9		
510.7	1.3569		0.062237			3.854456	2594.4		
511.7	1.3542		0.072517			3.85505	2594		
512.6	1.3468		0.072758			3.855793	2593.5		
513.6	1.3452		0.062389			3.856537	2593		
514.5	1.3424		0.072708			3.857281	2592.5		
515.5	1.3371		0.062499			3.858025	2592		
516.5	1.3415		0.05194			3.85862	2591.6		
517.4	1.3459		0.061905			3.859365	2591.1		
518.4	1.3399		0.072302			3.86011	2590.6		
519.4	1.3338		0.062187			3.860855	2590.1		
520.3	1.3386		0.051663			3.8616	2589.6		
521.3	1.3373		0.072037			3.862346	2589.1		
522.3	1.3302		0.062001			3.862943	2588.7		
523.2	1.327		0.062026			3.863689	2588.2		
524.2	1.325		0.051755			3.864436	2587.7		
525.2	1.331		0.041292			3.865182	2587.2		
526.1	1.3355		0.051217			3.86593	2586.7		
527.1	1.3344		0.05116			3.866677	2586.2		
528	1.3334		0.051102			3.867275	2585.8		
529	1.3387		0.040806			3.868023	2585.3		
530	1.3404		0.060704			3.868771	2584.8		
531	1.3327		0.060911			3.86952	2584.3		
531.9	1.3316		0.050802			3.870269	2583.8		
532.9	1.3296		0.06082			3.870868	2583.4		
533.8	1.3261		0.050808			3.871617	2582.9		
534.8	1.3264		0.050711			3.872367	2582.4		
535.8	1.3238		0.050703			3.873117	2581.9		
536.7	1.3237		0.040621			3.873867	2581.4		
