Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO2:OCS (20:1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/95"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.1	1.3518		0.000419			500.08	100		
501.1	1.3514		0.020626			500.56	99.900001526		
502	1.3303		0.041402			501.05	99.900001526		
503	1.3149		0.000353			501.53	99.800003052		
503.9	1.3375		-0.040123			502.01	99.800003052		
504.9	1.3425		0.020601			502.49	99.800003052		
505.9	1.3326		0			502.97	100		
506.8	1.3555		-0.039321			503.46	100.099998474		
507.8	1.3693		0.000453			503.94	100.199996948		
508.8	1.3549		0.020293			504.42	100		
509.7	1.3567		0			504.9	99.900001526		
510.7	1.3584		0.020164			505.39	99.800003052		
511.7	1.3603		0			505.87	100.099998474		
512.6	1.3799		0.000462			506.35	100.099998474		
513.6	1.3608		0.059284			506.83	100.199996948		
514.5	1.3442		0.000414			507.31	99.900001526		
515.5	1.3576		0.000442			507.8	100		
516.5	1.3691		0.000466			508.28	99.900001526		
517.4	1.3772		0.019668			508.76	99.900001526		
518.4	1.3602		0.05877			509.24	99.800003052		
519.4	1.3464		0.020002			509.73	100.099998474		
520.3	1.3542		0.019863			510.21	100		
521.3	1.3491		0.039379			510.69	99.900001526		
522.3	1.3436		0.019941			511.17	99.900001526		
523.2	1.349		0.01982			511.66	100.099998474		
524.2	1.3425		0.039357			512.14	100.199996948		
525.2	1.3347		0.019942			512.62	100		
526.1	1.3331		0.019926			513.1	99.800003052		
527.1	1.3364		0.000423			513.58	99.699996948		
528	1.348		0.000444			514.07	99.800003052		
529	1.3492		0.019622			514.55	100		
530	1.3405		0.019688			515.03	100		
531	1.3421		0.000434			515.51	100		
531.9	1.3394		0.019637			516	100		
532.9	1.3437		0			516.48	100		
533.8	1.3583		0.000468			516.96	100		
534.8	1.3523		0.019377			517.44	99.900001526		
535.8	1.3476		0.00045			517.92	99.800003052		
536.7	1.3521		0.000458			518.41	99.699996948		
537.7	1.3546		0.000465			518.89	99.800003052		
538.7	1.3566		0.000465			519.37	99.900001526		
539.6	1.3581		0.000465			519.85	99.800003052		
540.6	1.3583		0.000471			520.34	99.900001526		
541.5	1.3695		0			520.82	99.800003052		
542.5	1.3727		0.018864			521.3	99.800003052		
543.5	1.3698		0.000485			521.78	99.800003052		
544.5	1.3712		0.018827			522.26	99.900001526		
545.4	1.3644		0.018876			522.75	99.900001526		
546.4	1.3573		0.018926			523.23	99.900001526		
547.3	1.3571		0.000467			523.71	99.900001526		
548.3	1.3634		0.000481			524.19	99.800003052		
549.3	1.3673		0.000494			524.68	99.900001526		
550.2	1.3711		0.000488			525.16	99.900001526		
550.7	1.3623		0.037102			525.64	99.800003052		
551.2	1.3563		0.000461			526.12	99.900001526		
551.7	1.3619		0.018744			526.6	100		
552.2	1.3576		0.018783			527.09	100		
552.6	1.3548		0.018808			527.57	100		
553.1	1.3517		0.018826			528.05	100		
553.6	1.3462		0.01887			528.53	99.800003052		
554.1	1.347		0.000444			529.02	99.900001526		
554.6	1.3546		0.000459			529.5	100		
555.1	1.3617		0.000473			529.98	99.900001526		
555.5	1.3599		0.018656			530.46	99.900001526		
556	1.3605		0.000477			530.95	100		
556.5	1.3633		0.018595			531.43	100		
557	1.3574		0.018642			531.91	99.900001526		
557.5	1.3511		0.018703			532.39	99.800003052		
558	1.3516		0.000461			532.87	100.099998474		
558.4	1.3589		0.000474			533.36	100		
558.9	1.3659		0.000485			533.84	100		
559.4	1.3642		0.018489			534.32	100		
559.9	1.3648		0.000485			534.8	99.900001526		
560.4	1.3677		0.018424			535.29	99.900001526		
560.8	1.3621		0.018474			535.77	100		
561.3	1.3562		0.018528			536.25	99.900001526		
561.8	1.3575		0.00047			536.73	100		
562.3	1.3674		0.000491			537.21	99.900001526		
562.8	1.3681		0.018356			537.7	100		
563.3	1.3596		0.01844			538.18	99.900001526		
563.7	1.3597		0.000471			538.66	100		
564.2	1.367		0.000496			539.14	100		
564.7	1.3745		0.000494			539.63	100		
565.2	1.3755		0.018191			540.11	100		
565.7	1.37		0.01825			540.59	100		
566.1	1.3662		0.018278			541.07	100		
566.6	1.3605		0.018329			541.55	100.099998474		
567.1	1.361		0.000476			542.04	99.900001526		
567.6	1.3677		0.000491			542.52	99.900001526		
568.1	1.372		0.000493			543	100		
568.6	1.3764		0.000503			543.48	100		
569	1.3829		0.000517			543.97	99.900001526		
569.5	1.3831		0.017981			544.45	99.900001526		
570	1.3758		0.018058			544.93	100		
570.5	1.3796		0.000508			545.41	99.900001526		
571	1.3846		0.017924			545.89	99.900001526		
571.5	1.3832		0.017927			546.38	99.900001526		
571.9	1.3748		0.035556			546.86	99.900001526		
572.4	1.3647		0.018116			547.34	100		
572.9	1.3709		0.000492			547.82	99.900001526		
573.4	1.3728		0.017992			548.31	100		
573.9	1.3719		0.000499			548.79	99.900001526		
574.4	1.379		0.000501			549.27	100		
574.8	1.3862		0.000518			549.75	100		
575.3	1.3863		0.017786			550.23	100		
575.8	1.3779		0.017873			550.72	99.800003052		
576.3	1.3779		0.000504			551.2	100		
576.8	1.3845		0.000516			551.68	99.900001526		
577.2	1.3896		0.000518			552.16	99.900001526		
577.7	1.3966		0.000533			552.65	99.900001526		
578.2	1.3978		0.017585			553.13	99.900001526		
578.7	1.3932		0.01762			553.61	99.900001526		
579.2	1.3908		0.017627			554.09	100		
579.6	1.3885		0.017651			554.57	100		
580.1	1.3842		0.017676			555.06	100		
580.6	1.3859		0.000521			555.54	99.900001526		
581.1	1.3942		0.000528			556.02	100		
581.6	1.4025		0.000531			556.5	99.900001526		
582.1	1.4047		0.017395			556.99	99.900001526		
582.5	1.4011		0.017425			557.47	99.900001526		
583	1.4003		0.017421			557.95	100		
583.5	1.4017		0.01739			558.43	100		
584	1.3947		0.034415			558.91	100		
584.5	1.3853		0.01755			559.4	99.900001526		
585	1.39		0.000528			559.88	100		
585.4	1.3992		0.000531			560.36	99.900001526		
585.9	1.408		0.000536			560.84	99.900001526		
586.4	1.4104		0.017218			561.33	99.900001526		
586.9	1.4069		0.017244			561.81	100		
587.4	1.4055		0.017249			562.29	100		
587.9	1.4047		0.017241			562.77	99.900001526		
588.3	1.4034		0.017249			563.26	99.900001526		
588.8	1.4001		0.017274			563.74	100		
589.3	1.4031		0.000531			564.22	100		
589.8	1.4139		0.000537			564.7	100		
590.3	1.4167		0.017038			565.18	99.900001526		
590.7	1.413		0.01708			565.67	99.900001526		
591.2	1.4096		0.017104			566.15	99.900001526		
591.7	1.4147		0.000546			566.63	99.900001526		
592.2	1.4201		0.016958			567.11	100		
592.7	1.4176		0.016977			567.6	100		
593.1	1.4167		0.016973			568.08	100		
593.6	1.4156		0.016975			568.56	100		
594.1	1.4126		0.016992			569.04	100		
