Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO2:OCS (20:1)"
Temperature:	"70K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/97"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.08	1.4036			500.08	0.078641			500.08	99.6		
501.05	1.383			501.05	0.059796			500.56	99.6		
502.01	1.3655			502.01	0.040405			501.05	99.7		
502.97	1.3665			502.97	0.020365			501.53	99.8		
503.94	1.3752			503.94	0.020205			502.01	99.8		
504.9	1.3716			504.9	0.040009			502.49	99.7		
505.87	1.3663			505.87	0.020254			502.97	99.9		
506.83	1.3841			506.83	0.00045588			503.46	99.9		
507.8	1.3819			507.8	0.059062			503.94	99.9		
508.76	1.3711			508.76	0.020083			504.42	99.8		
509.73	1.386			509.73	0.019836			504.9	99.8		
510.69	1.3804			510.69	0.058799			505.39	99.8		
511.66	1.3797			511.66	0.019851			505.87	99.9		
512.62	1.3832			512.62	0.05846			506.35	99.9		
513.58	1.3816			513.58	0.039071			506.83	100		
514.55	1.377			514.55	0.077911			507.31	99.8		
515.51	1.3519			515.51	0.079167			507.8	99.7		
516.48	1.3453			516.48	0.039852			508.28	99.9		
517.44	1.3555			517.44	0.039501			508.76	99.9		
518.41	1.351			518.41	0.059154			509.24	99.8		
519.37	1.3445			519.37	0.039667			509.73	99.9		
520.34	1.3446			520.34	0.039574			510.21	99.9		
521.3	1.3521			521.3	0.019859			510.69	99.7		
522.26	1.3607			522.26	0.039003			511.17	99.8		
523.23	1.3499			523.23	0.05866			511.66	99.9		
524.19	1.3396			524.19	0.039436			512.14	99.9		
525.16	1.3353			525.16	0.039481			512.62	99.7		
526.12	1.3333			526.12	0.01992			513.1	99.7		
527.09	1.3464			527.09	0.00044319			513.58	99.8		
528.05	1.3565			528.05	0.019568			514.07	99.7		
529.02	1.3565			529.02	0.019531			514.55	99.6		
529.98	1.3586			529.98	0.019469			515.03	99.6		
530.95	1.3645			530.95	0.019357			515.51	99.6		
531.91	1.3495			531.91	0.057728			516	99.8		
532.87	1.3419			532.87	0.00042931			516.48	99.8		
533.84	1.363			533.84	0.00047261			516.96	99.8		
534.8	1.3599			534.8	0.038131			517.44	99.8		
535.77	1.3577			535.77	0.00046695			517.92	99.8		
536.73	1.3666			536.73	0.019128			518.41	99.7		
