Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO:CH4 (20:1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/98"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
1000.2	1.316		0.006095			1000.2	99.900001526		
1001.1	1.3169		0.00017			1000.6	99.900001526		
1002.1	1.3173		0.006094			1001.1	100		
1003.1	1.3155		0.006079			1001.6	99.900001526		
1004	1.3146		0.006069			1002.1	99.900001526		
1005	1.314		0.006058			1002.6	99.900001526		
1006	1.3135		0.00605			1003.1	99.900001526		
1006.9	1.3131		0.006041			1003.5	99.900001526		
1007.9	1.3128		0.006036			1004	99.900001526		
1008.8	1.3125		0.006025			1004.5	99.900001526		
1009.8	1.3122		0.00602			1005	99.900001526		
1010.8	1.312		0.006016			1005.5	99.900001526		
1011.7	1.3118		0.006008			1006	99.900001526		
1012.7	1.3116		0.006			1006.4	100		
1013.7	1.3114		0.005995			1006.9	99.900001526		
1014.6	1.3112		0.005988			1007.4	99.900001526		
1015.6	1.311		0.005982			1007.9	99.900001526		
1016.6	1.3108		0.005974			1008.4	99.900001526		
1017.5	1.3107		0.005968			1008.8	99.900001526		
1018.5	1.3105		0.005964			1009.3	99.900001526		
1019.5	1.3103		0.005957			1009.8	99.900001526		
1020.4	1.3102		0.005949			1010.3	99.900001526		
1021.4	1.31		0.005945			1010.8	99.900001526		
1022.3	1.3098		0.005938			1011.3	99.900001526		
1023.3	1.3096		0.00593			1011.7	100		
1024.3	1.3094		0.005924			1012.2	99.900001526		
1025.2	1.3092		0.005917			1012.7	99.900001526		
1026.2	1.3089		0.005912			1013.2	99.900001526		
1027.2	1.3086		0.005904			1013.7	99.900001526		
1028.1	1.3081		0.005896			1014.1	99.900001526		
1029.1	1.3074		0.005885			1014.6	99.900001526		
1030.1	1.3059		0.005869			1015.1	99.900001526		
1031	1.3064		7.1E-5			1015.6	99.900001526		
1032	1.309		9.3E-5			1016.1	99.900001526		
1033	1.3116		0.000123			1016.6	99.900001526		
1033.9	1.3119		0.005885			1017	99.900001526		
1034.9	1.3103		0.005871			1017.5	99.900001526		
1035.8	1.3093		0.005857			1018	99.900001526		
1036.8	1.3084		0.005849			1018.5	99.900001526		
1037.8	1.3069		0.005835			1019	99.900001526		
1038.7	1.3075		8.1E-5			1019.5	99.900001526		
1039.7	1.3108		0.000115			1019.9	99.900001526		
1040.7	1.3115		0.005844			1020.4	99.900001526		
1041.6	1.3099		0.005831			1020.9	99.900001526		
1042.6	1.3091		0.005821			1021.4	99.900001526		
1043.6	1.3084		0.005814			1021.9	99.900001526		
1044.5	1.3075		0.005802			1022.3	99.900001526		
1045.5	1.306		0.005786			1022.8	99.900001526		
1046.5	1.307		7.6E-5			1023.3	99.900001526		
1047.4	1.3071		0.005784			1023.8	99.900001526		
1048.4	1.3064		7.1E-5			1024.3	99.900001526		
1049.4	1.3082		9.0E-5			1024.8	99.900001526		
1050.3	1.3094		0.000102			1025.2	99.900001526		
1051.3	1.3112		0.000119			1025.7	99.900001526		
1052.2	1.3103		0.005777			1026.2	99.900001526		
1053.2	1.3101		0.000108			1026.7	99.900001526		
1054.2	1.3105		0.005766			1027.2	99.900001526		
1055.1	1.3076		0.005745			1027.7	99.900001526		
1056.1	1.3073		7.8E-5			1028.1	99.900001526		
1057.1	1.3091		9.9E-5			1028.6	99.900001526		
1058	1.3102		0.000111			1029.1	99.900001526		
1059	1.3111		0.000121			1029.6	99.900001526		
1060	1.3123		0.000132			1030.1	99.900001526		
1060.9	1.3142		0.000153			1030.5	99.900001526		
1061.9	1.3143		0.005751			1031	100		
1062.9	1.3127		0.005735			1031.5	100		
1063.8	1.3119		0.005724			1032	100		
1064.8	1.3113		0.005718			1032.5	100		
1065.7	1.3109		0.005712			1033	100		
1066.7	1.3106		0.005703			1033.4	99.900001526		
1067.7	1.3103		0.005695			1033.9	99.900001526		
1068.6	1.3101		0.00569			1034.4	99.900001526		
1069.6	1.3098		0.005683			1034.9	99.900001526		
1070.6	1.3096		0.005676			1035.4	99.900001526		
1071.5	1.3093		0.005671			1035.8	99.900001526		
1072.5	1.309		0.005663			1036.3	100		
1073.5	1.3085		0.005655			1036.8	99.900001526		
1074.4	1.3075		0.005647			1037.3	99.900001526		
1075.4	1.309		0.000101			1037.8	100		
1076.4	1.3103		0.005653			1038.3	99.900001526		
1077.3	1.3084		0.005636			1038.7	100		
1078.3	1.3098		0.000109			1039.2	99.900001526		
1079.3	1.3113		0.005646			1039.7	100		
1080.2	1.3102		0.005633			1040.2	99.900001526		
1081.2	1.3097		0.005625			1040.7	99.900001526		
1082.1	1.3094		0.005618			1041.2	99.900001526		
1083.1	1.3092		0.005611			1041.6	100		
1084.1	1.3089		0.005604			1042.1	99.900001526		
1085	1.3086		0.0056			1042.6	99.900001526		
1086	1.3082		0.00559			1043.1	99.900001526		
1087	1.3071		0.00558			1043.6	99.900001526		
1087.9	1.3088		9.8E-5			1044	99.900001526		
1088.9	1.3103		0.005588			1044.5	100		
1089.9	1.3093		0.005577			1045	99.900001526		
1090.8	1.3088		0.005572			1045.5	99.900001526		
1091.8	1.3084		0.005563			1046	100		
1092.8	1.3079		0.005554			1046.5	100		
1093.7	1.3069		0.005545			1046.9	99.900001526		
1094.7	1.3085		9.7E-5			1047.4	99.900001526		
1095.6	1.31		0.005556			1047.9	100		
1096.6	1.309		0.005543			1048.4	100		
1097.6	1.3085		0.005534			1048.9	99.900001526		
1098.5	1.308		0.005528			1049.4	100		
1099.5	1.3076		0.005518			1049.8	100		
1100.5	1.307		0.005509			1050.3	100		
1101.4	1.3057		0.005496			1050.8	100		
1102.4	1.3064		7.3E-5			1051.3	100		
1103.4	1.3096		0.000109			1051.8	99.900001526		
1104.3	1.3103		0.005512			1052.2	99.900001526		
1105.3	1.3088		0.005499			1052.7	100		
1106.3	1.308		0.00549			1053.2	100		
1107.2	1.3072		0.005481			1053.7	100		
1108.2	1.3058		0.005464			1054.2	99.900001526		
1109.1	1.3063		7.3E-5			1054.7	99.900001526		
1110.1	1.3095		0.000107			1055.1	99.900001526		
1111.1	1.3099		0.005479			1055.6	99.900001526		
1112	1.3082		0.005462			1056.1	100		
1113	1.3066		0.005444			1056.6	100		
1114	1.3076		8.6E-5			1057.1	100		
1114.9	1.308		0.005446			1057.5	100		
1115.9	1.3084		9.7E-5			1058	100		
1116.9	1.3092		0.005447			1058.5	100		
1117.8	1.3069		0.005425			1059	100		
1118.8	1.3076		8.8E-5			1059.5	100		
1119.8	1.3078		0.005424			1060	100		
1120.7	1.3079		9.2E-5			1060.4	99.900001526		
1121.7	1.3078		0.005413			1060.9	100		
1122.7	1.3072		8.4E-5			1061.4	99.900001526		
1123.6	1.3096		0.000112			1061.9	99.900001526		
1124.6	1.3088		0.005409			1062.4	99.900001526		
1125.5	1.3081		9.3E-5			1062.9	100		
1126.5	1.3104		0.000119			1063.3	100		
1127.5	1.3096		0.005402			1063.8	99.900001526		
1128.4	1.309		0.000104			1064.3	99.900001526		
1129.4	1.3116		0.000134			1064.8	99.900001526		
1130.4	1.3119		0.005404			1065.3	99.900001526		
1131.3	1.3102		0.005386			1065.7	99.900001526		
1132.3	1.3091		0.005377			1066.2	99.900001526		
1133.3	1.3075		0.005358			1066.7	99.900001526		
1134.2	1.308		9.3E-5			1067.2	99.900001526		
1135.2	1.3109		0.000126			1067.7	99.900001526		
1136.2	1.3112		0.005376			1068.2	99.900001526		
1137.1	1.3091		0.005356			1068.6	100		
1138.1	1.3101		0.000117			1069.1	100		
1139	1.3114		0.005363			1069.6	100		
1140	1.3101		0.00535			1070.1	99.900001526		
1141	1.3095		0.005339			1070.6	99.900001526		
1141.9	1.3088		0.005331			1071.1	100		
1142.9	1.3077		0.005317			1071.5	99.900001526		
1143.9	1.3091		0.000109			1072	99.900001526		
1144.8	1.3104		0.005328			1072.5	100		
1145.8	1.3092		0.005316			1073	100		
1146.8	1.3084		0.005303			1073.5	99.900001526		
1147.7	1.3071		0.005291			1073.9	99.900001526		
1148.7	1.3082		9.7E-5			1074.4	99.900001526		
1149.7	1.3088		0.005295			1074.9	100		
1150.6	1.3092		0.000109			1075.4	100		
1151.1	1.3094		0.005173			1075.9	100		
1151.6	1.3071		0.005156			1076.4	99.900001526		
1152.1	1.3079		9.7E-5			1076.8	99.900001526		
1152.6	1.3087		0.005163			1077.3	99.900001526		
1153	1.3064		0.005146			1077.8	99.900001526		
1153.5	1.3064		8.1E-5			1078.3	100		
1154	1.3084		0.000101			1078.8	100		
1154.5	1.3105		0.000122			1079.3	99.900001526		
1155	1.3105		0.005165			1079.7	99.900001526		
1155.4	1.3083		0.005149			1080.2	99.900001526		
1155.9	1.3092		0.00011			1080.7	100		
1156.4	1.3103		0.005156			1081.2	99.900001526		
1156.9	1.309		0.005146			1081.7	100		
1157.4	1.3082		0.005138			1082.1	99.900001526		
1157.9	1.3069		0.005127			1082.6	100		
1158.3	1.3081		9.9E-5			1083.1	100		
1158.8	1.3093		0.005139			1083.6	99.900001526		
1159.3	1.3079		0.005126			1084.1	99.900001526		
1159.8	1.3063		0.005112			1084.6	100		
1160.3	1.3066		8.5E-5			1085	99.900001526		
1160.7	1.3093		0.000113			1085.5	99.900001526		
1161.2	1.309		0.005127			1086	99.900001526		
1161.7	1.3092		0.000109			1086.5	99.900001526		
1162.2	1.3099		0.005129			1087	99.900001526		
1162.7	1.3077		0.005112			1087.4	99.900001526		
1163.2	1.308		9.7E-5			1087.9	100		
1163.6	1.3109		0.000125			1088.4	100		
1164.1	1.3114		0.005129			1088.9	100		
1164.6	1.3101		0.005119			1089.4	99.900001526		
1165.1	1.3094		0.005112			1089.9	99.900001526		
1165.6	1.3088		0.005106			1090.3	99.900001526		
1166.1	1.3077		0.005096			1090.8	99.900001526		
1166.5	1.3091		0.00011			1091.3	100		
1167	1.3106		0.005112			1091.8	99.900001526		
1167.5	1.3096		0.005103			1092.3	99.900001526		
1168	1.3092		0.005097			1092.8	99.900001526		
1168.5	1.309		0.005096			1093.2	99.900001526		
1168.9	1.3087		0.005092			1093.7	99.900001526		
1169.4	1.3085		0.005087			1094.2	99.900001526		
1169.9	1.3083		0.005085			1094.7	100		
1170.4	1.3079		0.005078			1095.2	100		
1170.9	1.307		0.005072			1095.6	99.900001526		
1171.4	1.3085		0.000102			1096.1	99.900001526		
1171.8	1.31		0.005089			1096.6	99.900001526		
1172.3	1.3091		0.005081			1097.1	99.900001526		
1172.8	1.3088		0.005077			1097.6	99.900001526		
1173.3	1.3085		0.005073			1098.1	100		
1173.8	1.3084		0.005068			1098.5	99.900001526		
1174.3	1.3082		0.005065			1099	99.900001526		
1174.7	1.3081		0.005062			1099.5	99.900001526		
1175.2	1.3079		0.005059			1100	100		
1175.7	1.3077		0.005055			1100.5	99.900001526		
1176.2	1.3074		0.005052			1101	99.900001526		
1176.7	1.3069		0.005046			1101.4	99.900001526		
1177.1	1.3058		0.005036			1101.9	99.900001526		
1177.6	1.3065		7.9E-5			1102.4	100		
1178.1	1.3095		0.000112			1102.9	100		
1178.6	1.3101		0.005059			1103.4	100		
1179.1	1.3087		0.005048			1103.8	100		
1179.6	1.3075		0.005037			1104.3	100		
1180	1.3088		0.000105			1104.8	99.900001526		
1180.5	1.3102		0.005054			1105.3	99.900001526		
1181	1.309200048		0.005043			1105.8	100		
1181.5	1.308799982		0.0050392			1106.3	99.900001526		
1182	1.308599949		0.0050344			1106.7	99.900001526		
1182.4	1.308400035		0.0050306			1107.2	100		
1182.9	1.308200002		0.0050297			1107.7	100		
1183.4	1.307999969		0.0050249			1108.2	99.900001526		
1183.9	1.307800055		0.0050211			1108.7	100		
1184.4	1.307399988		0.0050163			1109.1	100		
1184.9	1.306499958		0.0050097			1109.6	100		
1185.3	1.307999969		9.5367E-5			1110.1	100		
1185.8	1.309399962		0.0050259			1110.6	99.900001526		
1186.3	1.308500051		0.0050163			1111.1	99.900001526		
1186.8	1.307999969		0.0050125			1111.6	100		
1187.3	1.307700038		0.0050077			1112	99.900001526		
1187.8	1.307299972		0.0050011			1112.5	99.900001526		
1188.2	1.306800008		0.0049963			1113	99.900001526		
1188.7	1.305699944		0.0049868			1113.5	100		
1189.2	1.306699991		8.297E-5			1114	100		
1189.7	1.307000041		0.0049906			1114.5	100		
1190.2	1.306699991		8.297E-5			1114.9	99.900001526		
1190.6	1.308699965		0.00010204			1115.4	100		
1191.1	1.310700059		0.00012589			1115.9	100		
1191.6	1.31099999		0.0050125			1116.4	100		
1192.1	1.309499979		0.0049992			1116.9	99.900001526		
1192.6	1.308099985		0.0049877			1117.3	99.900001526		
1193.1	1.309399962		0.00011063			1117.8	99.900001526		
1193.5	1.310700059		0.005002			1118.3	99.900001526		
1194	1.309700012		0.0049944			1118.8	100		
1194.5	1.309299946		0.0049887			1119.3	100		
1195	1.309000015		0.0049849			1119.8	99.900001526		
1195.5	1.308699965		0.004981			1120.2	99.900001526		
1196	1.308500051		0.0049782			1120.7	100		
1196.4	1.308200002		0.0049725			1121.2	99.900001526		
1196.9	1.307800055		0.0049686			1121.7	99.900001526		
1197.4	1.306900024		0.0049601			1122.2	99.900001526		
1197.9	1.308300018		9.9182E-5			1122.7	100		
1198.4	1.309499979		0.0049763			1123.1	100		
1198.8	1.308300018		0.0049639			1123.6	100		
1199.3	1.307000041		0.0049515			1124.1	100		
1199.8	1.307600021		9.1553E-5			1124.6	100		
1200.3	1.310600042		0.00012207			1125.1	100		
1200.8	1.311300039		0.0049791			1125.5	100		
1201.3	1.310199976		0.0049686			1126	100		
1201.7	1.309700012		0.004961			1126.5	100		
